Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return,Original Return (%),Is Outlier,Z-Score
top5,2020,3,March,2020-03,2020-03-01 08:00:00,2020-03-25 08:00:00,10000.0,9970.823740335714,-0.29176259664285276,-2.194513919607166,16.362108208366404,3,66.66666666666666,9970.823740335714,,,
top5,2020,4,April,2020-04,2020-04-06 12:00:00,2020-04-08 17:00:00,9970.823740335714,10288.039885174769,3.181443711172993,0.0,2.4147688031752668,1,100.0,10288.039885174769,,,
top5,2020,5,May,2020-05,2020-05-08 08:00:00,2020-05-24 08:00:00,10288.039885174769,10376.725289418115,0.862024304271447,0.0,7.9005832504311035,2,50.0,10376.725289418117,,,
top5,2020,7,July,2020-07,2020-07-03 08:00:00,2020-07-19 08:00:00,10376.725289418115,10376.725289418115,0.0,0.0,0.0,1,0.0,10376.725289418117,,,
top5,2020,8,August,2020-08,2020-08-07 08:00:00,2020-08-31 08:00:00,10376.725289418115,10376.725289418115,0.0,0.0,0.0,1,0.0,10376.725289418117,,,
top5,2020,9,September,2020-09,2020-09-02 07:00:00,2020-09-30 14:15:00,10376.725289418115,10604.001425185425,2.1902491337906005,0.0,9.001143780576587,2,50.0,10604.001425185428,,,
top5,2020,10,October,2020-10,2020-10-06 09:00:00,2020-10-31 09:00:00,10604.001425185425,10950.24251835937,3.265192820057461,0.0,7.67338026723789,3,33.33333333333333,10950.242518359371,,,
top5,2020,11,November,2020-11,2020-11-02 12:30:00,2020-11-29 03:00:00,10950.24251835937,11445.843093768553,4.525932412713707,0.0,9.178001276524675,3,33.33333333333333,11445.843093768557,,,
top5,2020,12,December,2020-12,2020-12-05 09:00:00,2020-12-31 19:45:00,11445.843093768553,11323.160926103112,-1.071849112908363,-7.34532825204357,34.298608793175454,6,83.33333333333334,11323.160926103115,,,
top5,2021,1,January,2021-01,2021-01-03 07:00:00,2021-01-31 08:00:00,11323.160926103112,10568.071055868511,-6.668543131749571,-12.39624480862932,50.137430472942924,8,62.5,10568.071055868515,,,
top5,2021,2,February,2021-02,2021-02-01 03:30:00,2021-02-28 07:00:00,10568.071055868511,12411.978222521013,17.44790659435025,-3.323912879914004,23.354339959248314,7,71.42857142857143,12411.978222521018,,,
top5,2021,3,March,2021-03,2021-03-02 21:30:00,2021-03-28 07:00:00,12411.978222521013,12525.872588373271,0.9176165459717112,-6.576217538680396,34.28433610705363,2,50.0,12525.872588373277,,,
top5,2021,4,April,2021-04,2021-04-01 09:00:00,2021-04-28 08:00:00,12525.872588373271,12955.507718102574,3.4299816375914283,-17.093445895536185,61.1094285350362,7,71.42857142857143,12955.507718102579,,,
top5,2021,5,May,2021-05,2021-05-02 08:00:00,2021-05-30 08:00:00,12955.507718102574,12022.323391716955,-7.202993095219967,-16.781669863480907,57.56360464177338,6,83.33333333333334,12022.32339171696,,,
top5,2021,6,June,2021-06,2021-06-03 08:00:00,2021-06-30 06:15:00,12022.323391716955,11255.796054289694,-6.375866897370075,-11.231862981204921,53.35112917620929,4,25.0,11255.7960542897,,,
top5,2021,7,July,2021-07,2021-07-01 09:00:00,2021-07-31 07:00:00,11255.796054289694,10711.243500274704,-4.837974598939676,-5.805311392068835,27.082651649052835,4,25.0,10711.24350027471,,,
top5,2021,8,August,2021-08,2021-08-02 06:45:00,2021-08-31 07:00:00,10711.243500274704,11395.400951332134,6.387283148216008,-5.714076515431721,31.04417214614753,9,77.77777777777779,14946.348876663082,39.53887684730309,True,3.7769578172977707
top5,2021,9,September,2021-09,2021-09-01 06:00:00,2021-09-29 04:15:00,11395.400951332134,13053.42683541938,14.549956523411488,-4.7508530451702,39.28744742437518,6,50.0,17121.036140054963,,,
top5,2021,10,October,2021-10,2021-10-02 07:00:00,2021-10-30 07:00:00,13053.42683541938,13832.30330668728,5.966835230994549,0.0,10.556441589719261,2,0.0,18142.62015637107,,,
top5,2021,11,November,2021-11,2021-11-03 07:00:00,2021-11-30 09:00:00,13832.30330668728,14846.970506914866,7.3354898148961345,-5.217457628755906,29.88524752256021,4,0.0,19473.470210096963,,,
top5,2021,12,December,2021-12,2021-12-02 07:00:00,2021-12-30 10:00:00,14846.970506914866,15744.140350016798,6.042780530102632,0.0,12.348989531439967,2,0.0,20650.20927648804,,,
top5,2022,1,January,2022-01,2022-01-02 03:30:00,2022-01-30 09:00:00,15744.140350016798,15940.447847363826,1.2468606921864689,-4.258307411712481,20.46285837846014,5,40.0,20907.688618810815,,,
top5,2022,2,February,2022-02,2022-02-03 07:00:00,2022-02-27 07:00:00,15940.447847363826,15138.870765114827,-5.028573161334116,-5.028573161334116,28.315806722206595,1,0.0,19856.330200269986,,,
