Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-12-04 14:15:00 to 2024-12-18 14:15:00,2024-12-19 14:15:00 to 2024-12-21 14:15:00,55,0.044,2,-0.4945642408841741,13.07697459222997,50.0,212.17675805091855,897
2,2024-12-07 14:15:00 to 2024-12-21 14:15:00,2024-12-22 14:15:00 to 2024-12-24 14:15:00,70,0.06,0,0.0,0.0,0.0,210.7176959514618,898
3,2024-12-10 14:15:00 to 2024-12-24 14:15:00,2024-12-25 14:15:00 to 2024-12-27 14:15:00,70,0.07,0,0.0,0.0,0.0,209.42591381073,899
4,2024-12-13 14:15:00 to 2024-12-27 14:15:00,2024-12-28 14:15:00 to 2024-12-30 14:15:00,70,0.07,0,0.0,0.0,0.0,211.64184069633484,901
5,2024-12-16 14:15:00 to 2024-12-30 14:15:00,2024-12-31 14:15:00 to 2025-01-02 14:15:00,70,0.07,0,0.0,0.0,0.0,210.85022282600403,903
6,2024-12-19 14:15:00 to 2025-01-02 14:15:00,2025-01-03 14:15:00 to 2025-01-05 14:15:00,85,0.024,0,0.0,0.0,0.0,207.82367992401123,904
7,2024-12-22 14:15:00 to 2025-01-05 14:15:00,2025-01-06 14:15:00 to 2025-01-08 14:15:00,60,0.024,1,-6.1593584483775885,8.08621089561026,0.0,205.0749008655548,905
8,2024-12-25 14:15:00 to 2025-01-08 14:15:00,2025-01-09 14:15:00 to 2025-01-11 14:15:00,300,0.08,1,-10.760023031445437,13.607638235442934,0.0,204.47030210494995,907
9,2024-12-28 14:15:00 to 2025-01-11 14:15:00,2025-01-12 14:15:00 to 2025-01-14 14:15:00,125,0.066,1,6.352650471090038,5.093159665538515,100.0,209.8523769378662,909
10,2024-12-31 14:15:00 to 2025-01-14 14:15:00,2025-01-15 14:15:00 to 2025-01-17 14:15:00,125,0.066,0,0.0,0.0,0.0,206.9671070575714,910
11,2025-01-03 14:15:00 to 2025-01-17 14:15:00,2025-01-18 14:15:00 to 2025-01-20 14:15:00,125,0.066,2,4.799530715746969,3.5402515946459707,100.0,213.51002192497253,911
12,2025-01-06 14:15:00 to 2025-01-20 14:15:00,2025-01-21 14:15:00 to 2025-01-23 14:15:00,120,0.064,1,2.835887729196056,1.2555717787422156,100.0,220.3298301696777,913
13,2025-01-09 14:15:00 to 2025-01-23 14:15:00,2025-01-24 14:15:00 to 2025-01-26 14:15:00,160,0.044,1,0.0044860597581646,1.2844572674509305,0.0,218.7886779308319,915
14,2025-01-12 14:15:00 to 2025-01-26 14:15:00,2025-01-27 14:15:00 to 2025-01-29 14:15:00,160,0.044,2,1.1281884102426376,5.996611812341857,50.0,213.0885670185089,916
15,2025-01-15 14:15:00 to 2025-01-29 14:15:00,2025-01-30 14:15:00 to 2025-02-01 14:15:00,160,0.044,1,0.229714125769733,0.2405228587422971,0.0,220.56670379638672,917
16,2025-01-18 14:15:00 to 2025-02-01 14:15:00,2025-02-02 14:15:00 to 2025-02-04 14:15:00,135,0.04,1,-15.69182595833112,25.46077141187,0.0,218.5044322013855,919
17,2025-01-21 14:15:00 to 2025-02-04 14:15:00,2025-02-05 14:15:00 to 2025-02-07 14:15:00,45,0.06,0,0.0,0.0,0.0,211.77907276153564,921
18,2025-01-24 14:15:00 to 2025-02-07 14:15:00,2025-02-08 14:15:00 to 2025-02-10 14:15:00,45,0.06,0,0.0,0.0,0.0,214.92028403282168,922
19,2025-01-27 14:15:00 to 2025-02-10 14:15:00,2025-02-11 14:15:00 to 2025-02-13 14:15:00,45,0.06,0,0.0,0.0,0.0,213.36204195022583,923
20,2025-01-30 14:15:00 to 2025-02-13 14:15:00,2025-02-14 14:15:00 to 2025-02-16 14:15:00,45,0.06,0,0.0,0.0,0.0,214.4036250114441,925
21,2025-02-02 14:15:00 to 2025-02-16 14:15:00,2025-02-17 14:15:00 to 2025-02-19 14:15:00,175,0.03,2,-2.234454922936875,6.361752838106378,50.0,211.63114285469055,927
22,2025-02-05 14:15:00 to 2025-02-19 14:15:00,2025-02-20 14:15:00 to 2025-02-22 14:15:00,175,0.044,1,2.451825651830404,1.1972133263102296,100.0,210.92743587493896,928
23,2025-02-08 14:15:00 to 2025-02-22 14:15:00,2025-02-23 14:15:00 to 2025-02-25 14:15:00,295,0.044,1,-12.046345261363804,16.443706387213478,0.0,211.25837802886963,929
24,2025-02-11 14:15:00 to 2025-02-25 14:15:00,2025-02-26 14:15:00 to 2025-02-28 14:15:00,115,0.078,1,2.4305223428876706,0.9348774344168636,100.0,205.63045501708984,931
25,2025-02-14 14:15:00 to 2025-02-28 14:15:00,2025-03-01 14:15:00 to 2025-03-03 14:15:00,115,0.078,0,0.0,0.0,0.0,212.9141309261322,933
26,2025-02-17 14:15:00 to 2025-03-03 14:15:00,2025-03-04 14:15:00 to 2025-03-06 14:15:00,115,0.078,1,2.1199252745327795,6.230702078018749,100.0,212.35626101493835,934
27,2025-02-20 14:15:00 to 2025-03-06 14:15:00,2025-03-07 14:15:00 to 2025-03-09 14:15:00,220,0.08,1,2.9135026511134674,2.418161830844437,100.0,213.6408729553223,935
