Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-07-29 02:30:00 to 2023-08-12 02:30:00,2023-08-13 02:30:00 to 2023-08-15 02:30:00,295,0.046,0,0.0,0.0,0.0,220.10941886901855,649
2,2023-08-01 02:30:00 to 2023-08-15 02:30:00,2023-08-16 02:30:00 to 2023-08-18 02:30:00,30,0.022,2,6.395281800259545,1.610582526859599,100.0,214.78459692001343,651
3,2023-08-04 02:30:00 to 2023-08-18 02:30:00,2023-08-19 02:30:00 to 2023-08-21 02:30:00,35,0.022,0,0.0,0.0,0.0,215.4782600402832,652
4,2023-08-07 02:30:00 to 2023-08-21 02:30:00,2023-08-22 02:30:00 to 2023-08-24 02:30:00,25,0.02,0,0.0,0.0,0.0,217.58016991615295,653
5,2023-08-10 02:30:00 to 2023-08-24 02:30:00,2023-08-25 02:30:00 to 2023-08-27 02:30:00,25,0.02,0,0.0,0.0,0.0,215.1927089691162,655
6,2023-08-13 02:30:00 to 2023-08-27 02:30:00,2023-08-28 02:30:00 to 2023-08-30 02:30:00,25,0.02,1,0.1625163283318579,0.692157939754061,100.0,218.1811830997467,657
7,2023-08-16 02:30:00 to 2023-08-30 02:30:00,2023-08-31 02:30:00 to 2023-09-02 02:30:00,100,0.022,1,-3.114504219925566,3.5907606767454854,0.0,217.5090239048004,658
8,2023-08-19 02:30:00 to 2023-09-02 02:30:00,2023-09-03 02:30:00 to 2023-09-05 02:30:00,295,0.032,1,-12.132446657923593,15.23478194061298,0.0,213.87264490127563,659
9,2023-08-22 02:30:00 to 2023-09-05 02:30:00,2023-09-06 02:30:00 to 2023-09-08 02:30:00,10,0.076,0,0.0,0.0,0.0,215.8434820175171,661
10,2023-08-25 02:30:00 to 2023-09-08 02:30:00,2023-09-09 02:30:00 to 2023-09-11 02:30:00,10,0.076,0,0.0,0.0,0.0,212.53859996795657,663
11,2023-08-28 02:30:00 to 2023-09-11 02:30:00,2023-09-12 02:30:00 to 2023-09-14 02:30:00,10,0.076,0,0.0,0.0,0.0,218.5962359905243,664
12,2023-08-31 02:30:00 to 2023-09-14 02:30:00,2023-09-15 02:30:00 to 2023-09-17 02:30:00,10,0.076,0,0.0,0.0,0.0,220.9206740856171,665
13,2023-09-03 02:30:00 to 2023-09-17 02:30:00,2023-09-18 02:30:00 to 2023-09-20 02:30:00,180,0.028,0,0.0,0.0,0.0,225.00019097328183,667
14,2023-09-06 02:30:00 to 2023-09-20 02:30:00,2023-09-21 02:30:00 to 2023-09-23 02:30:00,290,0.03,0,0.0,0.0,0.0,217.5881507396698,669
15,2023-09-09 02:30:00 to 2023-09-23 02:30:00,2023-09-24 02:30:00 to 2023-09-26 02:30:00,150,0.026,2,5.546932547637243,0.9870208199684248,100.0,217.0133969783783,670
16,2023-09-12 02:30:00 to 2023-09-26 02:30:00,2023-09-27 02:30:00 to 2023-09-29 02:30:00,80,0.02,1,-14.712223812373304,16.764939385631678,0.0,212.93572092056272,671
17,2023-09-15 02:30:00 to 2023-09-29 02:30:00,2023-09-30 02:30:00 to 2023-10-02 02:30:00,10,0.068,0,0.0,0.0,0.0,211.31962203979492,673
18,2023-09-18 02:30:00 to 2023-10-02 02:30:00,2023-10-03 02:30:00 to 2023-10-05 02:30:00,10,0.068,0,0.0,0.0,0.0,221.02219796180725,675
19,2023-09-21 02:30:00 to 2023-10-05 02:30:00,2023-10-06 02:30:00 to 2023-10-08 02:30:00,10,0.068,0,0.0,0.0,0.0,217.9389009475708,676
20,2023-09-24 02:30:00 to 2023-10-08 02:30:00,2023-10-09 02:30:00 to 2023-10-11 02:30:00,10,0.068,0,0.0,0.0,0.0,219.545823097229,677
