Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2025-01-07 11:45:00 to 2025-01-21 11:45:00,2025-01-22 11:45:00 to 2025-01-24 11:45:00,25,0.08,2,-4.868045444458821,11.06071488128754,50.0,213.39422512054443,913
2,2025-01-10 11:45:00 to 2025-01-24 11:45:00,2025-01-25 11:45:00 to 2025-01-27 11:45:00,10,0.062,0,0.0,0.0,0.0,210.59982919692993,915
3,2025-01-13 11:45:00 to 2025-01-27 11:45:00,2025-01-28 11:45:00 to 2025-01-30 11:45:00,10,0.062,0,0.0,0.0,0.0,209.2841567993164,917
4,2025-01-16 11:45:00 to 2025-01-30 11:45:00,2025-01-31 11:45:00 to 2025-02-02 11:45:00,10,0.062,0,0.0,0.0,0.0,216.60611724853516,918
5,2025-01-19 11:45:00 to 2025-02-02 11:45:00,2025-02-03 11:45:00 to 2025-02-05 11:45:00,55,0.08,2,3.7885975373911975,16.607584851185077,50.0,214.26286005973816,919
6,2025-01-22 11:45:00 to 2025-02-05 11:45:00,2025-02-06 11:45:00 to 2025-02-08 11:45:00,15,0.078,0,0.0,0.0,0.0,217.9678599834442,921
7,2025-01-25 11:45:00 to 2025-02-08 11:45:00,2025-02-09 11:45:00 to 2025-02-11 11:45:00,185,0.07,1,5.265168370904012,6.779788407346033,100.0,220.9122838973999,923
8,2025-01-28 11:45:00 to 2025-02-11 11:45:00,2025-02-12 11:45:00 to 2025-02-14 11:45:00,35,0.07,1,3.5381686046511636,1.7861594933975429,100.0,219.0148890018463,924
9,2025-01-31 11:45:00 to 2025-02-14 11:45:00,2025-02-15 11:45:00 to 2025-02-17 11:45:00,260,0.078,1,-10.563035224160648,14.818609714971972,0.0,220.15959787368777,925
10,2025-02-03 11:45:00 to 2025-02-17 11:45:00,2025-02-18 11:45:00 to 2025-02-20 11:45:00,175,0.08,0,0.0,0.0,0.0,217.80742716789248,927
11,2025-02-06 11:45:00 to 2025-02-20 11:45:00,2025-02-21 11:45:00 to 2025-02-23 11:45:00,150,0.022,1,1.9308571256462164,10.448703705413426,100.0,215.99027609825137,929
12,2025-02-09 11:45:00 to 2025-02-23 11:45:00,2025-02-24 11:45:00 to 2025-02-26 11:45:00,300,0.066,1,5.889760707222904,11.280840695071186,100.0,210.75854587554932,930
13,2025-02-12 11:45:00 to 2025-02-26 11:45:00,2025-02-27 11:45:00 to 2025-03-01 11:45:00,100,0.02,2,1.1572063783056366,15.601751936388789,50.0,207.2054808139801,931
14,2025-02-15 11:45:00 to 2025-03-01 11:45:00,2025-03-02 11:45:00 to 2025-03-04 11:45:00,135,0.036,5,18.439322946375817,7.383243538057547,80.0,214.03404593467712,933
15,2025-02-18 11:45:00 to 2025-03-04 11:45:00,2025-03-05 11:45:00 to 2025-03-07 11:45:00,130,0.024,1,16.983495314499123,6.520087882442949,100.0,208.0647840499878,935
