Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-07-28 02:45:00 to 2023-08-11 02:45:00,2023-08-12 02:45:00 to 2023-08-14 02:45:00,165,0.042,0,0.0,0.0,0.0,214.2225332260132,649
2,2023-07-31 02:45:00 to 2023-08-14 02:45:00,2023-08-15 02:45:00 to 2023-08-17 02:45:00,150,0.038,2,-0.6803918932366833,8.5219576050265,50.0,211.649827003479,650
3,2023-08-03 02:45:00 to 2023-08-17 02:45:00,2023-08-18 02:45:00 to 2023-08-20 02:45:00,190,0.02,4,4.583322572903398,0.6318886051895112,100.0,212.60580396652225,651
4,2023-08-06 02:45:00 to 2023-08-20 02:45:00,2023-08-21 02:45:00 to 2023-08-23 02:45:00,160,0.02,3,3.729880781982774,5.2070281071429525,100.0,211.7621932029724,653
5,2023-08-09 02:45:00 to 2023-08-23 02:45:00,2023-08-24 02:45:00 to 2023-08-26 02:45:00,90,0.022,1,-6.581198709709406,8.360819535189771,0.0,216.6938199996948,655
6,2023-08-12 02:45:00 to 2023-08-26 02:45:00,2023-08-27 02:45:00 to 2023-08-29 02:45:00,170,0.032,1,1.7231517488295138,0.7140714146925563,100.0,220.92663717269895,656
7,2023-08-15 02:45:00 to 2023-08-29 02:45:00,2023-08-30 02:45:00 to 2023-09-01 02:45:00,85,0.022,4,6.548341428576459,4.153021256964697,75.0,219.2636680603027,657
8,2023-08-18 02:45:00 to 2023-09-01 02:45:00,2023-09-02 02:45:00 to 2023-09-04 02:45:00,285,0.02,1,-8.226470863241557,10.68169728163522,0.0,217.5844690799713,659
9,2023-08-21 02:45:00 to 2023-09-04 02:45:00,2023-09-05 02:45:00 to 2023-09-07 02:45:00,15,0.02,0,0.0,0.0,0.0,216.6641080379486,661
10,2023-08-24 02:45:00 to 2023-09-07 02:45:00,2023-09-08 02:45:00 to 2023-09-10 02:45:00,15,0.02,1,0.2748641765704633,0.0,0.0,216.3937830924988,662
