Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-09-23 07:00:00 to 2020-10-07 07:00:00,2020-10-08 07:00:00 to 2020-10-10 07:00:00,65,0.038,0,0.0,0.0,0.0,214.2670557498932,129
2,2020-09-26 07:00:00 to 2020-10-10 07:00:00,2020-10-11 07:00:00 to 2020-10-13 07:00:00,300,0.08,0,0.0,0.0,0.0,214.8529930114746,131
3,2020-09-29 07:00:00 to 2020-10-13 07:00:00,2020-10-14 07:00:00 to 2020-10-16 07:00:00,300,0.08,0,0.0,0.0,0.0,208.7624709606171,133
4,2020-10-02 07:00:00 to 2020-10-16 07:00:00,2020-10-17 07:00:00 to 2020-10-19 07:00:00,35,0.026,0,0.0,0.0,0.0,206.29185509681705,134
5,2020-10-05 07:00:00 to 2020-10-19 07:00:00,2020-10-20 07:00:00 to 2020-10-22 07:00:00,35,0.026,1,0.7946684610259944,0.6559972285143157,100.0,209.7510061264038,135
6,2020-10-08 07:00:00 to 2020-10-22 07:00:00,2020-10-23 07:00:00 to 2020-10-25 07:00:00,20,0.02,2,0.6617545253079697,0.481544602346589,100.0,204.0849380493164,137
7,2020-10-11 07:00:00 to 2020-10-25 07:00:00,2020-10-26 07:00:00 to 2020-10-28 07:00:00,25,0.02,2,0.7808012846534257,3.3520232860489703,100.0,206.70898294448853,139
8,2020-10-14 07:00:00 to 2020-10-28 07:00:00,2020-10-29 07:00:00 to 2020-10-31 07:00:00,200,0.022,1,-7.414824606325237,8.456855846537183,0.0,205.53619980812073,140
9,2020-10-17 07:00:00 to 2020-10-31 07:00:00,2020-11-01 07:00:00 to 2020-11-03 07:00:00,30,0.02,2,-2.695980598559363,3.899029069953721,50.0,205.3666470050812,141
10,2020-10-20 07:00:00 to 2020-11-03 07:00:00,2020-11-04 07:00:00 to 2020-11-06 07:00:00,30,0.02,2,2.7132612337628053,5.114812460963495,50.0,207.4785852432251,143
11,2020-10-23 07:00:00 to 2020-11-06 07:00:00,2020-11-07 07:00:00 to 2020-11-09 07:00:00,40,0.024,2,-1.9200545716063064,7.052393197331512,0.0,209.09818696975708,145
12,2020-10-26 07:00:00 to 2020-11-09 07:00:00,2020-11-10 07:00:00 to 2020-11-12 07:00:00,40,0.024,2,0.905397389890004,3.433847405722082,50.0,211.9271609783173,146
