Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-02-22 14:45:00 to 2023-03-08 14:45:00,2023-03-09 14:45:00 to 2023-03-11 14:45:00,85,0.064,1,-4.332784229607587,11.386204311875408,0.0,220.73919081687927,571
2,2023-02-25 14:45:00 to 2023-03-11 14:45:00,2023-03-12 14:45:00 to 2023-03-14 14:45:00,20,0.048,0,0.0,0.0,0.0,220.2175989151001,573
3,2023-02-28 14:45:00 to 2023-03-14 14:45:00,2023-03-15 14:45:00 to 2023-03-17 14:45:00,20,0.046,1,-4.659256348885647,7.76084379021169,0.0,213.96514010429385,574
4,2023-03-03 14:45:00 to 2023-03-17 14:45:00,2023-03-18 14:45:00 to 2023-03-20 14:45:00,170,0.038,1,-1.0981617703904158,3.5049934545722268,0.0,216.68773698806763,575
5,2023-03-06 14:45:00 to 2023-03-20 14:45:00,2023-03-21 14:45:00 to 2023-03-23 14:45:00,190,0.076,1,2.5148330206378886,1.2353495323588837,0.0,218.50475311279297,577
6,2023-03-09 14:45:00 to 2023-03-23 14:45:00,2023-03-24 14:45:00 to 2023-03-26 14:45:00,145,0.042,1,0.8215424610051922,2.006186117761349,100.0,212.66620087623596,579
7,2023-03-12 14:45:00 to 2023-03-26 14:45:00,2023-03-27 14:45:00 to 2023-03-29 14:45:00,260,0.064,1,1.912372881355932,1.2512641939239189,100.0,211.75691485404968,580
8,2023-03-15 14:45:00 to 2023-03-29 14:45:00,2023-03-30 14:45:00 to 2023-04-01 14:45:00,20,0.024,0,0.0,0.0,0.0,208.7929949760437,581
9,2023-03-18 14:45:00 to 2023-04-01 14:45:00,2023-04-02 14:45:00 to 2023-04-04 14:45:00,235,0.044,1,0.0603658536585317,1.2535986551672154,0.0,208.42865896224976,583
10,2023-03-21 14:45:00 to 2023-04-04 14:45:00,2023-04-05 14:45:00 to 2023-04-07 14:45:00,30,0.024,1,0.198688695652163,0.4681838714124288,100.0,204.5974850654602,585
11,2023-03-24 14:45:00 to 2023-04-07 14:45:00,2023-04-08 14:45:00 to 2023-04-10 14:45:00,280,0.034,0,0.0,0.0,0.0,204.5476591587067,586
12,2023-03-27 14:45:00 to 2023-04-10 14:45:00,2023-04-11 14:45:00 to 2023-04-13 14:45:00,275,0.032,0,0.0,0.0,0.0,201.77819228172305,587
13,2023-03-30 14:45:00 to 2023-04-13 14:45:00,2023-04-14 14:45:00 to 2023-04-16 14:45:00,275,0.03,0,0.0,0.0,0.0,201.1362900733948,589
14,2023-04-02 14:45:00 to 2023-04-16 14:45:00,2023-04-17 14:45:00 to 2023-04-19 14:45:00,35,0.024,2,-1.2320105526967562,4.562818524999743,50.0,200.59484887123108,591
15,2023-04-05 14:45:00 to 2023-04-19 14:45:00,2023-04-20 14:45:00 to 2023-04-22 14:45:00,230,0.03,1,-6.785082456569598,10.058287507098331,0.0,200.79816603660583,592
16,2023-04-08 14:45:00 to 2023-04-22 14:45:00,2023-04-23 14:45:00 to 2023-04-25 14:45:00,20,0.02,3,-0.5713552158372295,1.1512514635075113,33.33333333333333,203.6798710823059,593
17,2023-04-11 14:45:00 to 2023-04-25 14:45:00,2023-04-26 14:45:00 to 2023-04-28 14:45:00,45,0.022,2,-0.6745935267114691,5.39420360853086,50.0,204.78832006454468,595
18,2023-04-14 14:45:00 to 2023-04-28 14:45:00,2023-04-29 14:45:00 to 2023-05-01 14:45:00,40,0.022,2,1.9004712041884888,0.2348929504852608,100.0,207.0724930763245,597
19,2023-04-17 14:45:00 to 2023-05-01 14:45:00,2023-05-02 14:45:00 to 2023-05-04 14:45:00,40,0.022,1,0.2807112676056386,0.4739356624965907,100.0,208.04388284683228,598
20,2023-04-20 14:45:00 to 2023-05-04 14:45:00,2023-05-05 14:45:00 to 2023-05-07 14:45:00,120,0.02,1,-2.447549604085034,4.197734770160626,0.0,204.11014103889465,599
21,2023-04-23 14:45:00 to 2023-05-07 14:45:00,2023-05-08 14:45:00 to 2023-05-10 14:45:00,95,0.022,2,-9.167763427526316,13.632677610217716,50.0,202.45558404922485,601
22,2023-04-26 14:45:00 to 2023-05-10 14:45:00,2023-05-11 14:45:00 to 2023-05-13 14:45:00,30,0.02,2,0.3994069960686283,0.9924706620313132,50.0,201.86227679252625,603
23,2023-04-29 14:45:00 to 2023-05-13 14:45:00,2023-05-14 14:45:00 to 2023-05-16 14:45:00,160,0.072,0,0.0,0.0,0.0,205.30969905853271,604
24,2023-05-02 14:45:00 to 2023-05-16 14:45:00,2023-05-17 14:45:00 to 2023-05-19 14:45:00,160,0.072,0,0.0,0.0,0.0,204.76323080062863,605
25,2023-05-05 14:45:00 to 2023-05-19 14:45:00,2023-05-20 14:45:00 to 2023-05-22 14:45:00,260,0.022,1,1.4094181815150113,1.226780883382926,0.0,207.6911268234253,607
26,2023-05-08 14:45:00 to 2023-05-22 14:45:00,2023-05-23 14:45:00 to 2023-05-25 14:45:00,300,0.02,1,-0.7539591069700692,2.844889070680527,0.0,205.36328172683716,609
27,2023-05-11 14:45:00 to 2023-05-25 14:45:00,2023-05-26 14:45:00 to 2023-05-28 14:45:00,235,0.022,0,0.0,0.0,0.0,199.7992341518402,610
28,2023-05-14 14:45:00 to 2023-05-28 14:45:00,2023-05-29 14:45:00 to 2023-05-31 14:45:00,135,0.024,1,0.3437773654916418,0.0,0.0,199.32678413391113,611
29,2023-05-17 14:45:00 to 2023-05-31 14:45:00,2023-06-01 14:45:00 to 2023-06-03 14:45:00,110,0.024,0,0.0,0.0,0.0,199.92159986495972,613
30,2023-05-20 14:45:00 to 2023-06-03 14:45:00,2023-06-04 14:45:00 to 2023-06-06 14:45:00,140,0.026,2,-4.565805485926357,9.072060940876446,50.0,194.59356784820557,615
31,2023-05-23 14:45:00 to 2023-06-06 14:45:00,2023-06-07 14:45:00 to 2023-06-09 14:45:00,135,0.08,0,0.0,0.0,0.0,200.4729390144348,616
32,2023-05-26 14:45:00 to 2023-06-09 14:45:00,2023-06-10 14:45:00 to 2023-06-12 14:45:00,135,0.08,1,-14.204215119026305,16.759814123634776,0.0,202.592768907547,617
33,2023-05-29 14:45:00 to 2023-06-12 14:45:00,2023-06-13 14:45:00 to 2023-06-15 14:45:00,10,0.08,0,0.0,0.0,0.0,207.46190810203552,619
34,2023-06-01 14:45:00 to 2023-06-15 14:45:00,2023-06-16 14:45:00 to 2023-06-18 14:45:00,10,0.08,0,0.0,0.0,0.0,211.2435841560364,621
35,2023-06-04 14:45:00 to 2023-06-18 14:45:00,2023-06-19 14:45:00 to 2023-06-21 14:45:00,10,0.08,0,0.0,0.0,0.0,212.08094477653503,622
36,2023-06-07 14:45:00 to 2023-06-21 14:45:00,2023-06-22 14:45:00 to 2023-06-24 14:45:00,295,0.022,1,1.5949081491712604,0.173386740331498,100.0,208.59244990348816,623
37,2023-06-10 14:45:00 to 2023-06-24 14:45:00,2023-06-25 14:45:00 to 2023-06-27 14:45:00,230,0.022,1,-1.5192449349495474,3.971251379440913,0.0,204.221843957901,625
38,2023-06-13 14:45:00 to 2023-06-27 14:45:00,2023-06-28 14:45:00 to 2023-06-30 14:45:00,115,0.022,2,-6.082531048441288,7.799659693151698,0.0,201.00684094429016,627
39,2023-06-16 14:45:00 to 2023-06-30 14:45:00,2023-07-01 14:45:00 to 2023-07-03 14:45:00,40,0.02,0,0.0,0.0,0.0,201.19469809532168,628
40,2023-06-19 14:45:00 to 2023-07-03 14:45:00,2023-07-04 14:45:00 to 2023-07-06 14:45:00,40,0.02,2,-3.5564703119249135,4.582553558746706,0.0,200.36542201042175,629
41,2023-06-22 14:45:00 to 2023-07-06 14:45:00,2023-07-07 14:45:00 to 2023-07-09 14:45:00,115,0.044,0,0.0,0.0,0.0,209.90950989723208,631
42,2023-06-25 14:45:00 to 2023-07-09 14:45:00,2023-07-10 14:45:00 to 2023-07-12 14:45:00,115,0.044,0,0.0,0.0,0.0,210.3853302001953,633
43,2023-06-28 14:45:00 to 2023-07-12 14:45:00,2023-07-13 14:45:00 to 2023-07-15 14:45:00,160,0.028,1,0.1851670428893885,1.1368188451752987,0.0,201.26451420783997,634
44,2023-07-01 14:45:00 to 2023-07-15 14:45:00,2023-07-16 14:45:00 to 2023-07-18 14:45:00,105,0.028,1,0.7670983346550383,0.1066583986129671,0.0,203.47354316711423,635
45,2023-07-04 14:45:00 to 2023-07-18 14:45:00,2023-07-19 14:45:00 to 2023-07-21 14:45:00,280,0.028,1,0.3292664861826415,2.2995768522499,0.0,204.3381989002228,637
46,2023-07-07 14:45:00 to 2023-07-21 14:45:00,2023-07-22 14:45:00 to 2023-07-24 14:45:00,260,0.026,1,0.0377851239669325,0.5177696914388633,0.0,198.78196382522583,639
47,2023-07-10 14:45:00 to 2023-07-24 14:45:00,2023-07-25 14:45:00 to 2023-07-27 14:45:00,300,0.026,1,0.7595987360502658,1.5251637001325995,100.0,199.32940697669983,640
48,2023-07-13 14:45:00 to 2023-07-27 14:45:00,2023-07-28 14:45:00 to 2023-07-30 14:45:00,300,0.026,0,0.0,0.0,0.0,200.82653784751892,641
49,2023-07-16 14:45:00 to 2023-07-30 14:45:00,2023-07-31 14:45:00 to 2023-08-02 14:45:00,250,0.02,1,-0.7165107458912644,5.347403503442146,0.0,201.20966720581055,643
50,2023-07-19 14:45:00 to 2023-08-02 14:45:00,2023-08-03 14:45:00 to 2023-08-05 14:45:00,115,0.026,1,0.8142448244824482,0.2613649009473426,100.0,198.5477089881897,645
51,2023-07-22 14:45:00 to 2023-08-05 14:45:00,2023-08-06 14:45:00 to 2023-08-08 14:45:00,110,0.022,1,1.4779082877576728,0.1698026248668268,100.0,201.86309909820557,646
52,2023-07-25 14:45:00 to 2023-08-08 14:45:00,2023-08-09 14:45:00 to 2023-08-11 14:45:00,90,0.02,0,0.0,0.0,0.0,199.27763485908508,647
