Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-01-21 07:00:00 to 2021-02-04 07:00:00,2021-02-05 07:00:00 to 2021-02-07 07:00:00,70,0.02,2,4.06278436819739,4.657751398758663,50.0,211.19918394088745,189
2,2021-01-24 07:00:00 to 2021-02-07 07:00:00,2021-02-08 07:00:00 to 2021-02-10 07:00:00,140,0.022,1,2.172293401629868,1.167779735682816,100.0,208.25033497810364,191
3,2021-01-27 07:00:00 to 2021-02-10 07:00:00,2021-02-11 07:00:00 to 2021-02-13 07:00:00,65,0.02,2,6.814324668046065,0.6897097425519416,100.0,209.99840688705444,193
4,2021-01-30 07:00:00 to 2021-02-13 07:00:00,2021-02-14 07:00:00 to 2021-02-16 07:00:00,65,0.02,4,-0.2472299108753213,17.501702661469466,50.0,214.3316478729248,194
5,2021-02-02 07:00:00 to 2021-02-16 07:00:00,2021-02-17 07:00:00 to 2021-02-19 07:00:00,165,0.026,1,2.3018388412326023,3.731506703223002,100.0,222.1024980545044,195
6,2021-02-05 07:00:00 to 2021-02-19 07:00:00,2021-02-20 07:00:00 to 2021-02-22 07:00:00,60,0.022,5,10.230843818111133,3.051668902070991,80.0,217.62804794311523,197
7,2021-02-08 07:00:00 to 2021-02-22 07:00:00,2021-02-23 07:00:00 to 2021-02-25 07:00:00,150,0.036,1,-5.332699096346769,23.496635322310187,0.0,220.7187020778656,199
8,2021-02-11 07:00:00 to 2021-02-25 07:00:00,2021-02-26 07:00:00 to 2021-02-28 07:00:00,260,0.024,9,15.512714229325155,8.372903503328638,88.88888888888889,222.5268518924713,200
9,2021-02-14 07:00:00 to 2021-02-28 07:00:00,2021-03-01 07:00:00 to 2021-03-03 07:00:00,85,0.022,1,4.0615053713197815,0.8714375101312908,100.0,229.99251317977905,201
10,2021-02-17 07:00:00 to 2021-03-03 07:00:00,2021-03-04 07:00:00 to 2021-03-06 07:00:00,240,0.028,2,-0.5278604775888016,4.949423202875517,50.0,230.67350506782532,203
11,2021-02-20 07:00:00 to 2021-03-06 07:00:00,2021-03-07 07:00:00 to 2021-03-09 07:00:00,295,0.026,0,0.0,0.0,0.0,228.3369710445404,205
12,2021-02-23 07:00:00 to 2021-03-09 07:00:00,2021-03-10 07:00:00 to 2021-03-12 07:00:00,35,0.02,8,25.445058813544385,7.12379540175387,100.0,221.532958984375,206
13,2021-02-26 07:00:00 to 2021-03-12 07:00:00,2021-03-13 07:00:00 to 2021-03-15 07:00:00,35,0.02,9,12.502192721716202,16.40128740747961,77.77777777777779,209.84522795677185,207
14,2021-03-01 07:00:00 to 2021-03-15 07:00:00,2021-03-16 07:00:00 to 2021-03-18 07:00:00,35,0.02,7,4.855780444709817,10.419802498288115,57.14285714285714,220.26108598709104,209
15,2021-03-04 07:00:00 to 2021-03-18 07:00:00,2021-03-19 07:00:00 to 2021-03-21 07:00:00,35,0.044,2,-2.7295483829246585,5.391157045896429,0.0,226.25804805755615,211
16,2021-03-07 07:00:00 to 2021-03-21 07:00:00,2021-03-22 07:00:00 to 2021-03-24 07:00:00,15,0.026,3,3.7918486959282385,1.232976668283809,100.0,222.861732006073,212
17,2021-03-10 07:00:00 to 2021-03-24 07:00:00,2021-03-25 07:00:00 to 2021-03-27 07:00:00,15,0.026,2,3.56915635816873,0.9132318839486886,100.0,223.0696680545807,213
18,2021-03-13 07:00:00 to 2021-03-27 07:00:00,2021-03-28 07:00:00 to 2021-03-30 07:00:00,65,0.038,0,0.0,0.0,0.0,228.9742851257324,215
19,2021-03-16 07:00:00 to 2021-03-30 07:00:00,2021-03-31 07:00:00 to 2021-04-02 07:00:00,50,0.022,3,3.948988525317073,0.7848789310194022,100.0,211.86340188980105,217
20,2021-03-19 07:00:00 to 2021-04-02 07:00:00,2021-04-03 07:00:00 to 2021-04-05 07:00:00,175,0.038,2,6.622900636339309,4.561441386390598,50.0,213.3187129497528,218
21,2021-03-22 07:00:00 to 2021-04-05 07:00:00,2021-04-06 07:00:00 to 2021-04-08 07:00:00,225,0.04,1,5.863490221526917,12.12359135053528,100.0,215.6200988292694,219
22,2021-03-25 07:00:00 to 2021-04-08 07:00:00,2021-04-09 07:00:00 to 2021-04-11 07:00:00,70,0.026,3,-0.5891351399022642,4.625617484716501,66.66666666666666,205.9873411655426,221
23,2021-03-28 07:00:00 to 2021-04-11 07:00:00,2021-04-12 07:00:00 to 2021-04-14 07:00:00,70,0.026,2,0.225701704946714,2.4639371763401203,50.0,213.56114101409912,223
24,2021-03-31 07:00:00 to 2021-04-14 07:00:00,2021-04-15 07:00:00 to 2021-04-17 07:00:00,270,0.078,0,0.0,0.0,0.0,212.2911801338196,224
25,2021-04-03 07:00:00 to 2021-04-17 07:00:00,2021-04-18 07:00:00 to 2021-04-20 07:00:00,15,0.02,8,-2.860119690365282,14.785006088111782,50.0,206.33313012123108,225
26,2021-04-06 07:00:00 to 2021-04-20 07:00:00,2021-04-21 07:00:00 to 2021-04-23 07:00:00,15,0.02,10,-3.6041424283111336,20.961563692770618,60.0,213.85764503479004,227
27,2021-04-09 07:00:00 to 2021-04-23 07:00:00,2021-04-24 07:00:00 to 2021-04-26 07:00:00,20,0.02,4,0.0529953918884166,9.258809043006952,75.0,217.99708485603333,229
28,2021-04-12 07:00:00 to 2021-04-26 07:00:00,2021-04-27 07:00:00 to 2021-04-29 07:00:00,15,0.02,4,5.653299416577775,5.37348150465285,75.0,223.29470491409305,230
29,2021-04-15 07:00:00 to 2021-04-29 07:00:00,2021-04-30 07:00:00 to 2021-05-02 07:00:00,20,0.038,0,0.0,0.0,0.0,223.85261392593384,231
30,2021-04-18 07:00:00 to 2021-05-02 07:00:00,2021-05-03 07:00:00 to 2021-05-05 07:00:00,10,0.028,2,1.4376517067798158,2.109962098852619,100.0,220.33004212379456,233
31,2021-04-21 07:00:00 to 2021-05-05 07:00:00,2021-05-06 07:00:00 to 2021-05-08 07:00:00,175,0.026,3,4.375445955464383,0.5001346159660521,100.0,227.1129970550537,235
32,2021-04-24 07:00:00 to 2021-05-08 07:00:00,2021-05-09 07:00:00 to 2021-05-11 07:00:00,95,0.02,2,-3.801908662047973,9.306954472777184,50.0,216.76743817329407,236
33,2021-04-27 07:00:00 to 2021-05-11 07:00:00,2021-05-12 07:00:00 to 2021-05-14 07:00:00,95,0.022,7,15.516116654787984,5.5838778917027065,100.0,213.3659121990204,237
34,2021-04-30 07:00:00 to 2021-05-14 07:00:00,2021-05-15 07:00:00 to 2021-05-17 07:00:00,185,0.03,2,0.1147361490200091,11.244222490939924,50.0,223.68004298210144,239
35,2021-05-03 07:00:00 to 2021-05-17 07:00:00,2021-05-18 07:00:00 to 2021-05-20 07:00:00,100,0.02,3,-22.579966390411883,58.021209079537776,66.66666666666666,221.02926588058472,241
36,2021-05-06 07:00:00 to 2021-05-20 07:00:00,2021-05-21 07:00:00 to 2021-05-23 07:00:00,20,0.08,2,5.121082289375645,9.616737927511592,100.0,226.52337312698364,242
37,2021-05-09 07:00:00 to 2021-05-23 07:00:00,2021-05-24 07:00:00 to 2021-05-26 07:00:00,20,0.08,0,0.0,0.0,0.0,227.0316641330719,243
38,2021-05-12 07:00:00 to 2021-05-26 07:00:00,2021-05-27 07:00:00 to 2021-05-29 07:00:00,20,0.08,0,0.0,0.0,0.0,217.81519103050232,245
39,2021-05-15 07:00:00 to 2021-05-29 07:00:00,2021-05-30 07:00:00 to 2021-06-01 07:00:00,20,0.076,0,0.0,0.0,0.0,279.29194927215576,247
40,2021-05-18 07:00:00 to 2021-06-01 07:00:00,2021-06-02 07:00:00 to 2021-06-04 07:00:00,120,0.06,1,-1.3654820111731896,1.50952416701111,0.0,227.1142060756683,248
41,2021-05-21 07:00:00 to 2021-06-04 07:00:00,2021-06-05 07:00:00 to 2021-06-07 07:00:00,230,0.044,1,2.7825878048155936,2.409751240844358,100.0,223.94008493423465,249
42,2021-05-24 07:00:00 to 2021-06-07 07:00:00,2021-06-08 07:00:00 to 2021-06-10 07:00:00,20,0.02,3,-4.3073528339711995,7.85082466177619,0.0,218.47200274467468,251
43,2021-05-27 07:00:00 to 2021-06-10 07:00:00,2021-06-11 07:00:00 to 2021-06-13 07:00:00,235,0.074,1,-2.09905744356638,4.566017805170522,0.0,218.72765183448792,253
44,2021-05-30 07:00:00 to 2021-06-13 07:00:00,2021-06-14 07:00:00 to 2021-06-16 07:00:00,245,0.068,0,0.0,0.0,0.0,214.7272129058838,254
45,2021-06-02 07:00:00 to 2021-06-16 07:00:00,2021-06-17 07:00:00 to 2021-06-19 07:00:00,210,0.064,1,-4.542856992716297,7.123874792720456,0.0,220.50859904289248,255
46,2021-06-05 07:00:00 to 2021-06-19 07:00:00,2021-06-20 07:00:00 to 2021-06-22 07:00:00,10,0.026,6,2.173393495055243,7.657732491544406,66.66666666666666,217.55019092559817,257
47,2021-06-08 07:00:00 to 2021-06-22 07:00:00,2021-06-23 07:00:00 to 2021-06-25 07:00:00,10,0.03,1,2.7836392711398,0.010302519686788,100.0,221.79649090766907,259
48,2021-06-11 07:00:00 to 2021-06-25 07:00:00,2021-06-26 07:00:00 to 2021-06-28 07:00:00,35,0.062,0,0.0,0.0,0.0,219.99756693840027,260
49,2021-06-14 07:00:00 to 2021-06-28 07:00:00,2021-06-29 07:00:00 to 2021-07-01 07:00:00,40,0.062,0,0.0,0.0,0.0,222.35045194625857,261
50,2021-06-17 07:00:00 to 2021-07-01 07:00:00,2021-07-02 07:00:00 to 2021-07-04 07:00:00,240,0.048,1,1.5059180412371098,0.9225974610046096,100.0,221.04071283340457,263
51,2021-06-20 07:00:00 to 2021-07-04 07:00:00,2021-07-05 07:00:00 to 2021-07-07 07:00:00,220,0.044,1,2.070358889709405,0.9741724574759784,100.0,215.90077686309817,265
52,2021-06-23 07:00:00 to 2021-07-07 07:00:00,2021-07-08 07:00:00 to 2021-07-10 07:00:00,295,0.02,1,0.6825660432825862,9.888954997877097,0.0,211.4052348136902,266
53,2021-06-26 07:00:00 to 2021-07-10 07:00:00,2021-07-11 07:00:00 to 2021-07-13 07:00:00,50,0.02,2,1.201477570209354,2.0879374601392455,100.0,209.09881210327148,267
