Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-09-30 13:00:00 to 2024-10-14 13:00:00,2024-10-15 13:00:00 to 2024-10-17 13:00:00,295,0.026,1,0.3617765698755647,0.0308711200114339,0.0,207.2496781349182,864
2,2024-10-03 13:00:00 to 2024-10-17 13:00:00,2024-10-18 13:00:00 to 2024-10-20 13:00:00,110,0.02,0,0.0,0.0,0.0,200.9119608402252,865
3,2024-10-06 13:00:00 to 2024-10-20 13:00:00,2024-10-21 13:00:00 to 2024-10-23 13:00:00,120,0.02,2,0.9059621438469184,1.0086942087440425,100.0,206.7489950656891,867
4,2024-10-09 13:00:00 to 2024-10-23 13:00:00,2024-10-24 13:00:00 to 2024-10-26 13:00:00,115,0.02,1,0.5276337839700318,2.5745148546009067,100.0,200.41119718551636,869
5,2024-10-12 13:00:00 to 2024-10-26 13:00:00,2024-10-27 13:00:00 to 2024-10-29 13:00:00,115,0.02,0,0.0,0.0,0.0,203.12929105758667,870
6,2024-10-15 13:00:00 to 2024-10-29 13:00:00,2024-10-30 13:00:00 to 2024-11-01 13:00:00,265,0.03,1,0.1194119528864394,1.2017134064581554,0.0,204.11252212524417,871
7,2024-10-18 13:00:00 to 2024-11-01 13:00:00,2024-11-02 13:00:00 to 2024-11-04 13:00:00,160,0.03,1,-2.4101472583211216,6.481927613826933,0.0,208.99264788627625,873
8,2024-10-21 13:00:00 to 2024-11-04 13:00:00,2024-11-05 13:00:00 to 2024-11-07 13:00:00,155,0.05,0,0.0,0.0,0.0,206.82031536102295,875
9,2024-10-24 13:00:00 to 2024-11-07 13:00:00,2024-11-08 13:00:00 to 2024-11-10 13:00:00,50,0.022,1,0.6523499999999877,0.3941281465900064,100.0,207.54862594604492,876
10,2024-10-27 13:00:00 to 2024-11-10 13:00:00,2024-11-11 13:00:00 to 2024-11-13 13:00:00,50,0.022,4,-3.564849814269419,8.01405393159471,25.0,204.40786409378052,877
11,2024-10-30 13:00:00 to 2024-11-13 13:00:00,2024-11-14 13:00:00 to 2024-11-16 13:00:00,65,0.02,2,0.8579632712472267,3.5441749640176163,100.0,210.7473909854889,879
12,2024-11-02 13:00:00 to 2024-11-16 13:00:00,2024-11-17 13:00:00 to 2024-11-19 13:00:00,65,0.02,2,2.5422262400446014,1.5886768206820678,100.0,212.32675004005432,881
13,2024-11-05 13:00:00 to 2024-11-19 13:00:00,2024-11-20 13:00:00 to 2024-11-22 13:00:00,65,0.02,3,3.637229376616924,1.4562201763984155,100.0,211.5875508785248,882
14,2024-11-08 13:00:00 to 2024-11-22 13:00:00,2024-11-23 13:00:00 to 2024-11-25 13:00:00,65,0.02,3,3.323775949061146,5.438640152390684,66.66666666666666,214.79787516593933,883
15,2024-11-11 13:00:00 to 2024-11-25 13:00:00,2024-11-26 13:00:00 to 2024-11-28 13:00:00,100,0.024,2,2.0244718634168204,5.518658344342414,100.0,214.79111003875732,885
