Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-10-26 03:30:00 to 2021-11-09 03:30:00,2021-11-10 03:30:00 to 2021-11-12 03:30:00,115,0.02,4,3.664710521129928,8.374383749946624,75.0,209.1375317573547,329
2,2021-10-29 03:30:00 to 2021-11-12 03:30:00,2021-11-13 03:30:00 to 2021-11-15 03:30:00,50,0.022,3,2.033364942037424,3.887968828930053,66.66666666666666,208.12512278556824,330
3,2021-11-01 03:30:00 to 2021-11-15 03:30:00,2021-11-16 03:30:00 to 2021-11-18 03:30:00,60,0.024,2,-0.1962417663773522,13.403776659140984,50.0,210.1295919418335,331
4,2021-11-04 03:30:00 to 2021-11-18 03:30:00,2021-11-19 03:30:00 to 2021-11-21 03:30:00,20,0.032,0,0.0,0.0,0.0,210.7404010295868,333
5,2021-11-07 03:30:00 to 2021-11-21 03:30:00,2021-11-22 03:30:00 to 2021-11-24 03:30:00,45,0.056,0,0.0,0.0,0.0,215.1911308765411,335
6,2021-11-10 03:30:00 to 2021-11-24 03:30:00,2021-11-25 03:30:00 to 2021-11-27 03:30:00,45,0.052,1,-3.6683924968644535,9.988272169306892,0.0,217.47543597221377,336
7,2021-11-13 03:30:00 to 2021-11-27 03:30:00,2021-11-28 03:30:00 to 2021-11-30 03:30:00,300,0.048,1,2.746609067456211,3.984066859026231,100.0,215.88840079307556,337
8,2021-11-16 03:30:00 to 2021-11-30 03:30:00,2021-12-01 03:30:00 to 2021-12-03 03:30:00,240,0.054,1,2.9607102049056264,0.6928012921189923,100.0,208.67353320121765,339
9,2021-11-19 03:30:00 to 2021-12-03 03:30:00,2021-12-04 03:30:00 to 2021-12-06 03:30:00,295,0.022,1,-24.193670731116917,27.662983033368956,0.0,208.4653971195221,341
10,2021-11-22 03:30:00 to 2021-12-06 03:30:00,2021-12-07 03:30:00 to 2021-12-09 03:30:00,10,0.058,0,0.0,0.0,0.0,211.69882822036743,342
11,2021-11-25 03:30:00 to 2021-12-09 03:30:00,2021-12-10 03:30:00 to 2021-12-12 03:30:00,10,0.058,0,0.0,0.0,0.0,214.83888578414917,343
12,2021-11-28 03:30:00 to 2021-12-12 03:30:00,2021-12-13 03:30:00 to 2021-12-15 03:30:00,10,0.058,0,0.0,0.0,0.0,212.18172907829285,345
13,2021-12-01 03:30:00 to 2021-12-15 03:30:00,2021-12-16 03:30:00 to 2021-12-18 03:30:00,295,0.066,0,0.0,0.0,0.0,215.2720649242401,347
14,2021-12-04 03:30:00 to 2021-12-18 03:30:00,2021-12-19 03:30:00 to 2021-12-21 03:30:00,220,0.058,1,0.430189879518075,1.5274974959985694,0.0,213.22793292999268,348
