Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-07-10 09:00:00 to 2020-07-24 09:00:00,2020-07-25 09:00:00 to 2020-07-27 09:00:00,20,0.022,4,0.5608768734328805,0.0599898740397683,75.0,211.81784081459045,93
2,2020-07-13 09:00:00 to 2020-07-27 09:00:00,2020-07-28 09:00:00 to 2020-07-30 09:00:00,30,0.02,3,0.5682853287535363,0.4001376430895271,100.0,210.79321813583377,94
3,2020-07-16 09:00:00 to 2020-07-30 09:00:00,2020-07-31 09:00:00 to 2020-08-02 09:00:00,30,0.02,4,1.1240092100121,3.768692944344798,75.0,206.7227702140808,95
4,2020-07-19 09:00:00 to 2020-08-02 09:00:00,2020-08-03 09:00:00 to 2020-08-05 09:00:00,280,0.024,2,6.4052269915691795,1.6807432274800624,100.0,205.15830087661743,97
5,2020-07-22 09:00:00 to 2020-08-05 09:00:00,2020-08-06 09:00:00 to 2020-08-08 09:00:00,285,0.024,1,0.5724207194244627,0.945248926254771,100.0,204.73564791679385,99
6,2020-07-25 09:00:00 to 2020-08-08 09:00:00,2020-08-09 09:00:00 to 2020-08-11 09:00:00,290,0.02,3,0.407160958354525,0.8159336617673963,100.0,203.9535601139069,100
7,2020-07-28 09:00:00 to 2020-08-11 09:00:00,2020-08-12 09:00:00 to 2020-08-14 09:00:00,290,0.02,2,1.7391305687203569,0.7781639872620256,100.0,205.874174118042,101
8,2020-07-31 09:00:00 to 2020-08-14 09:00:00,2020-08-15 09:00:00 to 2020-08-17 09:00:00,290,0.02,3,0.6780162924957949,0.3488098633300789,100.0,204.6207537651062,103
9,2020-08-03 09:00:00 to 2020-08-17 09:00:00,2020-08-18 09:00:00 to 2020-08-20 09:00:00,300,0.02,1,0.3231450956950539,2.8427408541278028,0.0,200.5692517757416,105
10,2020-08-06 09:00:00 to 2020-08-20 09:00:00,2020-08-21 09:00:00 to 2020-08-23 09:00:00,295,0.02,12,1.8754777478513465,0.960950701965266,91.66666666666666,202.78937816619873,106
11,2020-08-09 09:00:00 to 2020-08-23 09:00:00,2020-08-24 09:00:00 to 2020-08-26 09:00:00,220,0.02,1,0.2024077966911136,1.9314677004328349,0.0,202.23335099220276,107
12,2020-08-12 09:00:00 to 2020-08-26 09:00:00,2020-08-27 09:00:00 to 2020-08-29 09:00:00,265,0.02,1,0.3932458742656308,2.727548009295941,100.0,200.68804812431335,109
13,2020-08-15 09:00:00 to 2020-08-29 09:00:00,2020-08-30 09:00:00 to 2020-09-01 09:00:00,265,0.024,1,0.9954613700344088,0.602311212865229,0.0,206.33053302764893,111
14,2020-08-18 09:00:00 to 2020-09-01 09:00:00,2020-09-02 09:00:00 to 2020-09-04 09:00:00,140,0.02,2,-9.438621984918536,11.984238678824074,50.0,203.41501593589783,112
15,2020-08-21 09:00:00 to 2020-09-04 09:00:00,2020-09-05 09:00:00 to 2020-09-07 09:00:00,25,0.02,5,3.804190535433791,1.4587071611036178,100.0,202.02072405815125,113
16,2020-08-24 09:00:00 to 2020-09-07 09:00:00,2020-09-08 09:00:00 to 2020-09-10 09:00:00,20,0.02,4,1.0258961277596428,0.2012467135077511,100.0,208.90590691566467,115
17,2020-08-27 09:00:00 to 2020-09-10 09:00:00,2020-09-11 09:00:00 to 2020-09-13 09:00:00,20,0.02,2,0.2986338018433344,0.2417060814087979,100.0,207.48988699913025,117
18,2020-08-30 09:00:00 to 2020-09-13 09:00:00,2020-09-14 09:00:00 to 2020-09-16 09:00:00,20,0.02,4,0.9869143140787308,0.3368286417178186,100.0,211.4311630725861,118
19,2020-09-02 09:00:00 to 2020-09-16 09:00:00,2020-09-17 09:00:00 to 2020-09-19 09:00:00,20,0.02,4,0.306388848941533,0.0340479376978011,100.0,208.52980399131775,119
20,2020-09-05 09:00:00 to 2020-09-19 09:00:00,2020-09-20 09:00:00 to 2020-09-22 09:00:00,80,0.02,3,-1.1327046641672132,1.901940112758032,66.66666666666666,204.64697098731995,121
21,2020-09-08 09:00:00 to 2020-09-22 09:00:00,2020-09-23 09:00:00 to 2020-09-25 09:00:00,20,0.02,1,0.1199468412942951,1.1447334360554668,100.0,199.5937578678131,123
22,2020-09-11 09:00:00 to 2020-09-25 09:00:00,2020-09-26 09:00:00 to 2020-09-28 09:00:00,55,0.02,4,0.3418932638304613,0.3537298130101738,75.0,204.51817107200625,124
23,2020-09-14 09:00:00 to 2020-09-28 09:00:00,2020-09-29 09:00:00 to 2020-10-01 09:00:00,55,0.02,0,0.0,0.0,0.0,205.98625588417053,125
24,2020-09-17 09:00:00 to 2020-10-01 09:00:00,2020-10-02 09:00:00 to 2020-10-04 09:00:00,45,0.022,5,0.0795559824427073,1.0559638951524632,40.0,202.5789909362793,127
25,2020-09-20 09:00:00 to 2020-10-04 09:00:00,2020-10-05 09:00:00 to 2020-10-07 09:00:00,300,0.022,8,0.2145769753712375,0.5879321192253738,62.5,202.37998008728027,129
26,2020-09-23 09:00:00 to 2020-10-07 09:00:00,2020-10-08 09:00:00 to 2020-10-10 09:00:00,115,0.02,0,0.0,0.0,0.0,199.83462476730347,130
27,2020-09-26 09:00:00 to 2020-10-10 09:00:00,2020-10-11 09:00:00 to 2020-10-13 09:00:00,285,0.022,0,0.0,0.0,0.0,202.27448081970215,131
28,2020-09-29 09:00:00 to 2020-10-13 09:00:00,2020-10-14 09:00:00 to 2020-10-16 09:00:00,290,0.022,6,-0.4927691345093626,0.6934552565268755,66.66666666666666,202.9536490440369,133
29,2020-10-02 09:00:00 to 2020-10-16 09:00:00,2020-10-17 09:00:00 to 2020-10-19 09:00:00,240,0.02,0,0.0,0.0,0.0,200.92428278923035,135
30,2020-10-05 09:00:00 to 2020-10-19 09:00:00,2020-10-20 09:00:00 to 2020-10-22 09:00:00,15,0.02,4,0.2199487836842672,0.1907343003148635,100.0,200.3978967666626,136
31,2020-10-08 09:00:00 to 2020-10-22 09:00:00,2020-10-23 09:00:00 to 2020-10-25 09:00:00,10,0.02,0,0.0,0.0,0.0,194.96163988113403,137
32,2020-10-11 09:00:00 to 2020-10-25 09:00:00,2020-10-26 09:00:00 to 2020-10-28 09:00:00,10,0.02,3,-0.5094196737064157,1.5534023494782525,66.66666666666666,197.5967082977295,139
33,2020-10-14 09:00:00 to 2020-10-28 09:00:00,2020-10-29 09:00:00 to 2020-10-31 09:00:00,65,0.028,0,0.0,0.0,0.0,196.33939504623413,141
34,2020-10-17 09:00:00 to 2020-10-31 09:00:00,2020-11-01 09:00:00 to 2020-11-03 09:00:00,65,0.028,0,0.0,0.0,0.0,200.91134405136108,142
35,2020-10-20 09:00:00 to 2020-11-03 09:00:00,2020-11-04 09:00:00 to 2020-11-06 09:00:00,65,0.028,0,0.0,0.0,0.0,200.9763698577881,143
36,2020-10-23 09:00:00 to 2020-11-06 09:00:00,2020-11-07 09:00:00 to 2020-11-09 09:00:00,65,0.028,1,0.0473484062268107,1.562636118812642,100.0,197.8497738838196,145
37,2020-10-26 09:00:00 to 2020-11-09 09:00:00,2020-11-10 09:00:00 to 2020-11-12 09:00:00,30,0.02,2,-0.4564315581744995,1.0657400217448216,50.0,206.32705116271973,147
38,2020-10-29 09:00:00 to 2020-11-12 09:00:00,2020-11-13 09:00:00 to 2020-11-15 09:00:00,200,0.02,0,0.0,0.0,0.0,202.6812858581543,148
39,2020-11-01 09:00:00 to 2020-11-15 09:00:00,2020-11-16 09:00:00 to 2020-11-18 09:00:00,80,0.02,6,1.7753855060770911,0.3596319831534789,100.0,204.7917881011963,149
40,2020-11-04 09:00:00 to 2020-11-18 09:00:00,2020-11-19 09:00:00 to 2020-11-21 09:00:00,65,0.02,3,0.6250550507175103,0.249906130745101,100.0,201.1842019557953,151
41,2020-11-07 09:00:00 to 2020-11-21 09:00:00,2020-11-22 09:00:00 to 2020-11-24 09:00:00,40,0.02,4,0.265154998836897,5.488140816273849,75.0,204.0323667526245,153
42,2020-11-10 09:00:00 to 2020-11-24 09:00:00,2020-11-25 09:00:00 to 2020-11-27 09:00:00,70,0.02,4,-12.628094031544478,21.35233810193468,75.0,201.69498085975647,154
43,2020-11-13 09:00:00 to 2020-11-27 09:00:00,2020-11-28 09:00:00 to 2020-11-30 09:00:00,45,0.02,3,0.4754699048424664,0.7498433411737527,100.0,204.0649530887604,155
44,2020-11-16 09:00:00 to 2020-11-30 09:00:00,2020-12-01 09:00:00 to 2020-12-03 09:00:00,45,0.02,3,2.768720650764899,2.3556453877317356,100.0,207.1117568016052,157
45,2020-11-19 09:00:00 to 2020-12-03 09:00:00,2020-12-04 09:00:00 to 2020-12-06 09:00:00,15,0.044,0,0.0,0.0,0.0,207.90622210502625,159
46,2020-11-22 09:00:00 to 2020-12-06 09:00:00,2020-12-07 09:00:00 to 2020-12-09 09:00:00,45,0.02,6,-2.0909515852772347,3.15146232857005,50.0,211.38574624061584,160
47,2020-11-25 09:00:00 to 2020-12-09 09:00:00,2020-12-10 09:00:00 to 2020-12-12 09:00:00,135,0.032,0,0.0,0.0,0.0,207.64118003845215,161
48,2020-11-28 09:00:00 to 2020-12-12 09:00:00,2020-12-13 09:00:00 to 2020-12-15 09:00:00,35,0.026,1,0.0483525000000008,0.0601818749999984,100.0,206.24914288520813,163
49,2020-12-01 09:00:00 to 2020-12-15 09:00:00,2020-12-16 09:00:00 to 2020-12-18 09:00:00,15,0.02,2,-2.779125335785593,4.3675397234615305,50.0,201.35631108283997,165
50,2020-12-04 09:00:00 to 2020-12-18 09:00:00,2020-12-19 09:00:00 to 2020-12-21 09:00:00,105,0.02,7,7.914109042303062,0.9701481107456794,85.71428571428571,201.97349619865415,166
51,2020-12-07 09:00:00 to 2020-12-21 09:00:00,2020-12-22 09:00:00 to 2020-12-24 09:00:00,105,0.02,3,-6.924320283908438,14.92264012625878,66.66666666666666,201.8540539741516,167
52,2020-12-10 09:00:00 to 2020-12-24 09:00:00,2020-12-25 09:00:00 to 2020-12-27 09:00:00,75,0.024,1,1.376387713310578,0.0183178519322197,100.0,199.95614409446716,169
53,2020-12-13 09:00:00 to 2020-12-27 09:00:00,2020-12-28 09:00:00 to 2020-12-30 09:00:00,75,0.024,2,2.605901843884312,2.168414460297958,100.0,204.99519801139832,171
54,2020-12-16 09:00:00 to 2020-12-30 09:00:00,2020-12-31 09:00:00 to 2021-01-02 09:00:00,105,0.02,0,0.0,0.0,0.0,208.40243196487427,172
55,2020-12-19 09:00:00 to 2021-01-02 09:00:00,2021-01-03 09:00:00 to 2021-01-05 09:00:00,20,0.024,6,-14.6030303653348,28.98202400634242,50.0,213.43123197555545,173
56,2020-12-22 09:00:00 to 2021-01-05 09:00:00,2021-01-06 09:00:00 to 2021-01-08 09:00:00,280,0.064,2,5.819733194477048,1.9364276077501807,50.0,208.91577196121216,175
