Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-08-26 12:30:00 to 2024-09-09 12:30:00,2024-09-10 12:30:00 to 2024-09-12 12:30:00,50,0.02,2,-2.40903335974539,3.321806586893833,50.0,227.2594907283783,847
2,2024-08-29 12:30:00 to 2024-09-12 12:30:00,2024-09-13 12:30:00 to 2024-09-15 12:30:00,180,0.08,0,0.0,0.0,0.0,221.69630908966064,848
3,2024-09-01 12:30:00 to 2024-09-15 12:30:00,2024-09-16 12:30:00 to 2024-09-18 12:30:00,265,0.05,1,2.9973761941741395,4.853828790447642,100.0,212.4991958141327,849
4,2024-09-04 12:30:00 to 2024-09-18 12:30:00,2024-09-19 12:30:00 to 2024-09-21 12:30:00,115,0.038,0,0.0,0.0,0.0,209.14374613761905,851
5,2024-09-07 12:30:00 to 2024-09-21 12:30:00,2024-09-22 12:30:00 to 2024-09-24 12:30:00,170,0.048,1,1.4267855424436129,3.456944272560805,100.0,206.27122473716736,853
6,2024-09-10 12:30:00 to 2024-09-24 12:30:00,2024-09-25 12:30:00 to 2024-09-27 12:30:00,285,0.068,0,0.0,0.0,0.0,205.8057360649109,854
7,2024-09-13 12:30:00 to 2024-09-27 12:30:00,2024-09-28 12:30:00 to 2024-09-30 12:30:00,295,0.064,1,-0.0687391631170248,0.577723919920655,0.0,208.6582591533661,855
8,2024-09-16 12:30:00 to 2024-09-30 12:30:00,2024-10-01 12:30:00 to 2024-10-03 12:30:00,195,0.056,1,-3.3269681214581217,14.61785692432074,0.0,202.6172490119934,857
9,2024-09-19 12:30:00 to 2024-10-03 12:30:00,2024-10-04 12:30:00 to 2024-10-06 12:30:00,95,0.08,0,0.0,0.0,0.0,203.83322286605835,859
10,2024-09-22 12:30:00 to 2024-10-06 12:30:00,2024-10-07 12:30:00 to 2024-10-09 12:30:00,95,0.08,4,1.2378127888940615,0.1648414966334123,100.0,206.66124320030212,860
11,2024-09-25 12:30:00 to 2024-10-09 12:30:00,2024-10-10 12:30:00 to 2024-10-12 12:30:00,95,0.08,1,2.811391420911532,2.8462274368486065,100.0,213.85892820358276,861
12,2024-09-28 12:30:00 to 2024-10-12 12:30:00,2024-10-13 12:30:00 to 2024-10-15 12:30:00,300,0.048,1,0.520413098236786,0.3977229219143555,0.0,220.7526500225067,863
13,2024-10-01 12:30:00 to 2024-10-15 12:30:00,2024-10-16 12:30:00 to 2024-10-18 12:30:00,95,0.024,8,-4.932235055171223,7.053160130270043,87.5,220.59542202949524,865
14,2024-10-04 12:30:00 to 2024-10-18 12:30:00,2024-10-19 12:30:00 to 2024-10-21 12:30:00,75,0.02,1,-2.0550630931007983,2.26307279258543,0.0,230.6310920715332,866
15,2024-10-07 12:30:00 to 2024-10-21 12:30:00,2024-10-22 12:30:00 to 2024-10-24 12:30:00,275,0.052,2,0.1185109902690237,1.7472857142857174,50.0,226.6637818813324,867
16,2024-10-10 12:30:00 to 2024-10-24 12:30:00,2024-10-25 12:30:00 to 2024-10-27 12:30:00,60,0.028,1,-9.106423755571525,14.290832920273234,0.0,220.9232292175293,869
17,2024-10-13 12:30:00 to 2024-10-27 12:30:00,2024-10-28 12:30:00 to 2024-10-30 12:30:00,15,0.07,6,1.32708429441911,1.024851778438367,66.66666666666666,223.31788802146912,871
18,2024-10-16 12:30:00 to 2024-10-30 12:30:00,2024-10-31 12:30:00 to 2024-11-02 12:30:00,110,0.064,6,0.4033860131855908,2.6056819645817457,83.33333333333334,218.26074504852295,872
19,2024-10-19 12:30:00 to 2024-11-02 12:30:00,2024-11-03 12:30:00 to 2024-11-05 12:30:00,160,0.07,8,3.1751054377770016,2.5453275450190307,100.0,219.55700731277463,873
20,2024-10-22 12:30:00 to 2024-11-05 12:30:00,2024-11-06 12:30:00 to 2024-11-08 12:30:00,180,0.072,0,0.0,0.0,0.0,234.9279398918152,875
21,2024-10-25 12:30:00 to 2024-11-08 12:30:00,2024-11-09 12:30:00 to 2024-11-11 12:30:00,40,0.026,8,6.337318057647426,0.3470935595329283,87.5,240.3112678527832,877
22,2024-10-28 12:30:00 to 2024-11-11 12:30:00,2024-11-12 12:30:00 to 2024-11-14 12:30:00,40,0.026,14,-0.950270923990338,10.125575131726409,85.71428571428571,240.19189405441284,878
23,2024-10-31 12:30:00 to 2024-11-14 12:30:00,2024-11-15 12:30:00 to 2024-11-17 12:30:00,290,0.064,1,0.91290406830738,0.0331279815096401,100.0,245.82948398590088,879
24,2024-11-03 12:30:00 to 2024-11-17 12:30:00,2024-11-18 12:30:00 to 2024-11-20 12:30:00,20,0.036,9,1.0098565986829635,2.8635674686524344,88.88888888888889,239.6665086746216,881
25,2024-11-06 12:30:00 to 2024-11-20 12:30:00,2024-11-21 12:30:00 to 2024-11-23 12:30:00,20,0.036,6,1.5820013986659978,0.4704886877828176,100.0,242.98142290115356,883
