Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-03-18 15:30:00 to 2024-04-01 15:30:00,2024-04-02 15:30:00 to 2024-04-04 15:30:00,95,0.026,3,2.184353635962998,9.027129750870133,33.33333333333333,207.8971312046051,766
2,2024-03-21 15:30:00 to 2024-04-04 15:30:00,2024-04-05 15:30:00 to 2024-04-07 15:30:00,120,0.042,1,2.390301818181815,1.3119773579852387,100.0,204.5977611541748,767
3,2024-03-24 15:30:00 to 2024-04-07 15:30:00,2024-04-08 15:30:00 to 2024-04-10 15:30:00,115,0.054,1,1.2988711476681238,6.054668507947269,100.0,209.15958189964297,769
4,2024-03-27 15:30:00 to 2024-04-10 15:30:00,2024-04-11 15:30:00 to 2024-04-13 15:30:00,115,0.054,1,-9.736300599757053,20.447491470454228,0.0,209.2331709861755,771
5,2024-03-30 15:30:00 to 2024-04-13 15:30:00,2024-04-14 15:30:00 to 2024-04-16 15:30:00,95,0.066,1,0.993309310888999,2.7659876132927947,100.0,210.9648241996765,772
6,2024-04-02 15:30:00 to 2024-04-16 15:30:00,2024-04-17 15:30:00 to 2024-04-19 15:30:00,95,0.066,2,5.859120288354734,0.6483720958700622,100.0,205.1095230579376,773
7,2024-04-05 15:30:00 to 2024-04-19 15:30:00,2024-04-20 15:30:00 to 2024-04-22 15:30:00,95,0.066,0,0.0,0.0,0.0,206.2158579826355,775
8,2024-04-08 15:30:00 to 2024-04-22 15:30:00,2024-04-23 15:30:00 to 2024-04-25 15:30:00,95,0.066,0,0.0,0.0,0.0,210.60052585601807,777
9,2024-04-11 15:30:00 to 2024-04-25 15:30:00,2024-04-26 15:30:00 to 2024-04-28 15:30:00,110,0.03,1,-0.5654358234295432,4.433158587071826,0.0,213.34329271316528,778
10,2024-04-14 15:30:00 to 2024-04-28 15:30:00,2024-04-29 15:30:00 to 2024-05-01 15:30:00,105,0.028,3,-5.741521805333213,13.682975816438589,66.66666666666666,207.48032307624817,779
11,2024-04-17 15:30:00 to 2024-05-01 15:30:00,2024-05-02 15:30:00 to 2024-05-04 15:30:00,70,0.026,1,1.5302937976060822,0.7534862268335206,100.0,202.35012006759644,781
12,2024-04-20 15:30:00 to 2024-05-04 15:30:00,2024-05-05 15:30:00 to 2024-05-07 15:30:00,55,0.026,2,1.2869399399213035,3.2944212638976937,50.0,202.8985311985016,783
13,2024-04-23 15:30:00 to 2024-05-07 15:30:00,2024-05-08 15:30:00 to 2024-05-10 15:30:00,55,0.02,3,2.206357056268935,2.466749719310128,66.66666666666666,204.33159399032593,784
14,2024-04-26 15:30:00 to 2024-05-10 15:30:00,2024-05-11 15:30:00 to 2024-05-13 15:30:00,40,0.02,2,0.927253645441142,2.964016383616581,50.0,204.72451996803284,785
15,2024-04-29 15:30:00 to 2024-05-13 15:30:00,2024-05-14 15:30:00 to 2024-05-16 15:30:00,75,0.032,2,-4.518920102099073,5.831817771591605,0.0,203.7903664112091,787
16,2024-05-02 15:30:00 to 2024-05-16 15:30:00,2024-05-17 15:30:00 to 2024-05-19 15:30:00,295,0.042,1,0.5514444444444416,0.3455088820659371,0.0,199.78613996505737,789
17,2024-05-05 15:30:00 to 2024-05-19 15:30:00,2024-05-20 15:30:00 to 2024-05-22 15:30:00,295,0.042,1,2.266501387604076,1.434549799380723,100.0,202.33694696426392,790
18,2024-05-08 15:30:00 to 2024-05-22 15:30:00,2024-05-23 15:30:00 to 2024-05-25 15:30:00,235,0.03,0,0.0,0.0,0.0,204.1947000026703,791
19,2024-05-11 15:30:00 to 2024-05-25 15:30:00,2024-05-26 15:30:00 to 2024-05-28 15:30:00,295,0.022,1,-2.062648733801107,4.9322100688323935,0.0,194.1855812072754,793
20,2024-05-14 15:30:00 to 2024-05-28 15:30:00,2024-05-29 15:30:00 to 2024-05-31 15:30:00,150,0.032,2,5.398292090932882,1.8655459739926652,100.0,199.8832581043243,795
21,2024-05-17 15:30:00 to 2024-05-31 15:30:00,2024-06-01 15:30:00 to 2024-06-03 15:30:00,35,0.03,0,0.0,0.0,0.0,198.4856572151184,796
22,2024-05-20 15:30:00 to 2024-06-03 15:30:00,2024-06-04 15:30:00 to 2024-06-06 15:30:00,35,0.03,0,0.0,0.0,0.0,198.77230501174927,797
23,2024-05-23 15:30:00 to 2024-06-06 15:30:00,2024-06-07 15:30:00 to 2024-06-09 15:30:00,55,0.02,4,-4.644346499942366,15.619799411567886,50.0,199.75659084320068,799
24,2024-05-26 15:30:00 to 2024-06-09 15:30:00,2024-06-10 15:30:00 to 2024-06-12 15:30:00,130,0.056,1,1.8246305198434856,2.2700131514911934,100.0,201.7376599311829,801
25,2024-05-29 15:30:00 to 2024-06-12 15:30:00,2024-06-13 15:30:00 to 2024-06-15 15:30:00,55,0.028,2,-0.4162844875546944,4.510286062609161,50.0,196.7754590511322,802
26,2024-06-01 15:30:00 to 2024-06-15 15:30:00,2024-06-16 15:30:00 to 2024-06-18 15:30:00,130,0.058,1,-10.107360995926047,16.487487076215988,0.0,203.01490688323975,803
27,2024-06-04 15:30:00 to 2024-06-18 15:30:00,2024-06-19 15:30:00 to 2024-06-21 15:30:00,35,0.046,1,0.5898596802841712,1.0574575555042716,100.0,204.7814290523529,805
28,2024-06-07 15:30:00 to 2024-06-21 15:30:00,2024-06-22 15:30:00 to 2024-06-24 15:30:00,265,0.08,0,0.0,0.0,0.0,203.0334930419922,807
29,2024-06-10 15:30:00 to 2024-06-24 15:30:00,2024-06-25 15:30:00 to 2024-06-27 15:30:00,265,0.068,0,0.0,0.0,0.0,203.07856798171997,808
30,2024-06-13 15:30:00 to 2024-06-27 15:30:00,2024-06-28 15:30:00 to 2024-06-30 15:30:00,265,0.068,1,0.2211232148787712,1.5830567027480285,0.0,201.45846605300903,809
31,2024-06-16 15:30:00 to 2024-06-30 15:30:00,2024-07-01 15:30:00 to 2024-07-03 15:30:00,175,0.042,1,-13.33461479131862,13.931790866008203,0.0,200.62303495407104,811
32,2024-06-19 15:30:00 to 2024-07-03 15:30:00,2024-07-04 15:30:00 to 2024-07-06 15:30:00,10,0.02,4,-5.200438663025925,11.839652946196017,75.0,200.77474522590637,813
33,2024-06-22 15:30:00 to 2024-07-06 15:30:00,2024-07-07 15:30:00 to 2024-07-09 15:30:00,20,0.06,1,-0.4248933717579166,2.057951102738809,0.0,201.28337001800537,814
34,2024-06-25 15:30:00 to 2024-07-09 15:30:00,2024-07-10 15:30:00 to 2024-07-12 15:30:00,50,0.074,0,0.0,0.0,0.0,200.87370085716248,815
35,2024-06-28 15:30:00 to 2024-07-12 15:30:00,2024-07-13 15:30:00 to 2024-07-15 15:30:00,50,0.074,0,0.0,0.0,0.0,202.8584098815918,817
36,2024-07-01 15:30:00 to 2024-07-15 15:30:00,2024-07-16 15:30:00 to 2024-07-18 15:30:00,50,0.074,0,0.0,0.0,0.0,202.79919695854187,819
37,2024-07-04 15:30:00 to 2024-07-18 15:30:00,2024-07-19 15:30:00 to 2024-07-21 15:30:00,60,0.024,2,2.0626560844733106,0.2231890365313804,100.0,199.5723419189453,820
38,2024-07-07 15:30:00 to 2024-07-21 15:30:00,2024-07-22 15:30:00 to 2024-07-24 15:30:00,85,0.02,3,-2.6791279844151723,6.8294373562791,66.66666666666666,198.94806098937988,821
39,2024-07-10 15:30:00 to 2024-07-24 15:30:00,2024-07-25 15:30:00 to 2024-07-27 15:30:00,50,0.02,2,-1.503577988669349,6.324301644362613,50.0,202.9651510715485,823
40,2024-07-13 15:30:00 to 2024-07-27 15:30:00,2024-07-28 15:30:00 to 2024-07-30 15:30:00,50,0.02,4,3.3356246711643327,0.6524275389117519,100.0,198.69651103019712,825
41,2024-07-16 15:30:00 to 2024-07-30 15:30:00,2024-07-31 15:30:00 to 2024-08-02 15:30:00,50,0.02,4,0.858062119416627,6.593906380487329,25.0,201.52322793006897,826
42,2024-07-19 15:30:00 to 2024-08-02 15:30:00,2024-08-03 15:30:00 to 2024-08-05 15:30:00,10,0.02,5,-12.308725670606057,15.648171188757486,20.0,204.76247310638428,827
43,2024-07-22 15:30:00 to 2024-08-05 15:30:00,2024-08-06 15:30:00 to 2024-08-08 15:30:00,30,0.056,0,0.0,0.0,0.0,203.12431406974792,829
44,2024-07-25 15:30:00 to 2024-08-08 15:30:00,2024-08-09 15:30:00 to 2024-08-11 15:30:00,30,0.056,0,0.0,0.0,0.0,203.58727502822876,831
