Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2025-01-02 13:30:00 to 2025-01-16 13:30:00,2025-01-17 13:30:00 to 2025-01-19 13:30:00,10,0.02,10,0.0429803982562953,11.601932862339272,60.0,217.2671070098877,911
2,2025-01-05 13:30:00 to 2025-01-19 13:30:00,2025-01-20 13:30:00 to 2025-01-22 13:30:00,300,0.06,3,16.824233305137167,3.6499057005892968,100.0,221.0542988777161,913
3,2025-01-08 13:30:00 to 2025-01-22 13:30:00,2025-01-23 13:30:00 to 2025-01-25 13:30:00,300,0.052,3,-1.1533802228449348,15.199390172497766,66.66666666666666,220.39368963241577,914
4,2025-01-11 13:30:00 to 2025-01-25 13:30:00,2025-01-26 13:30:00 to 2025-01-28 13:30:00,60,0.052,4,-12.216878734916245,24.544757124922313,50.0,226.7667338848114,915
5,2025-01-14 13:30:00 to 2025-01-28 13:30:00,2025-01-29 13:30:00 to 2025-01-31 13:30:00,50,0.054,4,19.115392284537684,11.18139417080252,75.0,232.43711805343628,917
6,2025-01-17 13:30:00 to 2025-01-31 13:30:00,2025-02-01 13:30:00 to 2025-02-03 13:30:00,70,0.058,2,-15.45507243539585,30.607404418015495,0.0,233.19802713394165,919
7,2025-01-20 13:30:00 to 2025-02-03 13:30:00,2025-02-04 13:30:00 to 2025-02-06 13:30:00,15,0.062,2,-4.134924754199456,11.746023309642093,50.0,225.5601172447205,920
8,2025-01-23 13:30:00 to 2025-02-06 13:30:00,2025-02-07 13:30:00 to 2025-02-09 13:30:00,15,0.064,2,-7.417275870934336,10.99568463595714,50.0,221.00908303260803,921
9,2025-01-26 13:30:00 to 2025-02-09 13:30:00,2025-02-10 13:30:00 to 2025-02-12 13:30:00,15,0.064,1,-0.6526074918566883,3.92469683681771,0.0,224.3620879650116,923
10,2025-01-29 13:30:00 to 2025-02-12 13:30:00,2025-02-13 13:30:00 to 2025-02-15 13:30:00,20,0.076,1,-8.61386134819386,9.1855728460102,0.0,224.9696099758148,925
11,2025-02-01 13:30:00 to 2025-02-15 13:30:00,2025-02-16 13:30:00 to 2025-02-18 13:30:00,145,0.036,2,-17.906842661845165,22.612838878673035,0.0,227.04232811927795,926
12,2025-02-04 13:30:00 to 2025-02-18 13:30:00,2025-02-19 13:30:00 to 2025-02-21 13:30:00,260,0.038,4,7.886533696949464,9.288162756566166,100.0,227.70410299301147,927
13,2025-02-07 13:30:00 to 2025-02-21 13:30:00,2025-02-22 13:30:00 to 2025-02-24 13:30:00,40,0.034,5,3.1674673042253563,6.643534447879812,60.0,227.74955892562863,929
14,2025-02-10 13:30:00 to 2025-02-24 13:30:00,2025-02-25 13:30:00 to 2025-02-27 13:30:00,40,0.032,4,10.980273050917605,2.697493708091177,75.0,228.5385849475861,931
15,2025-02-13 13:30:00 to 2025-02-27 13:30:00,2025-02-28 13:30:00 to 2025-03-02 13:30:00,15,0.032,3,-1.23170625883944,4.728661389715559,33.33333333333333,220.76415920257568,932
16,2025-02-16 13:30:00 to 2025-03-02 13:30:00,2025-03-03 13:30:00 to 2025-03-05 13:30:00,15,0.032,4,-3.8664900904747626,12.981152004431928,75.0,221.6598379611969,933
17,2025-02-19 13:30:00 to 2025-03-05 13:30:00,2025-03-06 13:30:00 to 2025-03-08 13:30:00,270,0.026,1,-26.891535638996228,28.33938040309221,0.0,215.5758090019226,935
