Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-01-23 03:00:00 to 2023-02-06 03:00:00,2023-02-07 03:00:00 to 2023-02-09 03:00:00,170,0.032,2,-8.660977495966819,11.00023339772462,50.0,227.87547278404236,555
2,2023-01-26 03:00:00 to 2023-02-09 03:00:00,2023-02-10 03:00:00 to 2023-02-12 03:00:00,65,0.058,1,-3.440573576930419,8.487700654306984,0.0,227.3240158557892,557
3,2023-01-29 03:00:00 to 2023-02-12 03:00:00,2023-02-13 03:00:00 to 2023-02-15 03:00:00,165,0.028,1,-1.0216838969496531,8.701477500584806,0.0,229.43961191177368,559
4,2023-02-01 03:00:00 to 2023-02-15 03:00:00,2023-02-16 03:00:00 to 2023-02-18 03:00:00,50,0.026,2,1.26007372312637,4.5006009549342405,50.0,225.55531001091003,560
5,2023-02-04 03:00:00 to 2023-02-18 03:00:00,2023-02-19 03:00:00 to 2023-02-21 03:00:00,50,0.028,3,1.7095774309020089,8.297436706056716,66.66666666666666,220.11266613006592,561
6,2023-02-07 03:00:00 to 2023-02-21 03:00:00,2023-02-22 03:00:00 to 2023-02-24 03:00:00,30,0.05,0,0.0,0.0,0.0,223.63876390457153,563
7,2023-02-10 03:00:00 to 2023-02-24 03:00:00,2023-02-25 03:00:00 to 2023-02-27 03:00:00,200,0.068,1,0.6777092624356738,2.7547735996543996,100.0,220.01208186149597,565
8,2023-02-13 03:00:00 to 2023-02-27 03:00:00,2023-02-28 03:00:00 to 2023-03-02 03:00:00,150,0.046,0,0.0,0.0,0.0,220.50724506378177,566
9,2023-02-16 03:00:00 to 2023-03-02 03:00:00,2023-03-03 03:00:00 to 2023-03-05 03:00:00,150,0.044,1,-7.557738495110517,14.334524550650766,0.0,222.09469318389893,567
10,2023-02-19 03:00:00 to 2023-03-05 03:00:00,2023-03-06 03:00:00 to 2023-03-08 03:00:00,30,0.02,4,3.091601477963304,1.7693901542881283,100.0,218.05386996269223,569
11,2023-02-22 03:00:00 to 2023-03-08 03:00:00,2023-03-09 03:00:00 to 2023-03-11 03:00:00,30,0.02,4,5.233979300154715,6.970715453644115,75.0,219.26377391815183,571
12,2023-02-25 03:00:00 to 2023-03-11 03:00:00,2023-03-12 03:00:00 to 2023-03-14 03:00:00,30,0.038,1,1.2461884816753808,0.7001508176724344,100.0,215.8733570575714,572
13,2023-02-28 03:00:00 to 2023-03-14 03:00:00,2023-03-15 03:00:00 to 2023-03-17 03:00:00,35,0.02,5,2.7630151137499523,7.291286332483048,60.0,216.00306224823,573
14,2023-03-03 03:00:00 to 2023-03-17 03:00:00,2023-03-18 03:00:00 to 2023-03-20 03:00:00,35,0.02,5,6.674854572675122,2.9493211378289073,80.0,226.20257115364075,575
15,2023-03-06 03:00:00 to 2023-03-20 03:00:00,2023-03-21 03:00:00 to 2023-03-23 03:00:00,35,0.02,5,5.950880910182878,3.441318908429144,100.0,218.72590112686157,577
16,2023-03-09 03:00:00 to 2023-03-23 03:00:00,2023-03-24 03:00:00 to 2023-03-26 03:00:00,35,0.02,4,2.08271463409279,1.9268191862427193,100.0,224.93905782699585,578
17,2023-03-12 03:00:00 to 2023-03-26 03:00:00,2023-03-27 03:00:00 to 2023-03-29 03:00:00,35,0.022,1,-0.5773578413966425,2.3495441990351535,0.0,221.17371010780337,579
18,2023-03-15 03:00:00 to 2023-03-29 03:00:00,2023-03-30 03:00:00 to 2023-04-01 03:00:00,30,0.03,0,0.0,0.0,0.0,220.00144791603088,581
19,2023-03-18 03:00:00 to 2023-04-01 03:00:00,2023-04-02 03:00:00 to 2023-04-04 03:00:00,255,0.066,0,0.0,0.0,0.0,221.6220989227295,583
20,2023-03-21 03:00:00 to 2023-04-04 03:00:00,2023-04-05 03:00:00 to 2023-04-07 03:00:00,160,0.038,0,0.0,0.0,0.0,219.00892400741577,584
21,2023-03-24 03:00:00 to 2023-04-07 03:00:00,2023-04-08 03:00:00 to 2023-04-10 03:00:00,295,0.028,1,1.1372470144053115,1.86916942452808,100.0,214.17024683952332,585
22,2023-03-27 03:00:00 to 2023-04-10 03:00:00,2023-04-11 03:00:00 to 2023-04-13 03:00:00,295,0.028,1,0.6642157434402179,0.9085186341209724,0.0,212.38847517967224,587
23,2023-03-30 03:00:00 to 2023-04-13 03:00:00,2023-04-14 03:00:00 to 2023-04-16 03:00:00,210,0.022,0,0.0,0.0,0.0,210.98018097877505,589
24,2023-04-02 03:00:00 to 2023-04-16 03:00:00,2023-04-17 03:00:00 to 2023-04-19 03:00:00,85,0.02,3,2.956842652614232,2.797087305162537,66.66666666666666,208.1310567855835,590
25,2023-04-05 03:00:00 to 2023-04-19 03:00:00,2023-04-20 03:00:00 to 2023-04-22 03:00:00,25,0.02,2,-0.4179176216262203,4.019015905155566,50.0,207.92694687843323,591
26,2023-04-08 03:00:00 to 2023-04-22 03:00:00,2023-04-23 03:00:00 to 2023-04-25 03:00:00,65,0.026,2,3.2225180944927345,0.5987505890069796,100.0,213.46124815940857,593
27,2023-04-11 03:00:00 to 2023-04-25 03:00:00,2023-04-26 03:00:00 to 2023-04-28 03:00:00,65,0.026,1,4.7435328329751245,1.3730203334852558,100.0,214.22507309913635,595
28,2023-04-14 03:00:00 to 2023-04-28 03:00:00,2023-04-29 03:00:00 to 2023-05-01 03:00:00,55,0.02,3,-0.3251792650148855,2.8001369422720632,33.33333333333333,218.7620029449463,596
29,2023-04-17 03:00:00 to 2023-05-01 03:00:00,2023-05-02 03:00:00 to 2023-05-04 03:00:00,55,0.02,1,-0.5654776851399219,3.157004951839022,0.0,221.0721790790558,597
30,2023-04-20 03:00:00 to 2023-05-04 03:00:00,2023-05-05 03:00:00 to 2023-05-07 03:00:00,110,0.024,2,-4.551570103387312,7.341158922131268,50.0,215.51308012008667,599
31,2023-04-23 03:00:00 to 2023-05-07 03:00:00,2023-05-08 03:00:00 to 2023-05-10 03:00:00,115,0.026,1,-5.9814503244894155,8.764447493837212,0.0,213.3448741436005,601
32,2023-04-26 03:00:00 to 2023-05-10 03:00:00,2023-05-11 03:00:00 to 2023-05-13 03:00:00,45,0.032,1,0.0581286271351928,1.890882626192253,100.0,212.4349491596222,602
33,2023-04-29 03:00:00 to 2023-05-13 03:00:00,2023-05-14 03:00:00 to 2023-05-16 03:00:00,155,0.076,0,0.0,0.0,0.0,212.07120299339297,603
34,2023-05-02 03:00:00 to 2023-05-16 03:00:00,2023-05-17 03:00:00 to 2023-05-19 03:00:00,155,0.076,0,0.0,0.0,0.0,218.0078082084656,605
35,2023-05-05 03:00:00 to 2023-05-19 03:00:00,2023-05-20 03:00:00 to 2023-05-22 03:00:00,300,0.048,1,-0.5836424581005667,1.1906069549938794,0.0,217.32901883125305,607
36,2023-05-08 03:00:00 to 2023-05-22 03:00:00,2023-05-23 03:00:00 to 2023-05-25 03:00:00,225,0.026,1,-1.410191302997373,2.913848026987038,0.0,211.09897327423096,608
