Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-11-17 02:00:00 to 2023-12-01 02:00:00,2023-12-02 02:00:00 to 2023-12-04 02:00:00,55,0.02,1,0.6746266056400418,0.5021505950045747,100.0,215.41443586349487,705
2,2023-11-20 02:00:00 to 2023-12-04 02:00:00,2023-12-05 02:00:00 to 2023-12-07 02:00:00,50,0.022,2,0.8930374727868731,0.920058691718421,100.0,217.28294396400452,706
3,2023-11-23 02:00:00 to 2023-12-07 02:00:00,2023-12-08 02:00:00 to 2023-12-10 02:00:00,65,0.022,2,1.3547227643935729,1.6106427575201223,100.0,208.47355914115903,707
4,2023-11-26 02:00:00 to 2023-12-10 02:00:00,2023-12-11 02:00:00 to 2023-12-13 02:00:00,65,0.02,3,6.597259936280389,2.789608716177496,100.0,209.38029098510745,709
5,2023-11-29 02:00:00 to 2023-12-13 02:00:00,2023-12-14 02:00:00 to 2023-12-16 02:00:00,75,0.02,2,-1.424840175772515,5.191627108495492,50.0,208.0326120853424,711
6,2023-12-02 02:00:00 to 2023-12-16 02:00:00,2023-12-17 02:00:00 to 2023-12-19 02:00:00,125,0.02,2,-6.885758543643187,15.76836187965704,50.0,215.13144302368164,712
7,2023-12-05 02:00:00 to 2023-12-19 02:00:00,2023-12-20 02:00:00 to 2023-12-22 02:00:00,20,0.02,3,2.5110847481452945,0.5142671324966938,100.0,214.93857097625732,713
8,2023-12-08 02:00:00 to 2023-12-22 02:00:00,2023-12-23 02:00:00 to 2023-12-25 02:00:00,20,0.02,3,2.168571650348349,0.5107620095281186,100.0,214.76641082763672,715
9,2023-12-11 02:00:00 to 2023-12-25 02:00:00,2023-12-26 02:00:00 to 2023-12-28 02:00:00,20,0.02,2,0.3044077116582593,1.7024946583282394,50.0,213.75083017349243,717
10,2023-12-14 02:00:00 to 2023-12-28 02:00:00,2023-12-29 02:00:00 to 2023-12-31 02:00:00,20,0.02,4,2.240304008099756,4.471043468966309,75.0,214.0477488040924,718
11,2023-12-17 02:00:00 to 2023-12-31 02:00:00,2024-01-01 02:00:00 to 2024-01-03 02:00:00,130,0.022,2,2.482820646890705,2.165863755643225,100.0,214.74499893188477,719
12,2023-12-20 02:00:00 to 2024-01-03 02:00:00,2024-01-04 02:00:00 to 2024-01-06 02:00:00,85,0.022,2,1.7569466907028253,3.9414286638121414,50.0,211.27190589904785,721
13,2023-12-23 02:00:00 to 2024-01-06 02:00:00,2024-01-07 02:00:00 to 2024-01-09 02:00:00,85,0.028,1,1.111738640818603,4.480285768113118,100.0,218.77343010902405,723
14,2023-12-26 02:00:00 to 2024-01-09 02:00:00,2024-01-10 02:00:00 to 2024-01-12 02:00:00,85,0.028,0,0.0,0.0,0.0,214.25908398628235,724
