Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-12-20 19:00:00 to 2025-01-03 19:00:00,2025-01-04 19:00:00 to 2025-01-06 19:00:00,275,0.044,0,0.0,0.0,0.0,201.45551204681396,905
2,2024-12-23 19:00:00 to 2025-01-06 19:00:00,2025-01-07 19:00:00 to 2025-01-09 19:00:00,130,0.042,1,-20.701366822131675,20.800850642981736,0.0,204.75918889045715,906
3,2024-12-26 19:00:00 to 2025-01-09 19:00:00,2025-01-10 19:00:00 to 2025-01-12 19:00:00,15,0.038,0,0.0,0.0,0.0,202.6378390789032,907
4,2024-12-29 19:00:00 to 2025-01-12 19:00:00,2025-01-13 19:00:00 to 2025-01-15 19:00:00,45,0.064,0,0.0,0.0,0.0,199.0032660961151,909
5,2025-01-01 19:00:00 to 2025-01-15 19:00:00,2025-01-16 19:00:00 to 2025-01-18 19:00:00,45,0.064,0,0.0,0.0,0.0,203.49358201026917,911
6,2025-01-04 19:00:00 to 2025-01-18 19:00:00,2025-01-19 19:00:00 to 2025-01-21 19:00:00,10,0.02,7,-4.611364756042295,10.68283034235241,57.14285714285714,201.83010411262512,912
7,2025-01-07 19:00:00 to 2025-01-21 19:00:00,2025-01-22 19:00:00 to 2025-01-24 19:00:00,85,0.072,0,0.0,0.0,0.0,201.86227107048035,913
8,2025-01-10 19:00:00 to 2025-01-24 19:00:00,2025-01-25 19:00:00 to 2025-01-27 19:00:00,85,0.072,1,-9.944080549140851,14.860706897582292,0.0,200.1652867794037,915
9,2025-01-13 19:00:00 to 2025-01-27 19:00:00,2025-01-28 19:00:00 to 2025-01-30 19:00:00,10,0.058,0,0.0,0.0,0.0,199.07599210739136,917
10,2025-01-16 19:00:00 to 2025-01-30 19:00:00,2025-01-31 19:00:00 to 2025-02-02 19:00:00,250,0.08,1,-14.66989840938275,14.669898409382748,0.0,202.8324189186096,918
11,2025-01-19 19:00:00 to 2025-02-02 19:00:00,2025-02-03 19:00:00 to 2025-02-05 19:00:00,10,0.058,0,0.0,0.0,0.0,204.9602289199829,919
12,2025-01-22 19:00:00 to 2025-02-05 19:00:00,2025-02-06 19:00:00 to 2025-02-08 19:00:00,10,0.058,0,0.0,0.0,0.0,201.72508025169373,921
13,2025-01-25 19:00:00 to 2025-02-08 19:00:00,2025-02-09 19:00:00 to 2025-02-11 19:00:00,155,0.048,1,0.171348075201422,0.0040224040468469,0.0,203.89046812057495,923
14,2025-01-28 19:00:00 to 2025-02-11 19:00:00,2025-02-12 19:00:00 to 2025-02-14 19:00:00,20,0.036,0,0.0,0.0,0.0,202.0789270401001,924
15,2025-01-31 19:00:00 to 2025-02-14 19:00:00,2025-02-15 19:00:00 to 2025-02-17 19:00:00,220,0.05,1,-13.80103053578614,14.624594081582751,0.0,203.1511778831482,925
16,2025-02-03 19:00:00 to 2025-02-17 19:00:00,2025-02-18 19:00:00 to 2025-02-20 19:00:00,45,0.034,1,1.1373606393606497,0.8171988011987924,100.0,201.91142225265503,927
17,2025-02-06 19:00:00 to 2025-02-20 19:00:00,2025-02-21 19:00:00 to 2025-02-23 19:00:00,55,0.04,1,2.309339867265444,3.4276725178924687,100.0,198.7097640037537,929
18,2025-02-09 19:00:00 to 2025-02-23 19:00:00,2025-02-24 19:00:00 to 2025-02-26 19:00:00,55,0.04,2,-7.706547661445202,12.831068997167565,0.0,202.2885880470276,930
19,2025-02-12 19:00:00 to 2025-02-26 19:00:00,2025-02-27 19:00:00 to 2025-03-01 19:00:00,25,0.048,0,0.0,0.0,0.0,200.22369503974917,931
20,2025-02-15 19:00:00 to 2025-03-01 19:00:00,2025-03-02 19:00:00 to 2025-03-04 19:00:00,165,0.074,1,-3.5714673291210786,9.965221483607202,0.0,206.12067198753357,933
21,2025-02-18 19:00:00 to 2025-03-04 19:00:00,2025-03-05 19:00:00 to 2025-03-07 19:00:00,145,0.08,0,0.0,0.0,0.0,194.5689961910248,935
