Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-01-09 08:00:00 to 2020-01-23 08:00:00,2020-01-24 08:00:00 to 2020-01-26 08:00:00,40,0.02,2,1.836197052075768,1.6318757233518957,100.0,207.79650402069092,1
2,2020-01-12 08:00:00 to 2020-01-26 08:00:00,2020-01-27 08:00:00 to 2020-01-29 08:00:00,50,0.024,1,1.1858294117647166,0.1241355852999669,100.0,213.22989892959595,3
3,2020-01-15 08:00:00 to 2020-01-29 08:00:00,2020-01-30 08:00:00 to 2020-02-01 08:00:00,50,0.024,2,2.0388138791489836,0.4266779277130743,100.0,212.7248249053955,4
4,2020-01-18 08:00:00 to 2020-02-01 08:00:00,2020-02-02 08:00:00 to 2020-02-04 08:00:00,50,0.024,2,2.5189432393753486,0.4913187328157647,100.0,212.024995803833,5
5,2020-01-21 08:00:00 to 2020-02-04 08:00:00,2020-02-05 08:00:00 to 2020-02-07 08:00:00,50,0.024,0,0.0,0.0,0.0,208.3192901611328,7
6,2020-01-24 08:00:00 to 2020-02-07 08:00:00,2020-02-08 08:00:00 to 2020-02-10 08:00:00,55,0.02,3,2.28834292976313,0.4811809186866574,66.66666666666666,206.3199291229248,9
7,2020-01-27 08:00:00 to 2020-02-10 08:00:00,2020-02-11 08:00:00 to 2020-02-13 08:00:00,55,0.02,0,0.0,0.0,0.0,206.44513702392575,10
8,2020-01-30 08:00:00 to 2020-02-13 08:00:00,2020-02-14 08:00:00 to 2020-02-16 08:00:00,55,0.02,2,0.9667078802182004,3.1356316608932295,100.0,206.6655569076538,11
9,2020-02-02 08:00:00 to 2020-02-16 08:00:00,2020-02-17 08:00:00 to 2020-02-19 08:00:00,90,0.032,2,4.39650521463498,2.153639331293667,100.0,207.6040120124817,13
10,2020-02-05 08:00:00 to 2020-02-19 08:00:00,2020-02-20 08:00:00 to 2020-02-22 08:00:00,90,0.032,1,-0.8509994461904171,4.175994187010653,0.0,212.0049901008606,15
11,2020-02-08 08:00:00 to 2020-02-22 08:00:00,2020-02-23 08:00:00 to 2020-02-25 08:00:00,270,0.03,1,0.3551549755301675,1.607471948607299,0.0,209.22290587425232,16
12,2020-02-11 08:00:00 to 2020-02-25 08:00:00,2020-02-26 08:00:00 to 2020-02-28 08:00:00,110,0.054,1,-4.71265943759663,11.833016507669225,0.0,210.6135220527649,17
