Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-08-13 07:00:00 to 2020-08-27 07:00:00,2020-08-28 07:00:00 to 2020-08-30 07:00:00,300,0.046,0,0.0,0.0,0.0,210.4271502494812,109
2,2020-08-16 07:00:00 to 2020-08-30 07:00:00,2020-08-31 07:00:00 to 2020-09-02 07:00:00,175,0.028,0,0.0,0.0,0.0,208.28640627861023,111
3,2020-08-19 07:00:00 to 2020-09-02 07:00:00,2020-09-03 07:00:00 to 2020-09-05 07:00:00,260,0.03,1,-8.785972601827762,13.954073055890488,0.0,205.835284948349,112
4,2020-08-22 07:00:00 to 2020-09-05 07:00:00,2020-09-06 07:00:00 to 2020-09-08 07:00:00,25,0.03,2,0.7893444830664339,0.791692415185409,50.0,206.84702610969543,113
5,2020-08-25 07:00:00 to 2020-09-08 07:00:00,2020-09-09 07:00:00 to 2020-09-11 07:00:00,80,0.08,0,0.0,0.0,0.0,206.6152470111847,115
6,2020-08-28 07:00:00 to 2020-09-11 07:00:00,2020-09-12 07:00:00 to 2020-09-14 07:00:00,80,0.08,0,0.0,0.0,0.0,207.0224807262421,117
7,2020-08-31 07:00:00 to 2020-09-14 07:00:00,2020-09-15 07:00:00 to 2020-09-17 07:00:00,20,0.02,2,-0.1091335742358023,2.3402037588142037,50.0,212.75114917755127,118
8,2020-09-03 07:00:00 to 2020-09-17 07:00:00,2020-09-18 07:00:00 to 2020-09-20 07:00:00,280,0.026,0,0.0,0.0,0.0,212.2314429283142,119
9,2020-09-06 07:00:00 to 2020-09-20 07:00:00,2020-09-21 07:00:00 to 2020-09-23 07:00:00,180,0.036,1,-0.5219738786743618,6.7897674097885155,0.0,209.95573616027832,121
10,2020-09-09 07:00:00 to 2020-09-23 07:00:00,2020-09-24 07:00:00 to 2020-09-26 07:00:00,280,0.044,1,2.34865718047633,0.6095072198804974,100.0,209.32576203346252,123
11,2020-09-12 07:00:00 to 2020-09-26 07:00:00,2020-09-27 07:00:00 to 2020-09-29 07:00:00,90,0.03,1,0.3121357155747865,0.7417148529146289,100.0,205.75186491012573,124
12,2020-09-15 07:00:00 to 2020-09-29 07:00:00,2020-09-30 07:00:00 to 2020-10-02 07:00:00,70,0.022,2,2.211358314040626,0.3282741547883892,50.0,204.84168410301208,125
13,2020-09-18 07:00:00 to 2020-10-02 07:00:00,2020-10-03 07:00:00 to 2020-10-05 07:00:00,105,0.032,0,0.0,0.0,0.0,207.23449182510376,127
14,2020-09-21 07:00:00 to 2020-10-05 07:00:00,2020-10-06 07:00:00 to 2020-10-08 07:00:00,220,0.024,1,-5.7025271811983105,5.702527181198311,0.0,204.3598608970642,129
15,2020-09-24 07:00:00 to 2020-10-08 07:00:00,2020-10-09 07:00:00 to 2020-10-11 07:00:00,215,0.024,0,0.0,0.0,0.0,201.66381788253784,130
16,2020-09-27 07:00:00 to 2020-10-11 07:00:00,2020-10-12 07:00:00 to 2020-10-14 07:00:00,215,0.024,2,2.586561472915382,1.254029345437155,100.0,205.0130040645599,131
17,2020-09-30 07:00:00 to 2020-10-14 07:00:00,2020-10-15 07:00:00 to 2020-10-17 07:00:00,215,0.024,1,-0.2694702653622698,5.784507360374845,0.0,202.04902124404907,133
18,2020-10-03 07:00:00 to 2020-10-17 07:00:00,2020-10-18 07:00:00 to 2020-10-20 07:00:00,125,0.022,0,0.0,0.0,0.0,203.54120898246765,135
19,2020-10-06 07:00:00 to 2020-10-20 07:00:00,2020-10-21 07:00:00 to 2020-10-23 07:00:00,90,0.02,1,1.0124200455580832,0.2871395062791961,100.0,199.5959959030151,136
20,2020-10-09 07:00:00 to 2020-10-23 07:00:00,2020-10-24 07:00:00 to 2020-10-26 07:00:00,90,0.02,1,0.4831563558017842,0.5541413300723813,100.0,201.4862322807312,137
21,2020-10-12 07:00:00 to 2020-10-26 07:00:00,2020-10-27 07:00:00 to 2020-10-29 07:00:00,135,0.02,2,-1.864918347678813,4.955156081587705,50.0,200.0063428878784,139
22,2020-10-15 07:00:00 to 2020-10-29 07:00:00,2020-10-30 07:00:00 to 2020-11-01 07:00:00,85,0.02,1,0.0802320266442075,1.4215264489698285,100.0,200.0236620903015,141
23,2020-10-18 07:00:00 to 2020-11-01 07:00:00,2020-11-02 07:00:00 to 2020-11-04 07:00:00,80,0.042,1,1.4598652775852314,0.3599573205029768,100.0,206.25863075256348,142
24,2020-10-21 07:00:00 to 2020-11-04 07:00:00,2020-11-05 07:00:00 to 2020-11-07 07:00:00,80,0.042,0,0.0,0.0,0.0,205.5590329170227,143
