Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-11-27 14:30:00 to 2024-12-11 14:30:00,2024-12-12 14:30:00 to 2024-12-14 14:30:00,20,0.022,6,7.890937121942207,3.1189811418406936,83.33333333333334,214.01773285865784,893
2,2024-11-30 14:30:00 to 2024-12-14 14:30:00,2024-12-15 14:30:00 to 2024-12-17 14:30:00,20,0.022,4,2.236643262220623,0.9432282997390188,100.0,211.70144605636597,895
3,2024-12-03 14:30:00 to 2024-12-17 14:30:00,2024-12-18 14:30:00 to 2024-12-20 14:30:00,20,0.022,5,-13.402297453394002,21.693072559695256,60.0,211.4940197467804,896
4,2024-12-06 14:30:00 to 2024-12-20 14:30:00,2024-12-21 14:30:00 to 2024-12-23 14:30:00,265,0.026,2,-5.240148785044057,10.969413626219705,50.0,213.8256151676178,897
5,2024-12-09 14:30:00 to 2024-12-23 14:30:00,2024-12-24 14:30:00 to 2024-12-26 14:30:00,195,0.032,1,-2.4868429196729265,2.4868429196729265,0.0,215.4323992729187,899
6,2024-12-12 14:30:00 to 2024-12-26 14:30:00,2024-12-27 14:30:00 to 2024-12-29 14:30:00,200,0.04,2,4.55739690649516,2.2994992069169444,100.0,221.43962597846985,901
7,2024-12-15 14:30:00 to 2024-12-29 14:30:00,2024-12-30 14:30:00 to 2025-01-01 14:30:00,200,0.024,1,4.580843770940973,3.0915911964740803,100.0,217.51942133903503,902
8,2024-12-18 14:30:00 to 2025-01-01 14:30:00,2025-01-02 14:30:00 to 2025-01-04 14:30:00,180,0.022,3,4.018537098924062,6.01715593882856,100.0,215.22786259651184,903
9,2024-12-21 14:30:00 to 2025-01-04 14:30:00,2025-01-05 14:30:00 to 2025-01-07 14:30:00,220,0.02,2,1.3270746760654035,3.0120105379784388,50.0,211.66025376319885,905
10,2024-12-24 14:30:00 to 2025-01-07 14:30:00,2025-01-08 14:30:00 to 2025-01-10 14:30:00,190,0.02,5,0.369293031842717,10.102106457091203,80.0,210.4159049987793,907
