Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-06-22 12:00:00 to 2023-07-06 12:00:00,2023-07-07 12:00:00 to 2023-07-09 12:00:00,200,0.024,2,2.074156451298186,0.477231374451056,100.0,199.45987486839297,631
2,2023-06-25 12:00:00 to 2023-07-09 12:00:00,2023-07-10 12:00:00 to 2023-07-12 12:00:00,300,0.022,1,0.8755323460639011,1.079538475710855,100.0,204.46586227416992,633
3,2023-06-28 12:00:00 to 2023-07-12 12:00:00,2023-07-13 12:00:00 to 2023-07-15 12:00:00,125,0.022,1,1.4691011406844154,0.6757450257845439,100.0,200.9331650733948,634
4,2023-07-01 12:00:00 to 2023-07-15 12:00:00,2023-07-16 12:00:00 to 2023-07-18 12:00:00,210,0.02,2,1.088014473408748,2.049402026005795,100.0,207.04824805259705,635
5,2023-07-04 12:00:00 to 2023-07-18 12:00:00,2023-07-19 12:00:00 to 2023-07-21 12:00:00,240,0.02,1,-0.0179999999999927,0.7301988726378422,0.0,201.09472513198853,637
6,2023-07-07 12:00:00 to 2023-07-21 12:00:00,2023-07-22 12:00:00 to 2023-07-24 12:00:00,265,0.02,3,0.4574076105173844,2.5553293464869236,66.66666666666666,201.78107595443728,639
7,2023-07-10 12:00:00 to 2023-07-24 12:00:00,2023-07-25 12:00:00 to 2023-07-27 12:00:00,255,0.022,1,4.515912854695999,1.6870457199030466,100.0,201.2261109352112,640
8,2023-07-13 12:00:00 to 2023-07-27 12:00:00,2023-07-28 12:00:00 to 2023-07-30 12:00:00,265,0.022,1,-2.8945566995702032,3.4299334298949575,0.0,204.17285990715027,641
9,2023-07-16 12:00:00 to 2023-07-30 12:00:00,2023-07-31 12:00:00 to 2023-08-02 12:00:00,80,0.042,0,0.0,0.0,0.0,204.1850323677063,643
10,2023-07-19 12:00:00 to 2023-08-02 12:00:00,2023-08-03 12:00:00 to 2023-08-05 12:00:00,300,0.036,0,0.0,0.0,0.0,205.18887186050415,645
11,2023-07-22 12:00:00 to 2023-08-05 12:00:00,2023-08-06 12:00:00 to 2023-08-08 12:00:00,85,0.02,0,0.0,0.0,0.0,206.22866702079773,646
12,2023-07-25 12:00:00 to 2023-08-08 12:00:00,2023-08-09 12:00:00 to 2023-08-11 12:00:00,85,0.02,0,0.0,0.0,0.0,198.842689037323,647
13,2023-07-28 12:00:00 to 2023-08-11 12:00:00,2023-08-12 12:00:00 to 2023-08-14 12:00:00,120,0.02,1,0.390398104265405,0.5674106286886185,100.0,200.32015323638916,649
14,2023-07-31 12:00:00 to 2023-08-14 12:00:00,2023-08-15 12:00:00 to 2023-08-17 12:00:00,120,0.02,1,-3.777928241504469,7.600427862864561,0.0,201.08484768867493,651
15,2023-08-03 12:00:00 to 2023-08-17 12:00:00,2023-08-18 12:00:00 to 2023-08-20 12:00:00,50,0.026,0,0.0,0.0,0.0,203.71012687683103,652
16,2023-08-06 12:00:00 to 2023-08-20 12:00:00,2023-08-21 12:00:00 to 2023-08-23 12:00:00,50,0.026,0,0.0,0.0,0.0,203.90963196754456,653
17,2023-08-09 12:00:00 to 2023-08-23 12:00:00,2023-08-24 12:00:00 to 2023-08-26 12:00:00,50,0.026,0,0.0,0.0,0.0,202.07520413398743,655
18,2023-08-12 12:00:00 to 2023-08-26 12:00:00,2023-08-27 12:00:00 to 2023-08-29 12:00:00,50,0.026,0,0.0,0.0,0.0,207.2570967674255,657
19,2023-08-15 12:00:00 to 2023-08-29 12:00:00,2023-08-30 12:00:00 to 2023-09-01 12:00:00,230,0.022,1,1.3672779850746155,0.7042855045651626,0.0,204.5186960697174,658
20,2023-08-18 12:00:00 to 2023-09-01 12:00:00,2023-09-02 12:00:00 to 2023-09-04 12:00:00,225,0.022,4,5.960193200008543,9.345899951571022,75.0,200.6968131065369,659
21,2023-08-21 12:00:00 to 2023-09-04 12:00:00,2023-09-05 12:00:00 to 2023-09-07 12:00:00,30,0.08,0,0.0,0.0,0.0,208.36474013328552,661
22,2023-08-24 12:00:00 to 2023-09-07 12:00:00,2023-09-08 12:00:00 to 2023-09-10 12:00:00,30,0.08,0,0.0,0.0,0.0,208.9664089679718,663
23,2023-08-27 12:00:00 to 2023-09-10 12:00:00,2023-09-11 12:00:00 to 2023-09-13 12:00:00,30,0.08,0,0.0,0.0,0.0,217.20047998428345,664
24,2023-08-30 12:00:00 to 2023-09-13 12:00:00,2023-09-14 12:00:00 to 2023-09-16 12:00:00,30,0.08,0,0.0,0.0,0.0,218.548152923584,665
25,2023-09-02 12:00:00 to 2023-09-16 12:00:00,2023-09-17 12:00:00 to 2023-09-19 12:00:00,30,0.08,0,0.0,0.0,0.0,218.99502515792847,667
26,2023-09-05 12:00:00 to 2023-09-19 12:00:00,2023-09-20 12:00:00 to 2023-09-22 12:00:00,85,0.02,1,0.9723746997598028,0.719928007199275,100.0,208.3506770133972,669
27,2023-09-08 12:00:00 to 2023-09-22 12:00:00,2023-09-23 12:00:00 to 2023-09-25 12:00:00,55,0.02,0,0.0,0.0,0.0,204.72097396850583,670
28,2023-09-11 12:00:00 to 2023-09-25 12:00:00,2023-09-26 12:00:00 to 2023-09-28 12:00:00,65,0.02,0,0.0,0.0,0.0,200.99912190437317,671
29,2023-09-14 12:00:00 to 2023-09-28 12:00:00,2023-09-29 12:00:00 to 2023-10-01 12:00:00,65,0.02,0,0.0,0.0,0.0,201.75166416168213,673
30,2023-09-17 12:00:00 to 2023-10-01 12:00:00,2023-10-02 12:00:00 to 2023-10-04 12:00:00,175,0.022,1,-1.007309050400745,5.0541315897126635,0.0,200.5447633266449,675
31,2023-09-20 12:00:00 to 2023-10-04 12:00:00,2023-10-05 12:00:00 to 2023-10-07 12:00:00,95,0.02,1,0.837436893203885,0.1636310679611597,100.0,202.818341255188,676
32,2023-09-23 12:00:00 to 2023-10-07 12:00:00,2023-10-08 12:00:00 to 2023-10-10 12:00:00,95,0.02,2,-1.4998757104147262,5.767377122301646,50.0,203.20239520072937,677
33,2023-09-26 12:00:00 to 2023-10-10 12:00:00,2023-10-11 12:00:00 to 2023-10-13 12:00:00,95,0.022,1,1.138496083550908,0.1557102369515277,100.0,208.07270574569705,679
34,2023-09-29 12:00:00 to 2023-10-13 12:00:00,2023-10-14 12:00:00 to 2023-10-16 12:00:00,95,0.022,0,0.0,0.0,0.0,205.8624129295349,681
35,2023-10-02 12:00:00 to 2023-10-16 12:00:00,2023-10-17 12:00:00 to 2023-10-19 12:00:00,145,0.024,2,3.3381738678511645,1.5947178571506466,100.0,206.68806314468384,682
36,2023-10-05 12:00:00 to 2023-10-19 12:00:00,2023-10-20 12:00:00 to 2023-10-22 12:00:00,140,0.026,0,0.0,0.0,0.0,206.28589630126953,683
37,2023-10-08 12:00:00 to 2023-10-22 12:00:00,2023-10-23 12:00:00 to 2023-10-25 12:00:00,95,0.024,0,0.0,0.0,0.0,206.049378156662,685
38,2023-10-11 12:00:00 to 2023-10-25 12:00:00,2023-10-26 12:00:00 to 2023-10-28 12:00:00,135,0.026,1,1.3999777282850665,1.283825961129183,100.0,205.47373223304749,687
39,2023-10-14 12:00:00 to 2023-10-28 12:00:00,2023-10-29 12:00:00 to 2023-10-31 12:00:00,150,0.026,1,1.271616279069749,0.2931378980313403,100.0,202.1775448322296,688
40,2023-10-17 12:00:00 to 2023-10-31 12:00:00,2023-11-01 12:00:00 to 2023-11-03 12:00:00,150,0.02,2,1.8782132567854388,1.9659271518442447,50.0,203.30055785179135,689
41,2023-10-20 12:00:00 to 2023-11-03 12:00:00,2023-11-04 12:00:00 to 2023-11-06 12:00:00,210,0.022,0,0.0,0.0,0.0,201.32842779159543,691
42,2023-10-23 12:00:00 to 2023-11-06 12:00:00,2023-11-07 12:00:00 to 2023-11-09 12:00:00,210,0.022,1,0.97985038814395,0.5896175017642963,100.0,208.5925869941711,693
43,2023-10-26 12:00:00 to 2023-11-09 12:00:00,2023-11-10 12:00:00 to 2023-11-12 12:00:00,250,0.026,1,1.14020777385158,0.3360212014134231,100.0,204.31580305099487,694
44,2023-10-29 12:00:00 to 2023-11-12 12:00:00,2023-11-13 12:00:00 to 2023-11-15 12:00:00,230,0.024,1,4.017567964124428,2.3120545895338753,100.0,205.2156159877777,695
45,2023-11-01 12:00:00 to 2023-11-15 12:00:00,2023-11-16 12:00:00 to 2023-11-18 12:00:00,35,0.02,4,2.3484883591242576,2.458605111586385,100.0,204.5686159133911,697
46,2023-11-04 12:00:00 to 2023-11-18 12:00:00,2023-11-19 12:00:00 to 2023-11-21 12:00:00,35,0.02,4,0.5293729851569878,4.624354679724747,75.0,210.62988305091855,699
47,2023-11-07 12:00:00 to 2023-11-21 12:00:00,2023-11-22 12:00:00 to 2023-11-24 12:00:00,35,0.02,1,1.0392669322709116,0.2087642658563875,100.0,208.511892080307,700
48,2023-11-10 12:00:00 to 2023-11-24 12:00:00,2023-11-25 12:00:00 to 2023-11-27 12:00:00,300,0.032,1,-0.927173684001391,1.4473916927410506,0.0,207.2375030517578,701
49,2023-11-13 12:00:00 to 2023-11-27 12:00:00,2023-11-28 12:00:00 to 2023-11-30 12:00:00,300,0.038,1,1.648608409986864,0.8754244415243011,100.0,209.94738388061523,703
50,2023-11-16 12:00:00 to 2023-11-30 12:00:00,2023-12-01 12:00:00 to 2023-12-03 12:00:00,290,0.02,1,0.8419830839297355,0.4668887249965329,100.0,208.40770506858823,705
51,2023-11-19 12:00:00 to 2023-12-03 12:00:00,2023-12-04 12:00:00 to 2023-12-06 12:00:00,40,0.02,2,0.3026103896103814,1.234847165205868,50.0,208.46670007705688,706
52,2023-11-22 12:00:00 to 2023-12-06 12:00:00,2023-12-07 12:00:00 to 2023-12-09 12:00:00,115,0.02,0,0.0,0.0,0.0,201.44047927856445,707
53,2023-11-25 12:00:00 to 2023-12-09 12:00:00,2023-12-10 12:00:00 to 2023-12-12 12:00:00,260,0.02,1,-2.3458914640466717,8.892498520868408,0.0,198.53860712051392,709
54,2023-11-28 12:00:00 to 2023-12-12 12:00:00,2023-12-13 12:00:00 to 2023-12-15 12:00:00,110,0.024,1,0.9125755102040785,0.640033497930998,100.0,200.4808566570282,711
55,2023-12-01 12:00:00 to 2023-12-15 12:00:00,2023-12-16 12:00:00 to 2023-12-18 12:00:00,110,0.024,2,-1.95604575049103,4.326540538781239,50.0,199.4895007610321,712
56,2023-12-04 12:00:00 to 2023-12-18 12:00:00,2023-12-19 12:00:00 to 2023-12-21 12:00:00,105,0.024,0,0.0,0.0,0.0,205.49477815628052,713
57,2023-12-07 12:00:00 to 2023-12-21 12:00:00,2023-12-22 12:00:00 to 2023-12-24 12:00:00,300,0.032,0,0.0,0.0,0.0,205.10996413230896,715
58,2023-12-10 12:00:00 to 2023-12-24 12:00:00,2023-12-25 12:00:00 to 2023-12-27 12:00:00,125,0.022,1,3.735646365558587,1.875877790057433,100.0,207.4748730659485,717
