Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-02-13 14:00:00 to 2024-02-27 14:00:00,2024-02-28 14:00:00 to 2024-03-01 14:00:00,130,0.052,1,3.218698294196783,0.7270151482269285,100.0,209.84490394592285,749
2,2024-02-16 14:00:00 to 2024-03-01 14:00:00,2024-03-02 14:00:00 to 2024-03-04 14:00:00,160,0.03,2,3.3092826156253614,0.708569865627367,100.0,209.4244010448456,751
3,2024-02-19 14:00:00 to 2024-03-04 14:00:00,2024-03-05 14:00:00 to 2024-03-07 14:00:00,165,0.02,5,5.364289739878314,13.175046282939704,60.0,209.79097080230713,752
4,2024-02-22 14:00:00 to 2024-03-07 14:00:00,2024-03-08 14:00:00 to 2024-03-10 14:00:00,140,0.02,2,2.4545989074497627,2.1386876006824966,50.0,208.87579226493835,753
5,2024-02-25 14:00:00 to 2024-03-10 14:00:00,2024-03-11 14:00:00 to 2024-03-13 14:00:00,165,0.02,2,5.7392234668347735,3.679018629748668,100.0,211.3595209121704,755
6,2024-02-28 14:00:00 to 2024-03-13 14:00:00,2024-03-14 14:00:00 to 2024-03-16 14:00:00,140,0.02,1,2.348565583431555,0.8413623505640498,100.0,208.04149174690247,757
7,2024-03-02 14:00:00 to 2024-03-16 14:00:00,2024-03-17 14:00:00 to 2024-03-19 14:00:00,60,0.026,5,11.89574174840367,4.20624649073573,80.0,210.3990080356598,758
8,2024-03-05 14:00:00 to 2024-03-19 14:00:00,2024-03-20 14:00:00 to 2024-03-22 14:00:00,35,0.02,5,-9.316074475213828,11.86526751467438,40.0,211.00467491149905,759
9,2024-03-08 14:00:00 to 2024-03-22 14:00:00,2024-03-23 14:00:00 to 2024-03-25 14:00:00,60,0.026,1,-1.2828263141786191,3.4985144140989095,0.0,210.0657050609589,761
10,2024-03-11 14:00:00 to 2024-03-25 14:00:00,2024-03-26 14:00:00 to 2024-03-28 14:00:00,35,0.02,3,-2.537380284556894,4.925870185369904,33.33333333333333,208.55247807502747,763
11,2024-03-14 14:00:00 to 2024-03-28 14:00:00,2024-03-29 14:00:00 to 2024-03-31 14:00:00,35,0.02,3,2.0666162762130624,1.9345960074478736,66.66666666666666,214.21054100990295,764
12,2024-03-17 14:00:00 to 2024-03-31 14:00:00,2024-04-01 14:00:00 to 2024-04-03 14:00:00,180,0.074,1,6.393392977453968,5.1990812001287665,100.0,215.646137714386,765
13,2024-03-20 14:00:00 to 2024-04-03 14:00:00,2024-04-04 14:00:00 to 2024-04-06 14:00:00,205,0.072,0,0.0,0.0,0.0,216.26404476165771,767
14,2024-03-23 14:00:00 to 2024-04-06 14:00:00,2024-04-07 14:00:00 to 2024-04-09 14:00:00,195,0.02,2,2.247508236902577,0.9994528794963636,100.0,207.00361704826355,769
15,2024-03-26 14:00:00 to 2024-04-09 14:00:00,2024-04-10 14:00:00 to 2024-04-12 14:00:00,280,0.024,1,2.748560052219327,0.3855000870331236,100.0,212.96842789649963,770
16,2024-03-29 14:00:00 to 2024-04-12 14:00:00,2024-04-13 14:00:00 to 2024-04-15 14:00:00,15,0.02,8,-6.607168206073275,22.92445605595527,62.5,205.72638416290283,771
17,2024-04-01 14:00:00 to 2024-04-15 14:00:00,2024-04-16 14:00:00 to 2024-04-18 14:00:00,15,0.02,7,-1.6957898194230077,7.394104639278065,57.14285714285714,202.03465700149536,773
18,2024-04-04 14:00:00 to 2024-04-18 14:00:00,2024-04-19 14:00:00 to 2024-04-21 14:00:00,30,0.028,3,3.3986884608245784,5.516598539596598,100.0,207.832035779953,775
19,2024-04-07 14:00:00 to 2024-04-21 14:00:00,2024-04-22 14:00:00 to 2024-04-24 14:00:00,30,0.032,1,-0.2365106098629076,1.4575435800898546,0.0,212.83107900619507,776
20,2024-04-10 14:00:00 to 2024-04-24 14:00:00,2024-04-25 14:00:00 to 2024-04-27 14:00:00,30,0.032,3,5.797748428635532,2.038799391795961,100.0,211.258642911911,777
21,2024-04-13 14:00:00 to 2024-04-27 14:00:00,2024-04-28 14:00:00 to 2024-04-30 14:00:00,30,0.032,1,2.4254908581446397,2.5290559040522567,100.0,212.05256915092468,779
22,2024-04-16 14:00:00 to 2024-04-30 14:00:00,2024-05-01 14:00:00 to 2024-05-03 14:00:00,240,0.036,1,0.7020478867274688,5.738178456268308,100.0,209.939160823822,781
23,2024-04-19 14:00:00 to 2024-05-03 14:00:00,2024-05-04 14:00:00 to 2024-05-06 14:00:00,30,0.024,2,2.9810246642684617,0.446620959726638,100.0,207.9816071987152,782
24,2024-04-22 14:00:00 to 2024-05-06 14:00:00,2024-05-07 14:00:00 to 2024-05-09 14:00:00,70,0.02,3,0.8913668363232319,3.3719917772443706,66.66666666666666,208.18671679496765,783
25,2024-04-25 14:00:00 to 2024-05-09 14:00:00,2024-05-10 14:00:00 to 2024-05-12 14:00:00,35,0.02,1,-0.7645845593476952,2.6814461177430533,0.0,204.76022815704343,785
