Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-02-16 14:30:00 to 2023-03-02 14:30:00,2023-03-03 14:30:00 to 2023-03-05 14:30:00,80,0.038,3,2.391034637702269,3.7863036139118593,66.66666666666666,206.7922821044922,568
2,2023-02-19 14:30:00 to 2023-03-05 14:30:00,2023-03-06 14:30:00 to 2023-03-08 14:30:00,70,0.04,1,-2.9748823602935226,5.605468526451062,0.0,206.34570407867432,569
3,2023-02-22 14:30:00 to 2023-03-08 14:30:00,2023-03-09 14:30:00 to 2023-03-11 14:30:00,65,0.04,3,-3.61379084573422,11.880099237503458,33.33333333333333,204.65531086921692,571
4,2023-02-25 14:30:00 to 2023-03-11 14:30:00,2023-03-12 14:30:00 to 2023-03-14 14:30:00,45,0.044,0,0.0,0.0,0.0,199.8392009735107,573
5,2023-02-28 14:30:00 to 2023-03-14 14:30:00,2023-03-15 14:30:00 to 2023-03-17 14:30:00,45,0.042,1,-1.9516011294526288,7.203160284723218,0.0,205.42909693717957,574
6,2023-03-03 14:30:00 to 2023-03-17 14:30:00,2023-03-18 14:30:00 to 2023-03-20 14:30:00,40,0.02,3,2.571452132642862,4.016958904141018,100.0,198.68008399009705,575
7,2023-03-06 14:30:00 to 2023-03-20 14:30:00,2023-03-21 14:30:00 to 2023-03-23 14:30:00,25,0.022,1,3.0517767651964824,1.9751738996653057,100.0,206.69543313980105,577
8,2023-03-09 14:30:00 to 2023-03-23 14:30:00,2023-03-24 14:30:00 to 2023-03-26 14:30:00,40,0.02,4,3.344521553675677,1.413813161548568,100.0,201.60352516174316,579
9,2023-03-12 14:30:00 to 2023-03-26 14:30:00,2023-03-27 14:30:00 to 2023-03-29 14:30:00,40,0.022,1,-0.2504874602964264,1.8105859497644996,0.0,202.0761091709137,580
10,2023-03-15 14:30:00 to 2023-03-29 14:30:00,2023-03-30 14:30:00 to 2023-04-01 14:30:00,35,0.028,0,0.0,0.0,0.0,202.48076796531677,581
11,2023-03-18 14:30:00 to 2023-04-01 14:30:00,2023-04-02 14:30:00 to 2023-04-04 14:30:00,175,0.032,2,2.003216247270484,1.194651688609316,100.0,200.04607582092285,583
12,2023-03-21 14:30:00 to 2023-04-04 14:30:00,2023-04-05 14:30:00 to 2023-04-07 14:30:00,95,0.02,2,-1.263598184812272,2.881932640021261,50.0,199.17093086242676,585
13,2023-03-24 14:30:00 to 2023-04-07 14:30:00,2023-04-08 14:30:00 to 2023-04-10 14:30:00,290,0.022,2,2.3539186094507567,2.7979044187151567,100.0,196.24367380142212,586
14,2023-03-27 14:30:00 to 2023-04-10 14:30:00,2023-04-11 14:30:00 to 2023-04-13 14:30:00,70,0.022,1,-0.0225529144563915,2.438659510413072,0.0,193.7037341594696,587
15,2023-03-30 14:30:00 to 2023-04-13 14:30:00,2023-04-14 14:30:00 to 2023-04-16 14:30:00,280,0.02,0,0.0,0.0,0.0,194.4565191268921,589
16,2023-04-02 14:30:00 to 2023-04-16 14:30:00,2023-04-17 14:30:00 to 2023-04-19 14:30:00,70,0.02,2,-2.205027041373251,5.2264425790853535,50.0,192.4611599445343,591
17,2023-04-05 14:30:00 to 2023-04-19 14:30:00,2023-04-20 14:30:00 to 2023-04-22 14:30:00,280,0.02,1,-10.432693649444372,12.642361346319548,0.0,191.79440999031067,592
18,2023-04-08 14:30:00 to 2023-04-22 14:30:00,2023-04-23 14:30:00 to 2023-04-25 14:30:00,55,0.022,1,1.92805117784148,1.7191316030228168,100.0,196.66197896003723,593
19,2023-04-11 14:30:00 to 2023-04-25 14:30:00,2023-04-26 14:30:00 to 2023-04-28 14:30:00,55,0.022,3,6.253732575198391,2.402490351287452,66.66666666666666,195.2835049629211,595
20,2023-04-14 14:30:00 to 2023-04-28 14:30:00,2023-04-29 14:30:00 to 2023-05-01 14:30:00,55,0.022,1,1.0409689771804551,1.387125116249882,100.0,199.24504494667053,597
21,2023-04-17 14:30:00 to 2023-05-01 14:30:00,2023-05-02 14:30:00 to 2023-05-04 14:30:00,55,0.022,2,0.8142458718864872,2.862039452407811,50.0,198.26715278625488,598
22,2023-04-20 14:30:00 to 2023-05-04 14:30:00,2023-05-05 14:30:00 to 2023-05-07 14:30:00,100,0.024,1,-4.7575429573199655,7.151894782592863,0.0,197.5371561050415,599
23,2023-04-23 14:30:00 to 2023-05-07 14:30:00,2023-05-08 14:30:00 to 2023-05-10 14:30:00,95,0.03,1,-3.0937734573119267,10.138333700108497,0.0,197.6209011077881,601
24,2023-04-26 14:30:00 to 2023-05-10 14:30:00,2023-05-11 14:30:00 to 2023-05-13 14:30:00,80,0.046,1,-0.6894691600929764,4.8385258560909215,0.0,197.27962183952332,603
25,2023-04-29 14:30:00 to 2023-05-13 14:30:00,2023-05-14 14:30:00 to 2023-05-16 14:30:00,160,0.052,0,0.0,0.0,0.0,200.9092862606049,604
26,2023-05-02 14:30:00 to 2023-05-16 14:30:00,2023-05-17 14:30:00 to 2023-05-19 14:30:00,65,0.054,1,-2.1042044561833246,4.62877686789415,0.0,200.19202089309692,605
27,2023-05-05 14:30:00 to 2023-05-19 14:30:00,2023-05-20 14:30:00 to 2023-05-22 14:30:00,300,0.05,1,-5.773024161326503,8.33098230051226,0.0,199.9567003250122,607
28,2023-05-08 14:30:00 to 2023-05-22 14:30:00,2023-05-23 14:30:00 to 2023-05-25 14:30:00,175,0.078,0,0.0,0.0,0.0,199.6984100341797,609
29,2023-05-11 14:30:00 to 2023-05-25 14:30:00,2023-05-26 14:30:00 to 2023-05-28 14:30:00,175,0.07,0,0.0,0.0,0.0,196.39144492149353,610
30,2023-05-14 14:30:00 to 2023-05-28 14:30:00,2023-05-29 14:30:00 to 2023-05-31 14:30:00,170,0.022,3,-3.4350750584243723,6.019917071363016,66.66666666666666,199.34258770942688,611
31,2023-05-17 14:30:00 to 2023-05-31 14:30:00,2023-06-01 14:30:00 to 2023-06-03 14:30:00,175,0.04,1,3.4671387266689635,2.45698145205572,100.0,201.1139738559723,613
32,2023-05-20 14:30:00 to 2023-06-03 14:30:00,2023-06-04 14:30:00 to 2023-06-06 14:30:00,120,0.028,2,-6.908294831703116,11.334334460811627,50.0,199.22530508041385,615
33,2023-05-23 14:30:00 to 2023-06-06 14:30:00,2023-06-07 14:30:00 to 2023-06-09 14:30:00,135,0.052,1,2.0819240398293006,0.6167968474466284,100.0,198.58810377120972,616
34,2023-05-26 14:30:00 to 2023-06-09 14:30:00,2023-06-10 14:30:00 to 2023-06-12 14:30:00,205,0.08,1,2.625515291790525,9.34200139003545,100.0,197.30708265304563,617
35,2023-05-29 14:30:00 to 2023-06-12 14:30:00,2023-06-13 14:30:00 to 2023-06-15 14:30:00,120,0.076,0,0.0,0.0,0.0,201.59555292129517,619
36,2023-06-01 14:30:00 to 2023-06-15 14:30:00,2023-06-16 14:30:00 to 2023-06-18 14:30:00,120,0.076,0,0.0,0.0,0.0,202.52513217926025,621
37,2023-06-04 14:30:00 to 2023-06-18 14:30:00,2023-06-19 14:30:00 to 2023-06-21 14:30:00,145,0.08,0,0.0,0.0,0.0,199.98456597328183,622
38,2023-06-07 14:30:00 to 2023-06-21 14:30:00,2023-06-22 14:30:00 to 2023-06-24 14:30:00,255,0.02,0,0.0,0.0,0.0,199.16078114509585,623
39,2023-06-10 14:30:00 to 2023-06-24 14:30:00,2023-06-25 14:30:00 to 2023-06-27 14:30:00,50,0.022,3,3.1714110212197735,1.5634014267067418,100.0,194.56797790527344,625
40,2023-06-13 14:30:00 to 2023-06-27 14:30:00,2023-06-28 14:30:00 to 2023-06-30 14:30:00,155,0.032,1,1.825842508799451,4.046889110140844,100.0,193.2642378807068,627
41,2023-06-16 14:30:00 to 2023-06-30 14:30:00,2023-07-01 14:30:00 to 2023-07-03 14:30:00,260,0.032,0,0.0,0.0,0.0,194.34769105911255,628
42,2023-06-19 14:30:00 to 2023-07-03 14:30:00,2023-07-04 14:30:00 to 2023-07-06 14:30:00,45,0.022,4,-2.0767803673476375,5.792820725702583,50.0,193.1948320865631,629
43,2023-06-22 14:30:00 to 2023-07-06 14:30:00,2023-07-07 14:30:00 to 2023-07-09 14:30:00,25,0.024,0,0.0,0.0,0.0,198.201721906662,631
44,2023-06-25 14:30:00 to 2023-07-09 14:30:00,2023-07-10 14:30:00 to 2023-07-12 14:30:00,25,0.024,1,0.2427366728614106,1.3779027168808715,100.0,195.27210116386416,633
45,2023-06-28 14:30:00 to 2023-07-12 14:30:00,2023-07-13 14:30:00 to 2023-07-15 14:30:00,25,0.024,1,0.4177321378537272,1.38563489165143,100.0,193.58627891540527,634
46,2023-07-01 14:30:00 to 2023-07-15 14:30:00,2023-07-16 14:30:00 to 2023-07-18 14:30:00,25,0.024,0,0.0,0.0,0.0,195.3677680492401,635
47,2023-07-04 14:30:00 to 2023-07-18 14:30:00,2023-07-19 14:30:00 to 2023-07-21 14:30:00,230,0.024,3,3.5413952786772644,0.5229006370746473,100.0,197.7535889148712,637
48,2023-07-07 14:30:00 to 2023-07-21 14:30:00,2023-07-22 14:30:00 to 2023-07-24 14:30:00,230,0.024,1,0.4345584981562206,0.4043613947450282,0.0,195.44424104690552,639
