Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-02-24 07:00:00 to 2021-03-10 07:00:00,2021-03-11 07:00:00 to 2021-03-13 07:00:00,30,0.036,2,5.416224005992208,1.084060468736416,100.0,214.52360129356384,207
2,2021-02-27 07:00:00 to 2021-03-13 07:00:00,2021-03-14 07:00:00 to 2021-03-16 07:00:00,30,0.036,2,-4.748706707652454,12.74989485913108,50.0,213.8774950504303,208
3,2021-03-02 07:00:00 to 2021-03-16 07:00:00,2021-03-17 07:00:00 to 2021-03-19 07:00:00,295,0.048,0,0.0,0.0,0.0,212.960510969162,209
4,2021-03-05 07:00:00 to 2021-03-19 07:00:00,2021-03-20 07:00:00 to 2021-03-22 07:00:00,240,0.048,1,3.922092968233556,1.6951910484197903,100.0,209.01555705070496,211
5,2021-03-08 07:00:00 to 2021-03-22 07:00:00,2021-03-23 07:00:00 to 2021-03-25 07:00:00,260,0.022,2,-10.990760007656554,24.236952008349633,50.0,213.7893190383911,213
6,2021-03-11 07:00:00 to 2021-03-25 07:00:00,2021-03-26 07:00:00 to 2021-03-28 07:00:00,80,0.056,0,0.0,0.0,0.0,214.14054203033447,214
7,2021-03-14 07:00:00 to 2021-03-28 07:00:00,2021-03-29 07:00:00 to 2021-03-31 07:00:00,80,0.056,1,1.9651813299482457,0.2795256968221666,0.0,213.75803303718567,215
8,2021-03-17 07:00:00 to 2021-03-31 07:00:00,2021-04-01 07:00:00 to 2021-04-03 07:00:00,80,0.048,1,2.1509331324682353,1.5020047344351302,100.0,213.2164101600647,217
9,2021-03-20 07:00:00 to 2021-04-03 07:00:00,2021-04-04 07:00:00 to 2021-04-06 07:00:00,80,0.048,1,2.0668802706734093,1.5700290446900074,100.0,207.63267612457275,219
10,2021-03-23 07:00:00 to 2021-04-06 07:00:00,2021-04-07 07:00:00 to 2021-04-09 07:00:00,230,0.02,1,-1.5103348001134145,8.66526420783748,0.0,209.92915892601013,220
11,2021-03-26 07:00:00 to 2021-04-09 07:00:00,2021-04-10 07:00:00 to 2021-04-12 07:00:00,240,0.036,0,0.0,0.0,0.0,209.1525981426239,221
12,2021-03-29 07:00:00 to 2021-04-12 07:00:00,2021-04-13 07:00:00 to 2021-04-15 07:00:00,230,0.02,2,8.207564840908326,3.526561618147337,50.0,207.86033511161804,223
13,2021-04-01 07:00:00 to 2021-04-15 07:00:00,2021-04-16 07:00:00 to 2021-04-18 07:00:00,245,0.022,2,-14.93171089352836,22.133946677315052,50.0,201.61778497695923,225
14,2021-04-04 07:00:00 to 2021-04-18 07:00:00,2021-04-19 07:00:00 to 2021-04-21 07:00:00,20,0.026,4,-6.484352035859919,12.561397242145512,50.0,204.2322759628296,226
15,2021-04-07 07:00:00 to 2021-04-21 07:00:00,2021-04-22 07:00:00 to 2021-04-24 07:00:00,160,0.078,2,5.794453240477396,12.488682969582152,100.0,206.7876029014587,227
16,2021-04-10 07:00:00 to 2021-04-24 07:00:00,2021-04-25 07:00:00 to 2021-04-27 07:00:00,160,0.078,0,0.0,0.0,0.0,214.08185601234436,229
17,2021-04-13 07:00:00 to 2021-04-27 07:00:00,2021-04-28 07:00:00 to 2021-04-30 07:00:00,160,0.078,0,0.0,0.0,0.0,212.73592877388,231
18,2021-04-16 07:00:00 to 2021-04-30 07:00:00,2021-05-01 07:00:00 to 2021-05-03 07:00:00,210,0.032,1,1.597642823306487,1.3518692234223817,100.0,217.54176807403564,232
