Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-04-11 14:30:00 to 2024-04-25 14:30:00,2024-04-26 14:30:00 to 2024-04-28 14:30:00,25,0.034,0,0.0,0.0,0.0,227.4231767654419,778
2,2024-04-14 14:30:00 to 2024-04-28 14:30:00,2024-04-29 14:30:00 to 2024-05-01 14:30:00,175,0.05,2,-0.016295003839532,7.01269310167579,50.0,224.95454001426697,779
3,2024-04-17 14:30:00 to 2024-05-01 14:30:00,2024-05-02 14:30:00 to 2024-05-04 14:30:00,135,0.048,0,0.0,0.0,0.0,216.25158286094663,781
4,2024-04-20 14:30:00 to 2024-05-04 14:30:00,2024-05-05 14:30:00 to 2024-05-07 14:30:00,165,0.042,1,0.7545267894226709,1.8033728029672904,0.0,216.8524091243744,783
5,2024-04-23 14:30:00 to 2024-05-07 14:30:00,2024-05-08 14:30:00 to 2024-05-10 14:30:00,150,0.068,1,0.4974173805994542,2.3514910936361595,100.0,218.2521951198578,784
6,2024-04-26 14:30:00 to 2024-05-10 14:30:00,2024-05-11 14:30:00 to 2024-05-13 14:30:00,140,0.062,1,3.1691597187490697,0.4838087832961234,100.0,218.0767331123352,785
7,2024-04-29 14:30:00 to 2024-05-13 14:30:00,2024-05-14 14:30:00 to 2024-05-16 14:30:00,85,0.032,1,0.6402351326732787,2.9729228457136396,100.0,213.885883808136,787
8,2024-05-02 14:30:00 to 2024-05-16 14:30:00,2024-05-17 14:30:00 to 2024-05-19 14:30:00,265,0.08,0,0.0,0.0,0.0,213.0866937637329,789
9,2024-05-05 14:30:00 to 2024-05-19 14:30:00,2024-05-20 14:30:00 to 2024-05-22 14:30:00,270,0.064,0,0.0,0.0,0.0,215.8075771331787,790
10,2024-05-08 14:30:00 to 2024-05-22 14:30:00,2024-05-23 14:30:00 to 2024-05-25 14:30:00,190,0.02,2,2.452959209338733,3.4769266246771973,50.0,216.74793887138367,791
11,2024-05-11 14:30:00 to 2024-05-25 14:30:00,2024-05-26 14:30:00 to 2024-05-28 14:30:00,140,0.024,2,2.2607382829418565,1.2239402642468302,100.0,213.68773078918457,793
12,2024-05-14 14:30:00 to 2024-05-28 14:30:00,2024-05-29 14:30:00 to 2024-05-31 14:30:00,170,0.02,3,-0.7869763625670748,7.258154814031522,33.33333333333333,212.02486491203308,795
13,2024-05-17 14:30:00 to 2024-05-31 14:30:00,2024-06-01 14:30:00 to 2024-06-03 14:30:00,120,0.026,1,-0.4261805254215141,1.199885602633506,0.0,215.3343849182129,796
14,2024-05-20 14:30:00 to 2024-06-03 14:30:00,2024-06-04 14:30:00 to 2024-06-06 14:30:00,120,0.026,0,0.0,0.0,0.0,216.4925570487976,797
15,2024-05-23 14:30:00 to 2024-06-06 14:30:00,2024-06-07 14:30:00 to 2024-06-09 14:30:00,90,0.02,3,-4.77442059082201,15.939928837014303,33.33333333333333,213.38162088394165,799
16,2024-05-26 14:30:00 to 2024-06-09 14:30:00,2024-06-10 14:30:00 to 2024-06-12 14:30:00,110,0.03,2,-0.0096010504544028,5.555632596287464,50.0,213.569060087204,801
