Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-02-03 08:00:00 to 2020-02-17 08:00:00,2020-02-18 08:00:00 to 2020-02-20 08:00:00,115,0.03,2,-1.2117626155325345,3.910826760178858,50.0,202.2295322418213,13
2,2020-02-06 08:00:00 to 2020-02-20 08:00:00,2020-02-21 08:00:00 to 2020-02-23 08:00:00,75,0.028,1,1.2072690978886749,0.6210988628473872,100.0,200.603835105896,15
3,2020-02-09 08:00:00 to 2020-02-23 08:00:00,2020-02-24 08:00:00 to 2020-02-26 08:00:00,265,0.05,1,-2.8387524090777516,5.0224732137553785,0.0,207.47781777381897,17
4,2020-02-12 08:00:00 to 2020-02-26 08:00:00,2020-02-27 08:00:00 to 2020-02-29 08:00:00,120,0.05,1,1.3574267015706754,1.3072643979057466,100.0,208.0247311592102,18
5,2020-02-15 08:00:00 to 2020-02-29 08:00:00,2020-03-01 08:00:00 to 2020-03-03 08:00:00,40,0.028,1,0.754024149286488,0.4005745697953369,100.0,207.14958691596985,19
6,2020-02-18 08:00:00 to 2020-03-03 08:00:00,2020-03-04 08:00:00 to 2020-03-06 08:00:00,40,0.024,1,0.8169036534607768,0.3728261965863719,100.0,203.7832717895508,21
7,2020-02-21 08:00:00 to 2020-03-06 08:00:00,2020-03-07 08:00:00 to 2020-03-09 08:00:00,40,0.024,3,-3.962117516100807,8.745457083528034,0.0,201.9279458522797,23
8,2020-02-24 08:00:00 to 2020-03-09 08:00:00,2020-03-10 08:00:00 to 2020-03-12 08:00:00,40,0.04,2,-1.0340367175109713,3.503329703195722,50.0,206.6292150020599,24
9,2020-02-27 08:00:00 to 2020-03-12 08:00:00,2020-03-13 08:00:00 to 2020-03-15 08:00:00,15,0.07,2,13.288885585942095,16.82545550741088,50.0,203.38474011421204,25
10,2020-03-01 08:00:00 to 2020-03-15 08:00:00,2020-03-16 08:00:00 to 2020-03-18 08:00:00,40,0.076,1,-2.3749711182127977,10.923916914451128,0.0,206.10524106025696,27
11,2020-03-04 08:00:00 to 2020-03-18 08:00:00,2020-03-19 08:00:00 to 2020-03-21 08:00:00,40,0.078,1,3.206053723404257,1.1552611413897882,100.0,210.3289511203766,29
