Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-02-02 08:30:00 to 2024-02-16 08:30:00,2024-02-17 08:30:00 to 2024-02-19 08:30:00,15,0.024,3,1.16288435813809,0.8816642114159723,100.0,215.6119110584259,743
2,2024-02-05 08:30:00 to 2024-02-19 08:30:00,2024-02-20 08:30:00 to 2024-02-22 08:30:00,190,0.024,1,-4.7875857946221005,13.1189024360228,0.0,213.5025930404663,745
3,2024-02-08 08:30:00 to 2024-02-22 08:30:00,2024-02-23 08:30:00 to 2024-02-25 08:30:00,20,0.022,4,-0.3053003821147467,6.425982294417107,75.0,213.46367383003235,747
4,2024-02-11 08:30:00 to 2024-02-25 08:30:00,2024-02-26 08:30:00 to 2024-02-28 08:30:00,35,0.03,3,0.8160925183343897,3.2771693895065956,66.66666666666666,214.78427410125732,748
5,2024-02-14 08:30:00 to 2024-02-28 08:30:00,2024-02-29 08:30:00 to 2024-03-02 08:30:00,300,0.042,1,0.4913394704645725,11.281880010110124,0.0,220.51565074920657,749
6,2024-02-17 08:30:00 to 2024-03-02 08:30:00,2024-03-03 08:30:00 to 2024-03-05 08:30:00,115,0.05,2,5.452252373658394,2.0101110195057794,100.0,219.1964221000671,751
7,2024-02-20 08:30:00 to 2024-03-05 08:30:00,2024-03-06 08:30:00 to 2024-03-08 08:30:00,115,0.05,1,9.0139169617086,1.0251600591933556,100.0,219.81193494796753,753
8,2024-02-23 08:30:00 to 2024-03-08 08:30:00,2024-03-09 08:30:00 to 2024-03-11 08:30:00,115,0.05,0,0.0,0.0,0.0,216.9105999469757,754
9,2024-02-26 08:30:00 to 2024-03-11 08:30:00,2024-03-12 08:30:00 to 2024-03-14 08:30:00,145,0.054,0,0.0,0.0,0.0,222.17197370529175,755
10,2024-02-29 08:30:00 to 2024-03-14 08:30:00,2024-03-15 08:30:00 to 2024-03-17 08:30:00,220,0.022,2,-3.7374414661983977,12.34266361541744,50.0,217.8959269523621,757
11,2024-03-03 08:30:00 to 2024-03-17 08:30:00,2024-03-18 08:30:00 to 2024-03-20 08:30:00,140,0.05,1,3.605907589670769,8.885177468262354,100.0,217.63501811027527,759
12,2024-03-06 08:30:00 to 2024-03-20 08:30:00,2024-03-21 08:30:00 to 2024-03-23 08:30:00,170,0.046,1,0.6407040241448703,1.3380397804410162,0.0,216.98436093330383,760
13,2024-03-09 08:30:00 to 2024-03-23 08:30:00,2024-03-24 08:30:00 to 2024-03-26 08:30:00,185,0.08,0,0.0,0.0,0.0,218.79599165916443,761
14,2024-03-12 08:30:00 to 2024-03-26 08:30:00,2024-03-27 08:30:00 to 2024-03-29 08:30:00,290,0.028,3,2.948585899983955,2.4393077803053935,66.66666666666666,221.26790714263916,763
15,2024-03-15 08:30:00 to 2024-03-29 08:30:00,2024-03-30 08:30:00 to 2024-04-01 08:30:00,210,0.02,2,-0.3925950230974012,2.2658380246231755,50.0,216.85767078399655,765
16,2024-03-18 08:30:00 to 2024-04-01 08:30:00,2024-04-02 08:30:00 to 2024-04-04 08:30:00,95,0.022,3,-2.729198925360179,8.586933613355631,66.66666666666666,210.43786692619324,766
17,2024-03-21 08:30:00 to 2024-04-04 08:30:00,2024-04-05 08:30:00 to 2024-04-07 08:30:00,15,0.02,1,0.8854622102425855,0.0182051594628575,100.0,214.15776419639587,767
18,2024-03-24 08:30:00 to 2024-04-07 08:30:00,2024-04-08 08:30:00 to 2024-04-10 08:30:00,65,0.022,2,-5.364591827609838,7.484160225041539,50.0,209.41104698181152,769
19,2024-03-27 08:30:00 to 2024-04-10 08:30:00,2024-04-11 08:30:00 to 2024-04-13 08:30:00,20,0.02,2,-22.82273728130136,26.063714789352396,0.0,205.82981705665588,771
20,2024-03-30 08:30:00 to 2024-04-13 08:30:00,2024-04-14 08:30:00 to 2024-04-16 08:30:00,10,0.062,0,0.0,0.0,0.0,210.80771589279175,772
21,2024-04-02 08:30:00 to 2024-04-16 08:30:00,2024-04-17 08:30:00 to 2024-04-19 08:30:00,80,0.062,2,5.76645029224519,1.0877462368978896,100.0,210.03809309005737,773
22,2024-04-05 08:30:00 to 2024-04-19 08:30:00,2024-04-20 08:30:00 to 2024-04-22 08:30:00,80,0.06,0,0.0,0.0,0.0,214.5639600753784,775
23,2024-04-08 08:30:00 to 2024-04-22 08:30:00,2024-04-23 08:30:00 to 2024-04-25 08:30:00,80,0.06,0,0.0,0.0,0.0,219.38303017616272,777
24,2024-04-11 08:30:00 to 2024-04-25 08:30:00,2024-04-26 08:30:00 to 2024-04-28 08:30:00,240,0.046,1,2.9984220176177225,5.005844290384569,100.0,220.24823117256165,778
