normalized_period,symbol,original_period,out_sample_range,metric_value,selected_based_on_period
16,LTCUSDT,11,2020-02-23 08:00:00 to 2020-02-25 08:00:00,0.3551549755301675,15
20,XLMUSDT,10,2020-03-02 08:00:00 to 2020-03-04 08:00:00,0.2359934346924637,19
24,ADAUSDT,9,2020-03-10 08:00:00 to 2020-03-12 08:00:00,-0.7801788999337805,23
26,BNBUSDT,7,2020-03-14 08:00:00 to 2020-03-16 08:00:00,0.0,25
32,XLMUSDT,18,2020-03-26 08:00:00 to 2020-03-28 08:00:00,-0.9835424617880564,31
38,ATOMUSDT,16,2020-04-07 12:00:00 to 2020-04-09 12:00:00,3.1814437111729967,37
54,ADAUSDT,29,2020-05-09 08:00:00 to 2020-05-11 08:00:00,0.8620243042714356,53
56,XLMUSDT,34,2020-05-13 08:00:00 to 2020-05-15 08:00:00,0.5968986188657073,55
62,XLMUSDT,38,2020-05-25 08:00:00 to 2020-05-27 08:00:00,0.0,61
82,LTCUSDT,55,2020-07-04 08:00:00 to 2020-07-06 08:00:00,0.0,81
90,ADAUSDT,53,2020-07-20 08:00:00 to 2020-07-22 08:00:00,0.0,89
99,XLMUSDT,63,2020-08-08 08:00:00 to 2020-08-10 08:00:00,0.0,98
105,BNBUSDT,60,2020-08-20 08:00:00 to 2020-08-22 08:00:00,0.6104940733253716,104
110,BNBUSDT,63,2020-08-29 08:00:00 to 2020-08-31 08:00:00,0.0,109
111,XLMUSDT,71,2020-09-01 08:00:00 to 2020-09-03 08:00:00,0.4259193908902671,110
112,MKRUSDT,3,2020-09-03 07:00:00 to 2020-09-05 07:00:00,-8.785972601827762,111
117,XLMUSDT,75,2020-09-13 08:00:00 to 2020-09-15 08:00:00,0.0,116
119,ALGOUSDT,27,2020-09-17 09:00:00 to 2020-09-19 09:00:00,-1.0079036860879933,118
123,SXPUSDT,18,2020-09-25 09:00:00 to 2020-09-27 09:00:00,0.0,122
124,DOGEUSDT,22,2020-09-26 09:00:00 to 2020-09-28 09:00:00,0.3418932638304613,123
125,ALGOUSDT,31,2020-09-29 09:00:00 to 2020-10-01 09:00:00,1.739282162834061,124
129,COMPUSDT,29,2020-10-07 09:00:00 to 2020-10-09 09:00:00,0.0,128
131,YFIUSDT,10,2020-10-12 07:00:00 to 2020-10-14 07:00:00,0.8826475300053243,130
135,XLMUSDT,87,2020-10-19 08:00:00 to 2020-10-21 08:00:00,0.9556951069584466,134
137,ALGOUSDT,39,2020-10-23 09:00:00 to 2020-10-25 09:00:00,1.6539591420239412,136
141,AVAXUSDT,9,2020-11-01 07:00:00 to 2020-11-03 07:00:00,-2.695980598559363,140
142,DOGEUSDT,34,2020-11-01 09:00:00 to 2020-11-03 09:00:00,0.0,141
143,ALGOUSDT,43,2020-11-04 09:00:00 to 2020-11-06 09:00:00,0.0,142
147,BNBUSDT,88,2020-11-12 08:00:00 to 2020-11-14 08:00:00,1.1714370327145296,146
149,MKRUSDT,28,2020-11-17 07:00:00 to 2020-11-19 07:00:00,-0.4181194943864466,148
150,ADAUSDT,93,2020-11-17 08:00:00 to 2020-11-19 08:00:00,1.5243646911539326,149
153,BNBUSDT,92,2020-11-24 08:00:00 to 2020-11-26 08:00:00,-8.06329466804449,152
155,LTCUSDT,104,2020-11-28 08:00:00 to 2020-11-30 08:00:00,1.0375511514305618,154
159,SXPUSDT,42,2020-12-06 09:00:00 to 2020-12-08 09:00:00,0.0,158
160,MKRUSDT,35,2020-12-08 07:00:00 to 2020-12-10 07:00:00,1.1454049670126552,159
