Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-03-01 15:30:00 to 2024-03-15 15:30:00,2024-03-16 15:30:00 to 2024-03-18 15:30:00,30,0.022,3,-2.4303202325393065,5.452578239019076,33.33333333333333,203.5528061389923,817
2,2024-03-04 15:30:00 to 2024-03-18 15:30:00,2024-03-19 15:30:00 to 2024-03-21 15:30:00,115,0.04,2,-0.4855122988478979,7.513162997151513,50.0,205.976087808609,819
3,2024-03-07 15:30:00 to 2024-03-21 15:30:00,2024-03-22 15:30:00 to 2024-03-24 15:30:00,150,0.05,1,1.5596021221382217,3.307470075736331,100.0,202.35590291023257,820
4,2024-03-10 15:30:00 to 2024-03-24 15:30:00,2024-03-25 15:30:00 to 2024-03-27 15:30:00,145,0.05,0,0.0,0.0,0.0,205.36375188827515,821
5,2024-03-13 15:30:00 to 2024-03-27 15:30:00,2024-03-28 15:30:00 to 2024-03-30 15:30:00,155,0.038,1,2.054509615384595,0.4379071546033422,100.0,208.08411288261416,823
6,2024-03-16 15:30:00 to 2024-03-30 15:30:00,2024-03-31 15:30:00 to 2024-04-02 15:30:00,270,0.022,3,-6.7683790612742625,11.622484794187324,66.66666666666666,202.16027855873108,825
7,2024-03-19 15:30:00 to 2024-04-02 15:30:00,2024-04-03 15:30:00 to 2024-04-05 15:30:00,15,0.022,4,0.3945929266552048,1.2955138363385688,75.0,200.39714884757996,826
8,2024-03-22 15:30:00 to 2024-04-05 15:30:00,2024-04-06 15:30:00 to 2024-04-08 15:30:00,15,0.026,0,0.0,0.0,0.0,197.87988424301147,827
9,2024-03-25 15:30:00 to 2024-04-08 15:30:00,2024-04-09 15:30:00 to 2024-04-11 15:30:00,115,0.02,2,-7.536306722069367,12.522624724114364,0.0,200.2321698665619,829
10,2024-03-28 15:30:00 to 2024-04-11 15:30:00,2024-04-12 15:30:00 to 2024-04-14 15:30:00,115,0.07,2,11.863069244031884,5.60452812776128,100.0,199.64733266830444,831
11,2024-03-31 15:30:00 to 2024-04-14 15:30:00,2024-04-15 15:30:00 to 2024-04-17 15:30:00,150,0.08,0,0.0,0.0,0.0,203.60085082054135,832
12,2024-04-03 15:30:00 to 2024-04-17 15:30:00,2024-04-18 15:30:00 to 2024-04-20 15:30:00,150,0.08,0,0.0,0.0,0.0,206.2589569091797,833
