Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-03-07 12:00:00 to 2023-03-21 12:00:00,2023-03-22 12:00:00 to 2023-03-24 12:00:00,285,0.074,0,0.0,0.0,0.0,224.22628474235535,637
2,2023-03-10 12:00:00 to 2023-03-24 12:00:00,2023-03-25 12:00:00 to 2023-03-27 12:00:00,110,0.078,0,0.0,0.0,0.0,220.59859776496887,639
3,2023-03-13 12:00:00 to 2023-03-27 12:00:00,2023-03-28 12:00:00 to 2023-03-30 12:00:00,295,0.08,1,2.3651106094808165,1.2970366815803378,100.0,217.67807698249817,640
4,2023-03-16 12:00:00 to 2023-03-30 12:00:00,2023-03-31 12:00:00 to 2023-04-02 12:00:00,300,0.07,0,0.0,0.0,0.0,212.0816719532013,641
5,2023-03-19 12:00:00 to 2023-04-02 12:00:00,2023-04-03 12:00:00 to 2023-04-05 12:00:00,180,0.02,1,0.1762228534292262,4.323011338195946,100.0,212.1856608390808,643
6,2023-03-22 12:00:00 to 2023-04-05 12:00:00,2023-04-06 12:00:00 to 2023-04-08 12:00:00,170,0.02,2,1.6168790091926348,4.52091023273988,50.0,208.6585509777069,645
7,2023-03-25 12:00:00 to 2023-04-08 12:00:00,2023-04-09 12:00:00 to 2023-04-11 12:00:00,250,0.034,0,0.0,0.0,0.0,211.934592962265,646
8,2023-03-28 12:00:00 to 2023-04-11 12:00:00,2023-04-12 12:00:00 to 2023-04-14 12:00:00,250,0.032,1,3.1073718209686376,1.8827482020776145,100.0,204.84564208984375,647
9,2023-03-31 12:00:00 to 2023-04-14 12:00:00,2023-04-15 12:00:00 to 2023-04-17 12:00:00,250,0.032,1,-0.0421359796164688,0.554312746507838,0.0,207.96885991096497,649
10,2023-04-03 12:00:00 to 2023-04-17 12:00:00,2023-04-18 12:00:00 to 2023-04-20 12:00:00,270,0.03,1,-8.918745099924763,9.201674568311452,0.0,203.8634901046753,651
11,2023-04-06 12:00:00 to 2023-04-20 12:00:00,2023-04-21 12:00:00 to 2023-04-23 12:00:00,20,0.022,1,0.1437482517482385,0.7161899981241828,100.0,204.17362308502197,652
12,2023-04-09 12:00:00 to 2023-04-23 12:00:00,2023-04-24 12:00:00 to 2023-04-26 12:00:00,80,0.044,0,0.0,0.0,0.0,205.549546957016,653
13,2023-04-12 12:00:00 to 2023-04-26 12:00:00,2023-04-27 12:00:00 to 2023-04-29 12:00:00,60,0.034,0,0.0,0.0,0.0,205.9530873298645,655
14,2023-04-15 12:00:00 to 2023-04-29 12:00:00,2023-04-30 12:00:00 to 2023-05-02 12:00:00,80,0.028,1,0.9607317320703624,0.7309493475345137,100.0,209.1922369003296,657
15,2023-04-18 12:00:00 to 2023-05-02 12:00:00,2023-05-03 12:00:00 to 2023-05-05 12:00:00,245,0.022,1,2.2951506305941076,2.85608522807639,100.0,209.67827987670896,658
16,2023-04-21 12:00:00 to 2023-05-05 12:00:00,2023-05-06 12:00:00 to 2023-05-08 12:00:00,215,0.024,1,-14.208754910933074,15.452208476267517,0.0,207.25409388542175,659
17,2023-04-24 12:00:00 to 2023-05-08 12:00:00,2023-05-09 12:00:00 to 2023-05-11 12:00:00,35,0.034,2,2.26388007867934,0.4995908695971746,100.0,207.12003684043884,661
18,2023-04-27 12:00:00 to 2023-05-11 12:00:00,2023-05-12 12:00:00 to 2023-05-14 12:00:00,35,0.034,0,0.0,0.0,0.0,206.33336091041565,663
19,2023-04-30 12:00:00 to 2023-05-14 12:00:00,2023-05-15 12:00:00 to 2023-05-17 12:00:00,35,0.034,0,0.0,0.0,0.0,211.9304041862488,664
20,2023-05-03 12:00:00 to 2023-05-17 12:00:00,2023-05-18 12:00:00 to 2023-05-20 12:00:00,35,0.034,0,0.0,0.0,0.0,208.1349847316742,665
21,2023-05-06 12:00:00 to 2023-05-20 12:00:00,2023-05-21 12:00:00 to 2023-05-23 12:00:00,45,0.02,1,-2.758499205877124,4.048285018189239,0.0,209.40136885643005,667
