Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-11-13 12:30:00 to 2024-11-27 12:30:00,2024-11-28 12:30:00 to 2024-11-30 12:30:00,20,0.02,3,1.0083887710838098,0.9828896492576888,33.33333333333333,218.49242115020752,945
2,2024-11-16 12:30:00 to 2024-11-30 12:30:00,2024-12-01 12:30:00 to 2024-12-03 12:30:00,40,0.034,2,-1.4787913186289552,7.76816256779968,50.0,210.98059964179993,947
3,2024-11-19 12:30:00 to 2024-12-03 12:30:00,2024-12-04 12:30:00 to 2024-12-06 12:30:00,150,0.044,0,0.0,0.0,0.0,211.93737196922305,949
4,2024-11-22 12:30:00 to 2024-12-06 12:30:00,2024-12-07 12:30:00 to 2024-12-09 12:30:00,80,0.022,3,-2.1078620274402966,7.091945116259224,66.66666666666666,209.95570468902588,950
5,2024-11-25 12:30:00 to 2024-12-09 12:30:00,2024-12-10 12:30:00 to 2024-12-12 12:30:00,10,0.046,2,4.166495088758147,0.0202860711852634,100.0,205.3337409496307,951
6,2024-11-28 12:30:00 to 2024-12-12 12:30:00,2024-12-13 12:30:00 to 2024-12-15 12:30:00,240,0.022,2,-0.3006845703643739,6.147344337411406,50.0,205.9550099372864,953
7,2024-12-01 12:30:00 to 2024-12-15 12:30:00,2024-12-16 12:30:00 to 2024-12-18 12:30:00,10,0.046,0,0.0,0.0,0.0,207.22459483146667,955
8,2024-12-04 12:30:00 to 2024-12-18 12:30:00,2024-12-19 12:30:00 to 2024-12-21 12:30:00,10,0.046,1,1.80445190839695,0.4096195419847208,100.0,206.88812685012817,956
9,2024-12-07 12:30:00 to 2024-12-21 12:30:00,2024-12-22 12:30:00 to 2024-12-24 12:30:00,300,0.078,0,0.0,0.0,0.0,209.30022811889648,957
10,2024-12-10 12:30:00 to 2024-12-24 12:30:00,2024-12-25 12:30:00 to 2024-12-27 12:30:00,60,0.072,0,0.0,0.0,0.0,206.43118739128113,959
