Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2022-10-19 02:00:00 to 2022-11-02 02:00:00,2022-11-03 02:00:00 to 2022-11-05 02:00:00,80,0.02,1,0.486540174249767,0.3913923385423913,100.0,211.0354490280151,567
2,2022-10-22 02:00:00 to 2022-11-05 02:00:00,2022-11-06 02:00:00 to 2022-11-08 02:00:00,225,0.046,1,-2.9002708599112337,3.9947236639242463,0.0,212.35837602615356,569
3,2022-10-25 02:00:00 to 2022-11-08 02:00:00,2022-11-09 02:00:00 to 2022-11-11 02:00:00,75,0.058,1,-18.00116020488833,28.870215597983428,0.0,212.90324187278748,571
4,2022-10-28 02:00:00 to 2022-11-11 02:00:00,2022-11-12 02:00:00 to 2022-11-14 02:00:00,15,0.064,0,0.0,0.0,0.0,211.01790404319763,572
5,2022-10-31 02:00:00 to 2022-11-14 02:00:00,2022-11-15 02:00:00 to 2022-11-17 02:00:00,25,0.068,0,0.0,0.0,0.0,216.97732305526733,573
6,2022-11-03 02:00:00 to 2022-11-17 02:00:00,2022-11-18 02:00:00 to 2022-11-20 02:00:00,25,0.068,0,0.0,0.0,0.0,218.3454668521881,575
7,2022-11-06 02:00:00 to 2022-11-20 02:00:00,2022-11-21 02:00:00 to 2022-11-23 02:00:00,300,0.078,1,6.793882061372606,2.688235881005881,100.0,219.71789693832395,577
8,2022-11-09 02:00:00 to 2022-11-23 02:00:00,2022-11-24 02:00:00 to 2022-11-26 02:00:00,65,0.038,1,0.9199387726442912,0.6045824602192562,100.0,217.11350679397583,578
9,2022-11-12 02:00:00 to 2022-11-26 02:00:00,2022-11-27 02:00:00 to 2022-11-29 02:00:00,65,0.026,2,1.413862389414262,2.0917176436970486,100.0,213.54857206344604,579
10,2022-11-15 02:00:00 to 2022-11-29 02:00:00,2022-11-30 02:00:00 to 2022-12-02 02:00:00,80,0.02,1,1.1297405412421178,0.4697475814450811,100.0,207.4348301887512,581
11,2022-11-18 02:00:00 to 2022-12-02 02:00:00,2022-12-03 02:00:00 to 2022-12-05 02:00:00,290,0.028,0,0.0,0.0,0.0,208.63190293312073,583
12,2022-11-21 02:00:00 to 2022-12-05 02:00:00,2022-12-06 02:00:00 to 2022-12-08 02:00:00,70,0.026,1,-1.961130681437808,6.287191546912507,0.0,203.09651589393616,584
13,2022-11-24 02:00:00 to 2022-12-08 02:00:00,2022-12-09 02:00:00 to 2022-12-11 02:00:00,265,0.034,0,0.0,0.0,0.0,206.87273383140564,585
14,2022-11-27 02:00:00 to 2022-12-11 02:00:00,2022-12-12 02:00:00 to 2022-12-14 02:00:00,95,0.02,2,-0.3059521205458986,4.204885681515737,50.0,206.93775415420532,587
15,2022-11-30 02:00:00 to 2022-12-14 02:00:00,2022-12-15 02:00:00 to 2022-12-17 02:00:00,50,0.02,2,-7.860425861819421,9.717198231839514,50.0,205.9363179206848,589
