Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-03-10 07:00:00 to 2021-03-24 07:00:00,2021-03-25 07:00:00 to 2021-03-27 07:00:00,265,0.02,1,10.99594542638315,9.746829426108755,100.0,222.00132036209104,273
2,2021-03-13 07:00:00 to 2021-03-27 07:00:00,2021-03-28 07:00:00 to 2021-03-30 07:00:00,75,0.024,2,4.490898435574818,1.6394311790865157,100.0,213.87529611587524,275
3,2021-03-16 07:00:00 to 2021-03-30 07:00:00,2021-03-31 07:00:00 to 2021-04-02 07:00:00,75,0.024,2,-4.652899799844181,9.06049065531018,0.0,211.45271682739255,277
4,2021-03-19 07:00:00 to 2021-04-02 07:00:00,2021-04-03 07:00:00 to 2021-04-05 07:00:00,10,0.024,1,1.663546817210954,1.175018939972506,100.0,213.63297200202945,278
5,2021-03-22 07:00:00 to 2021-04-05 07:00:00,2021-04-06 07:00:00 to 2021-04-08 07:00:00,10,0.024,3,6.163905374676924,2.9036934434722492,100.0,214.1448769569397,279
6,2021-03-25 07:00:00 to 2021-04-08 07:00:00,2021-04-09 07:00:00 to 2021-04-11 07:00:00,10,0.024,0,0.0,0.0,0.0,209.22244095802307,281
7,2021-03-28 07:00:00 to 2021-04-11 07:00:00,2021-04-12 07:00:00 to 2021-04-14 07:00:00,175,0.05,0,0.0,0.0,0.0,210.86894392967224,283
8,2021-03-31 07:00:00 to 2021-04-14 07:00:00,2021-04-15 07:00:00 to 2021-04-17 07:00:00,170,0.05,1,2.8376027929076373,0.8106953673090082,100.0,211.96602487564087,284
9,2021-04-03 07:00:00 to 2021-04-17 07:00:00,2021-04-18 07:00:00 to 2021-04-20 07:00:00,170,0.05,2,-12.924896556372786,24.806012461906946,0.0,211.24225306510925,285
10,2021-04-06 07:00:00 to 2021-04-20 07:00:00,2021-04-21 07:00:00 to 2021-04-23 07:00:00,10,0.034,5,2.409725238474457,9.451186744349906,80.0,213.44764184951785,287
11,2021-04-09 07:00:00 to 2021-04-23 07:00:00,2021-04-24 07:00:00 to 2021-04-26 07:00:00,10,0.038,1,1.8859126260201449,0.0,100.0,211.46026706695557,289
12,2021-04-12 07:00:00 to 2021-04-26 07:00:00,2021-04-27 07:00:00 to 2021-04-29 07:00:00,10,0.038,1,1.036491572312698,0.5595991215811591,100.0,216.64935779571533,290
13,2021-04-15 07:00:00 to 2021-04-29 07:00:00,2021-04-30 07:00:00 to 2021-05-02 07:00:00,10,0.034,0,0.0,0.0,0.0,217.73533296585083,291
14,2021-04-18 07:00:00 to 2021-05-02 07:00:00,2021-05-03 07:00:00 to 2021-05-05 07:00:00,175,0.038,1,-3.606766762258103,10.952080914439652,0.0,217.68634414672852,293
15,2021-04-21 07:00:00 to 2021-05-05 07:00:00,2021-05-06 07:00:00 to 2021-05-08 07:00:00,175,0.038,1,2.225473397238602,2.2023783058121307,100.0,217.7549040317535,295
16,2021-04-24 07:00:00 to 2021-05-08 07:00:00,2021-05-09 07:00:00 to 2021-05-11 07:00:00,120,0.036,2,1.7681107897355104,7.447661319913394,50.0,210.371346950531,296
17,2021-04-27 07:00:00 to 2021-05-11 07:00:00,2021-05-12 07:00:00 to 2021-05-14 07:00:00,95,0.032,4,11.319996060432258,10.299642763764696,75.0,207.54638504981995,297
18,2021-04-30 07:00:00 to 2021-05-14 07:00:00,2021-05-15 07:00:00 to 2021-05-17 07:00:00,210,0.058,1,1.5965250133646445,4.801198649424724,0.0,215.80717086791992,299
19,2021-05-03 07:00:00 to 2021-05-17 07:00:00,2021-05-18 07:00:00 to 2021-05-20 07:00:00,35,0.04,3,-21.865821275813214,49.8141363553438,33.33333333333333,215.07802605628967,301
20,2021-05-06 07:00:00 to 2021-05-20 07:00:00,2021-05-21 07:00:00 to 2021-05-23 07:00:00,80,0.072,2,-13.525051945533614,21.218696122845344,0.0,216.0247139930725,302
21,2021-05-09 07:00:00 to 2021-05-23 07:00:00,2021-05-24 07:00:00 to 2021-05-26 07:00:00,10,0.076,0,0.0,0.0,0.0,217.48933601379397,303
22,2021-05-12 07:00:00 to 2021-05-26 07:00:00,2021-05-27 07:00:00 to 2021-05-29 07:00:00,10,0.076,0,0.0,0.0,0.0,217.0660729408264,305
23,2021-05-15 07:00:00 to 2021-05-29 07:00:00,2021-05-30 07:00:00 to 2021-06-01 07:00:00,10,0.076,0,0.0,0.0,0.0,219.683345079422,307
24,2021-05-18 07:00:00 to 2021-06-01 07:00:00,2021-06-02 07:00:00 to 2021-06-04 07:00:00,120,0.078,1,-1.844134326441508,1.844134326441508,0.0,220.6163280010223,308
