Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-10-01 06:00:00 to 2024-10-15 06:00:00,2024-10-16 06:00:00 to 2024-10-18 06:00:00,265,0.034,1,-0.7375768277211319,9.025664367661712,0.0,214.54298210144043,924
2,2024-10-04 06:00:00 to 2024-10-18 06:00:00,2024-10-19 06:00:00 to 2024-10-21 06:00:00,200,0.024,1,2.505065905848787,0.133549215406565,100.0,210.5648012161255,925
3,2024-10-07 06:00:00 to 2024-10-21 06:00:00,2024-10-22 06:00:00 to 2024-10-24 06:00:00,60,0.032,1,1.6799041030583428,2.2578415076585197,100.0,210.63785195350647,927
4,2024-10-10 06:00:00 to 2024-10-24 06:00:00,2024-10-25 06:00:00 to 2024-10-27 06:00:00,65,0.032,1,-4.872561096169357,8.333035202218463,0.0,208.70836567878723,929
5,2024-10-13 06:00:00 to 2024-10-27 06:00:00,2024-10-28 06:00:00 to 2024-10-30 06:00:00,60,0.03,1,2.2681002662963694,2.1067021672030464,100.0,207.77644801139832,930
6,2024-10-16 06:00:00 to 2024-10-30 06:00:00,2024-10-31 06:00:00 to 2024-11-02 06:00:00,60,0.026,2,-8.35786770461309,8.80438891446933,0.0,205.23085522651672,931
7,2024-10-19 06:00:00 to 2024-11-02 06:00:00,2024-11-03 06:00:00 to 2024-11-05 06:00:00,25,0.04,0,0.0,0.0,0.0,209.05761885643005,933
8,2024-10-22 06:00:00 to 2024-11-05 06:00:00,2024-11-06 06:00:00 to 2024-11-08 06:00:00,275,0.078,0,0.0,0.0,0.0,210.58729600906372,935
9,2024-10-25 06:00:00 to 2024-11-08 06:00:00,2024-11-09 06:00:00 to 2024-11-11 06:00:00,25,0.034,2,1.2434232296414849,0.44048202687929,50.0,206.7746560573578,936
10,2024-10-28 06:00:00 to 2024-11-11 06:00:00,2024-11-12 06:00:00 to 2024-11-14 06:00:00,30,0.022,3,-10.498208102146943,13.63454447310084,33.33333333333333,206.8891899585724,937
11,2024-10-31 06:00:00 to 2024-11-14 06:00:00,2024-11-15 06:00:00 to 2024-11-17 06:00:00,70,0.05,2,3.8525195337987497,1.513112861198284,100.0,211.30114674568176,939
12,2024-11-03 06:00:00 to 2024-11-17 06:00:00,2024-11-18 06:00:00 to 2024-11-20 06:00:00,70,0.028,2,1.5791201147319407,4.248401755468426,50.0,203.75093507766724,941
13,2024-11-06 06:00:00 to 2024-11-20 06:00:00,2024-11-21 06:00:00 to 2024-11-23 06:00:00,65,0.024,3,7.543051947559161,2.3070745939047437,100.0,213.8502941131592,942
14,2024-11-09 06:00:00 to 2024-11-23 06:00:00,2024-11-24 06:00:00 to 2024-11-26 06:00:00,65,0.022,3,4.610000919476551,5.4514088831810845,66.66666666666666,214.05456519126892,943
15,2024-11-12 06:00:00 to 2024-11-26 06:00:00,2024-11-27 06:00:00 to 2024-11-29 06:00:00,100,0.022,1,-1.8807130988052816,2.8005378081172,0.0,212.4732129573822,945
16,2024-11-15 06:00:00 to 2024-11-29 06:00:00,2024-11-30 06:00:00 to 2024-12-02 06:00:00,45,0.02,2,-2.257800709808416,4.529064245542511,50.0,207.31969928741455,947
17,2024-11-18 06:00:00 to 2024-12-02 06:00:00,2024-12-03 06:00:00 to 2024-12-05 06:00:00,245,0.034,1,1.267577589005523,1.3146867739341417,0.0,211.6053431034088,948
18,2024-11-21 06:00:00 to 2024-12-05 06:00:00,2024-12-06 06:00:00 to 2024-12-08 06:00:00,100,0.028,1,-1.866240192718342,3.3448483071566035,0.0,210.16096377372745,949
19,2024-11-24 06:00:00 to 2024-12-08 06:00:00,2024-12-09 06:00:00 to 2024-12-11 06:00:00,195,0.022,5,13.016364026374976,7.437447182403286,80.0,205.93449902534485,951
