Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-11-21 11:30:00 to 2024-12-05 11:30:00,2024-12-06 11:30:00 to 2024-12-08 11:30:00,295,0.024,2,-0.5065373765958612,6.73972229333842,50.0,212.30982995033264,949
2,2024-11-24 11:30:00 to 2024-12-08 11:30:00,2024-12-09 11:30:00 to 2024-12-11 11:30:00,245,0.036,1,-13.68450588597254,21.63239368969578,0.0,204.82108807563785,951
3,2024-11-27 11:30:00 to 2024-12-11 11:30:00,2024-12-12 11:30:00 to 2024-12-14 11:30:00,15,0.022,3,2.125624943498151,0.5256161145926671,100.0,207.0288631916046,953
4,2024-11-30 11:30:00 to 2024-12-14 11:30:00,2024-12-15 11:30:00 to 2024-12-17 11:30:00,30,0.024,3,0.483546742455801,2.9270414778579807,33.33333333333333,208.9271309375763,954
5,2024-12-03 11:30:00 to 2024-12-17 11:30:00,2024-12-18 11:30:00 to 2024-12-20 11:30:00,15,0.032,3,-4.625912744041925,7.1767377058141975,66.66666666666666,206.46821975708008,955
6,2024-12-06 11:30:00 to 2024-12-20 11:30:00,2024-12-21 11:30:00 to 2024-12-23 11:30:00,75,0.076,0,0.0,0.0,0.0,207.38661694526672,957
7,2024-12-09 11:30:00 to 2024-12-23 11:30:00,2024-12-24 11:30:00 to 2024-12-26 11:30:00,80,0.046,1,0.458010835913301,0.1621161562259278,0.0,208.4459018707275,959
8,2024-12-12 11:30:00 to 2024-12-26 11:30:00,2024-12-27 11:30:00 to 2024-12-29 11:30:00,75,0.076,1,2.2446207749381757,3.881487135610842,100.0,206.4137680530548,960
9,2024-12-15 11:30:00 to 2024-12-29 11:30:00,2024-12-30 11:30:00 to 2025-01-01 11:30:00,55,0.07,1,0.1203225674570785,1.3500910291988426,100.0,209.47678112983704,961
10,2024-12-18 11:30:00 to 2025-01-01 11:30:00,2025-01-02 11:30:00 to 2025-01-04 11:30:00,210,0.02,1,1.1270260497667186,0.3122546006513372,100.0,211.18337392807007,963
11,2024-12-21 11:30:00 to 2025-01-04 11:30:00,2025-01-05 11:30:00 to 2025-01-07 11:30:00,205,0.02,3,-0.4368704929970227,3.445205335709903,66.66666666666666,207.846941947937,965
12,2024-12-24 11:30:00 to 2025-01-07 11:30:00,2025-01-08 11:30:00 to 2025-01-10 11:30:00,215,0.02,1,-4.37116783723648,8.171057749713198,0.0,212.04912495613095,966
13,2024-12-27 11:30:00 to 2025-01-10 11:30:00,2025-01-11 11:30:00 to 2025-01-13 11:30:00,215,0.02,2,-8.393027268330442,9.492069126771955,50.0,211.11721301078796,967
14,2024-12-30 11:30:00 to 2025-01-13 11:30:00,2025-01-14 11:30:00 to 2025-01-16 11:30:00,15,0.028,0,0.0,0.0,0.0,205.1033930778503,969
15,2025-01-02 11:30:00 to 2025-01-16 11:30:00,2025-01-17 11:30:00 to 2025-01-19 11:30:00,30,0.04,2,-5.08687669802659,5.08687669802659,0.0,204.11522793769836,971
16,2025-01-05 11:30:00 to 2025-01-19 11:30:00,2025-01-20 11:30:00 to 2025-01-22 11:30:00,105,0.08,1,3.894455739577389,1.8298269560251357,100.0,204.21736693382263,972
17,2025-01-08 11:30:00 to 2025-01-22 11:30:00,2025-01-23 11:30:00 to 2025-01-25 11:30:00,100,0.054,1,1.3730510204081656,0.904001520187864,0.0,201.987135887146,973
18,2025-01-11 11:30:00 to 2025-01-25 11:30:00,2025-01-26 11:30:00 to 2025-01-28 11:30:00,100,0.054,1,0.0684572363806364,6.019691212917241,100.0,205.92002606391907,975
