Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-12-15 14:00:00 to 2023-12-29 14:00:00,2023-12-30 14:00:00 to 2024-01-01 14:00:00,295,0.034,3,2.6036289132314776,5.983502472520796,66.66666666666666,216.92510390281677,779
2,2023-12-18 14:00:00 to 2024-01-01 14:00:00,2024-01-02 14:00:00 to 2024-01-04 14:00:00,135,0.024,2,-19.429503174143058,24.036044926503727,50.0,211.23295092582703,780
3,2023-12-21 14:00:00 to 2024-01-04 14:00:00,2024-01-05 14:00:00 to 2024-01-07 14:00:00,300,0.076,1,-7.267452536866294,9.899585610929613,0.0,212.13216185569763,781
4,2023-12-24 14:00:00 to 2024-01-07 14:00:00,2024-01-08 14:00:00 to 2024-01-10 14:00:00,245,0.08,2,11.819713096126652,6.734405531774199,50.0,215.4001951217651,783
5,2023-12-27 14:00:00 to 2024-01-10 14:00:00,2024-01-11 14:00:00 to 2024-01-13 14:00:00,240,0.044,1,-1.0685670045494409,1.7390709118116756,0.0,212.14554023742676,785
6,2023-12-30 14:00:00 to 2024-01-13 14:00:00,2024-01-14 14:00:00 to 2024-01-16 14:00:00,10,0.02,11,3.0550566962985797,4.902815964443611,72.72727272727273,213.14529085159305,786
7,2024-01-02 14:00:00 to 2024-01-16 14:00:00,2024-01-17 14:00:00 to 2024-01-19 14:00:00,215,0.034,1,-9.587811560857846,13.85445350308347,0.0,213.964928150177,787
8,2024-01-05 14:00:00 to 2024-01-19 14:00:00,2024-01-20 14:00:00 to 2024-01-22 14:00:00,245,0.032,2,-2.2657551922897436,9.177257525627384,50.0,215.3934390544891,789
9,2024-01-08 14:00:00 to 2024-01-22 14:00:00,2024-01-23 14:00:00 to 2024-01-25 14:00:00,180,0.062,2,0.2216505174290432,11.36658676548812,50.0,208.917955160141,791
10,2024-01-11 14:00:00 to 2024-01-25 14:00:00,2024-01-26 14:00:00 to 2024-01-28 14:00:00,130,0.074,0,0.0,0.0,0.0,212.3048858642578,792
11,2024-01-14 14:00:00 to 2024-01-28 14:00:00,2024-01-29 14:00:00 to 2024-01-31 14:00:00,95,0.072,1,2.8773991935483902,2.4876926653099556,100.0,207.47769117355347,793
12,2024-01-17 14:00:00 to 2024-01-31 14:00:00,2024-02-01 14:00:00 to 2024-02-03 14:00:00,210,0.02,2,-14.09758405896413,17.377629653086853,50.0,209.0673668384552,795
13,2024-01-20 14:00:00 to 2024-02-03 14:00:00,2024-02-04 14:00:00 to 2024-02-06 14:00:00,290,0.024,2,5.773205280315433,6.773041796787034,100.0,208.01010298728943,797
