Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2025-01-03 12:15:00 to 2025-01-17 12:15:00,2025-01-18 12:15:00 to 2025-01-20 12:15:00,30,0.03,3,-18.771029547529352,21.451269911930194,0.0,209.03609108924863,971
2,2025-01-06 12:15:00 to 2025-01-20 12:15:00,2025-01-21 12:15:00 to 2025-01-23 12:15:00,70,0.08,0,0.0,0.0,0.0,206.50574898719788,973
3,2025-01-09 12:15:00 to 2025-01-23 12:15:00,2025-01-24 12:15:00 to 2025-01-26 12:15:00,35,0.05,1,0.2352694797507137,2.789456024601048,100.0,210.06040501594543,974
4,2025-01-12 12:15:00 to 2025-01-26 12:15:00,2025-01-27 12:15:00 to 2025-01-29 12:15:00,45,0.056,2,-2.4610431598344804,8.5620541275731,50.0,211.29347896575928,975
5,2025-01-15 12:15:00 to 2025-01-29 12:15:00,2025-01-30 12:15:00 to 2025-02-01 12:15:00,95,0.066,1,-2.2679999999999927,4.095201920245716,0.0,212.7445478439331,977
6,2025-01-18 12:15:00 to 2025-02-01 12:15:00,2025-02-02 12:15:00 to 2025-02-04 12:15:00,265,0.078,1,-21.227446672314436,31.404973123363188,0.0,214.54826998710632,979
7,2025-01-21 12:15:00 to 2025-02-04 12:15:00,2025-02-05 12:15:00 to 2025-02-07 12:15:00,25,0.08,0,0.0,0.0,0.0,211.449814081192,980
8,2025-01-24 12:15:00 to 2025-02-07 12:15:00,2025-02-08 12:15:00 to 2025-02-10 12:15:00,25,0.08,0,0.0,0.0,0.0,212.9745590686798,981
9,2025-01-27 12:15:00 to 2025-02-10 12:15:00,2025-02-11 12:15:00 to 2025-02-13 12:15:00,25,0.08,0,0.0,0.0,0.0,206.7293057441711,983
10,2025-01-30 12:15:00 to 2025-02-13 12:15:00,2025-02-14 12:15:00 to 2025-02-16 12:15:00,250,0.06,1,0.4110701694853741,3.0443225190723933,0.0,210.84302711486816,985
11,2025-02-02 12:15:00 to 2025-02-16 12:15:00,2025-02-17 12:15:00 to 2025-02-19 12:15:00,100,0.036,2,-3.5903722938642204,10.55638979196582,50.0,212.1800661087036,986
12,2025-02-05 12:15:00 to 2025-02-19 12:15:00,2025-02-20 12:15:00 to 2025-02-22 12:15:00,150,0.078,0,0.0,0.0,0.0,208.63945722579956,987
13,2025-02-08 12:15:00 to 2025-02-22 12:15:00,2025-02-23 12:15:00 to 2025-02-25 12:15:00,55,0.044,2,-5.789890903653759,13.307288002826091,0.0,201.98043704032895,989
14,2025-02-11 12:15:00 to 2025-02-25 12:15:00,2025-02-26 12:15:00 to 2025-02-28 12:15:00,15,0.03,2,3.5619640114711366,1.9841098439789155,100.0,203.60186505317688,991
15,2025-02-14 12:15:00 to 2025-02-28 12:15:00,2025-03-01 12:15:00 to 2025-03-03 12:15:00,15,0.028,4,2.506944100971232,1.6738313445422308,100.0,201.252140045166,992
16,2025-02-17 12:15:00 to 2025-03-03 12:15:00,2025-03-04 12:15:00 to 2025-03-06 12:15:00,15,0.032,1,0.2004984227129352,0.9170536277602516,100.0,200.15081882476807,993
17,2025-02-20 12:15:00 to 2025-03-06 12:15:00,2025-03-07 12:15:00 to 2025-03-09 12:15:00,10,0.026,0,0.0,0.0,0.0,200.66298294067383,995
