Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-10-02 12:30:00 to 2024-10-16 12:30:00,2024-10-17 12:30:00 to 2024-10-19 12:30:00,145,0.03,2,4.636944314038519,3.740214975270792,50.0,207.26558995246887,925
2,2024-10-05 12:30:00 to 2024-10-19 12:30:00,2024-10-20 12:30:00 to 2024-10-22 12:30:00,140,0.044,1,-1.5269700199239378,4.800838997633992,0.0,208.9715859889984,926
3,2024-10-08 12:30:00 to 2024-10-22 12:30:00,2024-10-23 12:30:00 to 2024-10-25 12:30:00,250,0.022,3,17.660682625104382,3.334804515034989,66.66666666666666,205.6983742713928,927
4,2024-10-11 12:30:00 to 2024-10-25 12:30:00,2024-10-26 12:30:00 to 2024-10-28 12:30:00,205,0.04,2,0.1474053787918092,6.273616188279987,50.0,207.9592592716217,929
5,2024-10-14 12:30:00 to 2024-10-28 12:30:00,2024-10-29 12:30:00 to 2024-10-31 12:30:00,205,0.026,1,-2.372787237059638,4.043610927368028,0.0,203.54878115653992,931
6,2024-10-17 12:30:00 to 2024-10-31 12:30:00,2024-11-01 12:30:00 to 2024-11-03 12:30:00,210,0.058,1,-4.178231474110289,5.553288253582136,0.0,207.6953408718109,932
7,2024-10-20 12:30:00 to 2024-11-03 12:30:00,2024-11-04 12:30:00 to 2024-11-06 12:30:00,175,0.05,1,2.5967408383865043,0.5246056677147617,100.0,209.30718994140625,933
8,2024-10-23 12:30:00 to 2024-11-06 12:30:00,2024-11-07 12:30:00 to 2024-11-09 12:30:00,135,0.05,1,2.0646258148631023,0.5037647259204476,100.0,205.48152589797976,935
9,2024-10-26 12:30:00 to 2024-11-09 12:30:00,2024-11-10 12:30:00 to 2024-11-12 12:30:00,75,0.022,4,-1.262396961437498,6.123975022090323,75.0,203.5228900909424,937
10,2024-10-29 12:30:00 to 2024-11-12 12:30:00,2024-11-13 12:30:00 to 2024-11-15 12:30:00,60,0.03,4,4.50966683696397,3.0267605996301774,100.0,202.9615969657898,938
11,2024-11-01 12:30:00 to 2024-11-15 12:30:00,2024-11-16 12:30:00 to 2024-11-18 12:30:00,60,0.03,2,2.9672593466525723,1.0763394063308962,100.0,203.0077760219574,939
12,2024-11-04 12:30:00 to 2024-11-18 12:30:00,2024-11-19 12:30:00 to 2024-11-21 12:30:00,35,0.02,5,4.056175370352303,1.4505403726251809,80.0,202.6324610710144,941
13,2024-11-07 12:30:00 to 2024-11-21 12:30:00,2024-11-22 12:30:00 to 2024-11-24 12:30:00,60,0.02,2,-2.210561701222796,2.6916696260205506,50.0,204.77241206169128,943
14,2024-11-10 12:30:00 to 2024-11-24 12:30:00,2024-11-25 12:30:00 to 2024-11-27 12:30:00,60,0.024,2,-0.3166676121292767,7.49643484607457,50.0,205.2501289844513,944
15,2024-11-13 12:30:00 to 2024-11-27 12:30:00,2024-11-28 12:30:00 to 2024-11-30 12:30:00,90,0.02,1,2.26933043836265,1.8475150466446195,100.0,201.81015396118164,945
16,2024-11-16 12:30:00 to 2024-11-30 12:30:00,2024-12-01 12:30:00 to 2024-12-03 12:30:00,50,0.022,3,4.658282493702755,2.401042933831289,100.0,200.55852007865903,947
17,2024-11-19 12:30:00 to 2024-12-03 12:30:00,2024-12-04 12:30:00 to 2024-12-06 12:30:00,50,0.022,5,8.431268226092088,0.724765272049222,100.0,203.8294253349304,949
18,2024-11-22 12:30:00 to 2024-12-06 12:30:00,2024-12-07 12:30:00 to 2024-12-09 12:30:00,55,0.022,2,-4.834005485542529,5.6445602515598905,50.0,200.6744351387024,950
19,2024-11-25 12:30:00 to 2024-12-09 12:30:00,2024-12-10 12:30:00 to 2024-12-12 12:30:00,55,0.022,2,3.7667191374521463,4.028412401047578,100.0,200.18179082870483,951
20,2024-11-28 12:30:00 to 2024-12-12 12:30:00,2024-12-13 12:30:00 to 2024-12-15 12:30:00,55,0.022,3,-2.146394107153883,7.210562127149728,33.33333333333333,201.0069591999054,953
21,2024-12-01 12:30:00 to 2024-12-15 12:30:00,2024-12-16 12:30:00 to 2024-12-18 12:30:00,10,0.02,3,2.768151248667473,1.2443968385540232,100.0,201.9030289649963,955
22,2024-12-04 12:30:00 to 2024-12-18 12:30:00,2024-12-19 12:30:00 to 2024-12-21 12:30:00,45,0.028,3,2.221363175200095,8.45305538598771,33.33333333333333,205.10556411743164,956
23,2024-12-07 12:30:00 to 2024-12-21 12:30:00,2024-12-22 12:30:00 to 2024-12-24 12:30:00,110,0.05,1,2.4290444964871134,0.3379596903568296,100.0,208.62539505958557,957
24,2024-12-10 12:30:00 to 2024-12-24 12:30:00,2024-12-25 12:30:00 to 2024-12-27 12:30:00,105,0.04,1,-0.1510271345361616,2.0154126307794065,0.0,209.338387966156,959
25,2024-12-13 12:30:00 to 2024-12-27 12:30:00,2024-12-28 12:30:00 to 2024-12-30 12:30:00,105,0.04,1,0.6177300167691464,1.413906353964444,100.0,208.20863318443295,961
26,2024-12-16 12:30:00 to 2024-12-30 12:30:00,2024-12-31 12:30:00 to 2025-01-02 12:30:00,60,0.03,2,1.495450319859592,1.0402681187319454,100.0,206.66646885871887,962
27,2024-12-19 12:30:00 to 2025-01-02 12:30:00,2025-01-03 12:30:00 to 2025-01-05 12:30:00,90,0.02,0,0.0,0.0,0.0,201.8299300670624,963
28,2024-12-22 12:30:00 to 2025-01-05 12:30:00,2025-01-06 12:30:00 to 2025-01-08 12:30:00,270,0.02,1,-9.731645785828642,11.2126942534971,0.0,198.10665798187256,965
29,2024-12-25 12:30:00 to 2025-01-08 12:30:00,2025-01-09 12:30:00 to 2025-01-11 12:30:00,20,0.02,3,2.5584121727623095,0.5623164413259699,100.0,197.89672303199768,967
30,2024-12-28 12:30:00 to 2025-01-11 12:30:00,2025-01-12 12:30:00 to 2025-01-14 12:30:00,20,0.02,1,-4.847456247441987,6.831690590632317,0.0,200.65710926055908,968
31,2024-12-31 12:30:00 to 2025-01-14 12:30:00,2025-01-15 12:30:00 to 2025-01-17 12:30:00,50,0.042,0,0.0,0.0,0.0,194.44490599632263,969
32,2025-01-03 12:30:00 to 2025-01-17 12:30:00,2025-01-18 12:30:00 to 2025-01-20 12:30:00,50,0.042,3,2.789163797308775,2.294400639115561,100.0,198.92978882789612,971
33,2025-01-06 12:30:00 to 2025-01-20 12:30:00,2025-01-21 12:30:00 to 2025-01-23 12:30:00,170,0.07,1,2.158615619176671,1.9246010824502195,100.0,205.7356119155884,973
34,2025-01-09 12:30:00 to 2025-01-23 12:30:00,2025-01-24 12:30:00 to 2025-01-26 12:30:00,170,0.046,0,0.0,0.0,0.0,199.9722371101379,974
35,2025-01-12 12:30:00 to 2025-01-26 12:30:00,2025-01-27 12:30:00 to 2025-01-29 12:30:00,90,0.034,2,-0.805579201491073,7.218095891028934,50.0,203.21502494812012,975
36,2025-01-15 12:30:00 to 2025-01-29 12:30:00,2025-01-30 12:30:00 to 2025-02-01 12:30:00,170,0.046,0,0.0,0.0,0.0,205.541738986969,977
37,2025-01-18 12:30:00 to 2025-02-01 12:30:00,2025-02-02 12:30:00 to 2025-02-04 12:30:00,95,0.056,1,-15.28959594455968,22.838022162844236,0.0,205.68995666503903,979
38,2025-01-21 12:30:00 to 2025-02-04 12:30:00,2025-02-05 12:30:00 to 2025-02-07 12:30:00,75,0.08,0,0.0,0.0,0.0,203.38464617729187,980
39,2025-01-24 12:30:00 to 2025-02-07 12:30:00,2025-02-08 12:30:00 to 2025-02-10 12:30:00,75,0.08,0,0.0,0.0,0.0,203.79025316238403,981
40,2025-01-27 12:30:00 to 2025-02-10 12:30:00,2025-02-11 12:30:00 to 2025-02-13 12:30:00,90,0.08,0,0.0,0.0,0.0,200.9995219707489,983
41,2025-01-30 12:30:00 to 2025-02-13 12:30:00,2025-02-14 12:30:00 to 2025-02-16 12:30:00,90,0.08,0,0.0,0.0,0.0,202.0002670288086,985
42,2025-02-02 12:30:00 to 2025-02-16 12:30:00,2025-02-17 12:30:00 to 2025-02-19 12:30:00,65,0.024,2,0.8344924484159492,3.792730381685135,50.0,198.4962010383606,986
43,2025-02-05 12:30:00 to 2025-02-19 12:30:00,2025-02-20 12:30:00 to 2025-02-22 12:30:00,130,0.02,1,0.998560349743384,0.5397639232085203,100.0,196.6316750049591,987
44,2025-02-08 12:30:00 to 2025-02-22 12:30:00,2025-02-23 12:30:00 to 2025-02-25 12:30:00,90,0.022,1,-14.114682209670464,17.243599594030368,0.0,194.37319087982175,989
45,2025-02-11 12:30:00 to 2025-02-25 12:30:00,2025-02-26 12:30:00 to 2025-02-28 12:30:00,140,0.076,0,0.0,0.0,0.0,196.53494024276733,991
46,2025-02-14 12:30:00 to 2025-02-28 12:30:00,2025-03-01 12:30:00 to 2025-03-03 12:30:00,280,0.036,0,0.0,0.0,0.0,198.8964729309082,992
47,2025-02-17 12:30:00 to 2025-03-03 12:30:00,2025-03-04 12:30:00 to 2025-03-06 12:30:00,285,0.072,1,3.699777444619013,7.077214426040754,100.0,198.60723114013672,993
48,2025-02-20 12:30:00 to 2025-03-06 12:30:00,2025-03-07 12:30:00 to 2025-03-09 12:30:00,300,0.08,0,0.0,0.0,0.0,204.03923106193545,995
