Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2019-11-27 07:45:00 to 2019-12-11 07:45:00,2019-12-12 07:45:00 to 2019-12-14 07:45:00,265,0.02,1,1.568008828188813,1.0488811410479726,100.0,197.6360981464386,39
2,2019-11-30 07:45:00 to 2019-12-14 07:45:00,2019-12-15 07:45:00 to 2019-12-17 07:45:00,280,0.022,1,-2.039007945946978,2.206896326244114,0.0,195.89377307891849,41
3,2019-12-03 07:45:00 to 2019-12-17 07:45:00,2019-12-18 07:45:00 to 2019-12-20 07:45:00,10,0.02,2,1.5256346123447837,0.1117964526220143,100.0,195.65021896362305,42
4,2019-12-06 07:45:00 to 2019-12-20 07:45:00,2019-12-21 07:45:00 to 2019-12-23 07:45:00,145,0.054,0,0.0,0.0,0.0,199.9340648651123,43
5,2019-12-09 07:45:00 to 2019-12-23 07:45:00,2019-12-24 07:45:00 to 2019-12-26 07:45:00,145,0.054,0,0.0,0.0,0.0,200.31603002548215,45
6,2019-12-12 07:45:00 to 2019-12-26 07:45:00,2019-12-27 07:45:00 to 2019-12-29 07:45:00,145,0.054,0,0.0,0.0,0.0,203.63841605186465,47
7,2019-12-15 07:45:00 to 2019-12-29 07:45:00,2019-12-30 07:45:00 to 2020-01-01 07:45:00,285,0.042,0,0.0,0.0,0.0,201.14615511894223,48
8,2019-12-18 07:45:00 to 2020-01-01 07:45:00,2020-01-02 07:45:00 to 2020-01-04 07:45:00,300,0.022,1,1.809867869752834,0.6209399825520745,100.0,197.45483493804932,49
9,2019-12-21 07:45:00 to 2020-01-04 07:45:00,2020-01-05 07:45:00 to 2020-01-07 07:45:00,300,0.022,0,0.0,0.0,0.0,197.0749750137329,51
10,2019-12-24 07:45:00 to 2020-01-07 07:45:00,2020-01-08 07:45:00 to 2020-01-10 07:45:00,100,0.02,1,0.4395622085408104,2.167555231847229,100.0,193.8792440891266,53
11,2019-12-27 07:45:00 to 2020-01-10 07:45:00,2020-01-11 07:45:00 to 2020-01-13 07:45:00,295,0.02,0,0.0,0.0,0.0,198.74054884910583,54
12,2019-12-30 07:45:00 to 2020-01-13 07:45:00,2020-01-14 07:45:00 to 2020-01-16 07:45:00,295,0.02,0,0.0,0.0,0.0,196.3317129611969,55
13,2020-01-02 07:45:00 to 2020-01-16 07:45:00,2020-01-17 07:45:00 to 2020-01-19 07:45:00,85,0.02,1,0.986818816169398,0.3061917267305867,100.0,194.7445912361145,57
14,2020-01-05 07:45:00 to 2020-01-19 07:45:00,2020-01-20 07:45:00 to 2020-01-22 07:45:00,70,0.02,1,1.1291561572700448,0.0374985589639716,100.0,199.58105278015137,59
15,2020-01-08 07:45:00 to 2020-01-22 07:45:00,2020-01-23 07:45:00 to 2020-01-25 07:45:00,60,0.02,3,2.403204345588747,1.5422579988308494,66.66666666666666,199.10370683670044,60
16,2020-01-11 07:45:00 to 2020-01-25 07:45:00,2020-01-26 07:45:00 to 2020-01-28 07:45:00,60,0.02,0,0.0,0.0,0.0,197.44048690795896,61
17,2020-01-14 07:45:00 to 2020-01-28 07:45:00,2020-01-29 07:45:00 to 2020-01-31 07:45:00,60,0.02,1,0.6917094972067025,0.4661483502107103,100.0,200.38956594467163,63
18,2020-01-17 07:45:00 to 2020-01-31 07:45:00,2020-02-01 07:45:00 to 2020-02-03 07:45:00,60,0.02,0,0.0,0.0,0.0,201.29872012138367,65
19,2020-01-20 07:45:00 to 2020-02-03 07:45:00,2020-02-04 07:45:00 to 2020-02-06 07:45:00,60,0.02,0,0.0,0.0,0.0,196.7894368171692,66
20,2020-01-23 07:45:00 to 2020-02-06 07:45:00,2020-02-07 07:45:00 to 2020-02-09 07:45:00,60,0.02,1,1.073981597657894,0.0978689653329608,100.0,195.90396094322205,67
21,2020-01-26 07:45:00 to 2020-02-09 07:45:00,2020-02-10 07:45:00 to 2020-02-12 07:45:00,120,0.02,1,0.4292415880041517,1.4415216145715912,100.0,196.77642703056335,69
22,2020-01-29 07:45:00 to 2020-02-12 07:45:00,2020-02-13 07:45:00 to 2020-02-15 07:45:00,60,0.022,1,1.9519170414017752,0.5742256960418832,100.0,197.38104820251465,71
23,2020-02-01 07:45:00 to 2020-02-15 07:45:00,2020-02-16 07:45:00 to 2020-02-18 07:45:00,25,0.02,2,2.061152304865227,2.641296998782968,100.0,197.1843898296356,72
24,2020-02-04 07:45:00 to 2020-02-18 07:45:00,2020-02-19 07:45:00 to 2020-02-21 07:45:00,85,0.024,1,-3.646001251898288,6.104360974745242,0.0,200.8583209514618,73
25,2020-02-07 07:45:00 to 2020-02-21 07:45:00,2020-02-22 07:45:00 to 2020-02-24 07:45:00,280,0.026,0,0.0,0.0,0.0,198.17803287506104,75
26,2020-02-10 07:45:00 to 2020-02-24 07:45:00,2020-02-25 07:45:00 to 2020-02-27 07:45:00,300,0.026,1,-10.746077143581095,16.57526321793532,0.0,207.2187671661377,77
27,2020-02-13 07:45:00 to 2020-02-27 07:45:00,2020-02-28 07:45:00 to 2020-03-01 07:45:00,60,0.038,0,0.0,0.0,0.0,204.42198777198792,78
28,2020-02-16 07:45:00 to 2020-03-01 07:45:00,2020-03-02 07:45:00 to 2020-03-04 07:45:00,35,0.02,1,0.7639718718809673,0.3224079235886969,100.0,204.37164306640625,79
29,2020-02-19 07:45:00 to 2020-03-04 07:45:00,2020-03-05 07:45:00 to 2020-03-07 07:45:00,60,0.028,0,0.0,0.0,0.0,205.2205889225006,81
30,2020-02-22 07:45:00 to 2020-03-07 07:45:00,2020-03-08 07:45:00 to 2020-03-10 07:45:00,60,0.028,2,-7.139924475655389,13.401042064253478,50.0,205.99426794052124,83
31,2020-02-25 07:45:00 to 2020-03-10 07:45:00,2020-03-11 07:45:00 to 2020-03-13 07:45:00,75,0.056,3,-15.005688011546992,42.848319984969635,66.66666666666666,207.7326898574829,84
32,2020-02-28 07:45:00 to 2020-03-13 07:45:00,2020-03-14 07:45:00 to 2020-03-16 07:45:00,10,0.08,0,0.0,0.0,0.0,206.12062907218933,85
33,2020-03-02 07:45:00 to 2020-03-16 07:45:00,2020-03-17 07:45:00 to 2020-03-19 07:45:00,10,0.036,0,0.0,0.0,0.0,208.88714480400083,87
34,2020-03-05 07:45:00 to 2020-03-19 07:45:00,2020-03-20 07:45:00 to 2020-03-22 07:45:00,10,0.036,1,2.855541725711628,4.0647769215643,100.0,213.04213190078735,89
35,2020-03-08 07:45:00 to 2020-03-22 07:45:00,2020-03-23 07:45:00 to 2020-03-25 07:45:00,10,0.036,0,0.0,0.0,0.0,216.70203304290771,90
36,2020-03-11 07:45:00 to 2020-03-25 07:45:00,2020-03-26 07:45:00 to 2020-03-28 07:45:00,170,0.04,1,-0.3914281060958455,1.629933721913551,0.0,214.8346302509308,91
37,2020-03-14 07:45:00 to 2020-03-28 07:45:00,2020-03-29 07:45:00 to 2020-03-31 07:45:00,205,0.038,0,0.0,0.0,0.0,211.235032081604,93
38,2020-03-17 07:45:00 to 2020-03-31 07:45:00,2020-04-01 07:45:00 to 2020-04-03 07:45:00,180,0.032,0,0.0,0.0,0.0,208.05722665786743,95
39,2020-03-20 07:45:00 to 2020-04-03 07:45:00,2020-04-04 07:45:00 to 2020-04-06 07:45:00,50,0.022,0,0.0,0.0,0.0,205.32232403755188,96
40,2020-03-23 07:45:00 to 2020-04-06 07:45:00,2020-04-07 07:45:00 to 2020-04-09 07:45:00,140,0.02,2,2.575743845354882,0.4004267215198387,100.0,201.45156383514404,97
41,2020-03-26 07:45:00 to 2020-04-09 07:45:00,2020-04-10 07:45:00 to 2020-04-12 07:45:00,140,0.02,2,-1.2332619005159358,6.440302483901669,50.0,203.0567376613617,99
42,2020-03-29 07:45:00 to 2020-04-12 07:45:00,2020-04-13 07:45:00 to 2020-04-15 07:45:00,140,0.02,1,2.689493154178799,2.4555404766420903,100.0,201.19917702674863,101
43,2020-04-01 07:45:00 to 2020-04-15 07:45:00,2020-04-16 07:45:00 to 2020-04-18 07:45:00,140,0.02,1,5.484346470031051,0.7124941441121908,100.0,201.5299780368805,102
44,2020-04-04 07:45:00 to 2020-04-18 07:45:00,2020-04-19 07:45:00 to 2020-04-21 07:45:00,120,0.026,2,0.8009068923670929,4.225003154811262,50.0,203.07714295387268,103
45,2020-04-07 07:45:00 to 2020-04-21 07:45:00,2020-04-22 07:45:00 to 2020-04-24 07:45:00,300,0.042,0,0.0,0.0,0.0,202.41415119171145,105
46,2020-04-10 07:45:00 to 2020-04-24 07:45:00,2020-04-25 07:45:00 to 2020-04-27 07:45:00,295,0.02,0,0.0,0.0,0.0,203.9752058982849,107
47,2020-04-13 07:45:00 to 2020-04-27 07:45:00,2020-04-28 07:45:00 to 2020-04-30 07:45:00,230,0.022,0,0.0,0.0,0.0,198.2279031276703,108
48,2020-04-16 07:45:00 to 2020-04-30 07:45:00,2020-05-01 07:45:00 to 2020-05-03 07:45:00,20,0.02,0,0.0,0.0,0.0,202.60679697990415,109
49,2020-04-19 07:45:00 to 2020-05-03 07:45:00,2020-05-04 07:45:00 to 2020-05-06 07:45:00,205,0.02,1,0.7391576362829437,4.310048677258364,100.0,201.4059808254242,111
50,2020-04-22 07:45:00 to 2020-05-06 07:45:00,2020-05-07 07:45:00 to 2020-05-09 07:45:00,165,0.032,0,0.0,0.0,0.0,200.91712188720703,113
51,2020-04-25 07:45:00 to 2020-05-09 07:45:00,2020-05-10 07:45:00 to 2020-05-12 07:45:00,165,0.032,2,3.0085090828798275,5.514951694702716,100.0,204.02388215065,114
52,2020-04-28 07:45:00 to 2020-05-12 07:45:00,2020-05-13 07:45:00 to 2020-05-15 07:45:00,180,0.02,0,0.0,0.0,0.0,205.1875603199005,115
53,2020-05-01 07:45:00 to 2020-05-15 07:45:00,2020-05-16 07:45:00 to 2020-05-18 07:45:00,45,0.02,0,0.0,0.0,0.0,207.3420767784119,117
54,2020-05-04 07:45:00 to 2020-05-18 07:45:00,2020-05-19 07:45:00 to 2020-05-21 07:45:00,45,0.02,0,0.0,0.0,0.0,204.78798913955688,119
55,2020-05-07 07:45:00 to 2020-05-21 07:45:00,2020-05-22 07:45:00 to 2020-05-24 07:45:00,45,0.02,0,0.0,0.0,0.0,209.39638018608093,120
56,2020-05-10 07:45:00 to 2020-05-24 07:45:00,2020-05-25 07:45:00 to 2020-05-27 07:45:00,35,0.02,0,0.0,0.0,0.0,202.63261914253235,121
