Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-02-12 08:00:00 to 2020-02-26 08:00:00,2020-02-27 08:00:00 to 2020-02-29 08:00:00,35,0.02,3,4.828789971300048,2.72827228915663,100.0,215.29047322273257,77
2,2020-02-15 08:00:00 to 2020-02-29 08:00:00,2020-03-01 08:00:00 to 2020-03-03 08:00:00,45,0.034,1,0.7660539759036328,0.6679191499334053,100.0,211.21862196922305,79
3,2020-02-18 08:00:00 to 2020-03-03 08:00:00,2020-03-04 08:00:00 to 2020-03-06 08:00:00,45,0.036,0,0.0,0.0,0.0,209.50160884857175,81
4,2020-02-21 08:00:00 to 2020-03-06 08:00:00,2020-03-07 08:00:00 to 2020-03-09 08:00:00,35,0.024,3,-5.156299188948597,12.403436168722813,66.66666666666666,210.792475938797,82
5,2020-02-24 08:00:00 to 2020-03-09 08:00:00,2020-03-10 08:00:00 to 2020-03-12 08:00:00,40,0.04,2,-0.3684640575095181,3.439554426947647,50.0,208.67458987236023,83
6,2020-02-27 08:00:00 to 2020-03-12 08:00:00,2020-03-13 08:00:00 to 2020-03-15 08:00:00,10,0.08,2,22.91947205240649,5.099413680781763,100.0,204.3426971435547,85
7,2020-03-01 08:00:00 to 2020-03-15 08:00:00,2020-03-16 08:00:00 to 2020-03-18 08:00:00,10,0.08,0,0.0,0.0,0.0,208.7445607185364,87
8,2020-03-04 08:00:00 to 2020-03-18 08:00:00,2020-03-19 08:00:00 to 2020-03-21 08:00:00,10,0.08,0,0.0,0.0,0.0,216.94329500198364,88
9,2020-03-07 08:00:00 to 2020-03-21 08:00:00,2020-03-22 08:00:00 to 2020-03-24 08:00:00,20,0.08,0,0.0,0.0,0.0,218.00523614883423,89
10,2020-03-10 08:00:00 to 2020-03-24 08:00:00,2020-03-25 08:00:00 to 2020-03-27 08:00:00,265,0.066,0,0.0,0.0,0.0,219.1395938396454,91
11,2020-03-13 08:00:00 to 2020-03-27 08:00:00,2020-03-28 08:00:00 to 2020-03-30 08:00:00,300,0.028,2,7.685070000876312,3.11873309203863,100.0,218.20815896987915,93
12,2020-03-16 08:00:00 to 2020-03-30 08:00:00,2020-03-31 08:00:00 to 2020-04-02 08:00:00,295,0.03,0,0.0,0.0,0.0,215.06540489196777,94
13,2020-03-19 08:00:00 to 2020-04-02 08:00:00,2020-04-03 08:00:00 to 2020-04-05 08:00:00,145,0.038,0,0.0,0.0,0.0,213.60050511360168,95
14,2020-03-22 08:00:00 to 2020-04-05 08:00:00,2020-04-06 08:00:00 to 2020-04-08 08:00:00,90,0.02,1,1.7654972273567544,0.9055939029344446,100.0,205.75284790992737,97
15,2020-03-25 08:00:00 to 2020-04-08 08:00:00,2020-04-09 08:00:00 to 2020-04-11 08:00:00,90,0.02,1,-2.191767852062585,6.416990357468405,0.0,207.3681080341339,99
16,2020-03-28 08:00:00 to 2020-04-11 08:00:00,2020-04-12 08:00:00 to 2020-04-14 08:00:00,150,0.022,1,0.911314613911927,1.5653479450352417,100.0,204.11850881576535,100
17,2020-03-31 08:00:00 to 2020-04-14 08:00:00,2020-04-15 08:00:00 to 2020-04-17 08:00:00,120,0.02,1,-0.6197754529372469,6.713055556570699,0.0,206.1548118591309,101
18,2020-04-03 08:00:00 to 2020-04-17 08:00:00,2020-04-18 08:00:00 to 2020-04-20 08:00:00,185,0.042,0,0.0,0.0,0.0,206.3081398010254,103
19,2020-04-06 08:00:00 to 2020-04-20 08:00:00,2020-04-21 08:00:00 to 2020-04-23 08:00:00,185,0.042,0,0.0,0.0,0.0,208.72892785072327,105
20,2020-04-09 08:00:00 to 2020-04-23 08:00:00,2020-04-24 08:00:00 to 2020-04-26 08:00:00,125,0.034,0,0.0,0.0,0.0,210.07064294815063,106
21,2020-04-12 08:00:00 to 2020-04-26 08:00:00,2020-04-27 08:00:00 to 2020-04-29 08:00:00,225,0.042,0,0.0,0.0,0.0,210.9506158828735,107
22,2020-04-15 08:00:00 to 2020-04-29 08:00:00,2020-04-30 08:00:00 to 2020-05-02 08:00:00,240,0.022,2,2.797267921530765,0.8180726705542519,100.0,205.31530284881592,109
23,2020-04-18 08:00:00 to 2020-05-02 08:00:00,2020-05-03 08:00:00 to 2020-05-05 08:00:00,185,0.022,1,3.112304505242282,3.594229359152871,100.0,205.32452917099,111
24,2020-04-21 08:00:00 to 2020-05-05 08:00:00,2020-05-06 08:00:00 to 2020-05-08 08:00:00,185,0.022,2,2.7447655840218976,0.9643099059214364,100.0,205.77751326560977,112
25,2020-04-24 08:00:00 to 2020-05-08 08:00:00,2020-05-09 08:00:00 to 2020-05-11 08:00:00,190,0.02,1,-7.522151843125903,11.606032358894954,0.0,206.78987073898315,113
26,2020-04-27 08:00:00 to 2020-05-11 08:00:00,2020-05-12 08:00:00 to 2020-05-14 08:00:00,155,0.038,0,0.0,0.0,0.0,209.76333689689636,115
27,2020-04-30 08:00:00 to 2020-05-14 08:00:00,2020-05-15 08:00:00 to 2020-05-17 08:00:00,30,0.02,1,0.3015697848924537,0.8323166656080534,100.0,208.2143440246582,117
28,2020-05-03 08:00:00 to 2020-05-17 08:00:00,2020-05-18 08:00:00 to 2020-05-20 08:00:00,30,0.02,0,0.0,0.0,0.0,210.07594799995425,118
29,2020-05-06 08:00:00 to 2020-05-20 08:00:00,2020-05-21 08:00:00 to 2020-05-23 08:00:00,30,0.022,1,-0.0105019079048906,2.9774592171029197,0.0,209.42603707313535,119
30,2020-05-09 08:00:00 to 2020-05-23 08:00:00,2020-05-24 08:00:00 to 2020-05-26 08:00:00,130,0.042,0,0.0,0.0,0.0,208.88835310935977,121
31,2020-05-12 08:00:00 to 2020-05-26 08:00:00,2020-05-27 08:00:00 to 2020-05-29 08:00:00,285,0.02,0,0.0,0.0,0.0,205.92259573936465,123
32,2020-05-15 08:00:00 to 2020-05-29 08:00:00,2020-05-30 08:00:00 to 2020-06-01 08:00:00,300,0.042,0,0.0,0.0,0.0,202.94703102111816,124
33,2020-05-18 08:00:00 to 2020-06-01 08:00:00,2020-06-02 08:00:00 to 2020-06-04 08:00:00,210,0.022,1,2.125540503432494,0.3243672839949838,100.0,207.69827222824097,125
34,2020-05-21 08:00:00 to 2020-06-04 08:00:00,2020-06-05 08:00:00 to 2020-06-07 08:00:00,80,0.026,1,1.294431416732241,2.1277349046440857,100.0,205.34663081169128,127
35,2020-05-24 08:00:00 to 2020-06-07 08:00:00,2020-06-08 08:00:00 to 2020-06-10 08:00:00,95,0.024,0,0.0,0.0,0.0,201.7601239681244,129
36,2020-05-27 08:00:00 to 2020-06-10 08:00:00,2020-06-11 08:00:00 to 2020-06-13 08:00:00,125,0.02,1,-4.543858462784228,8.042028225763422,0.0,205.52210593223572,130
37,2020-05-30 08:00:00 to 2020-06-13 08:00:00,2020-06-14 08:00:00 to 2020-06-16 08:00:00,45,0.03,1,1.029772004522674,1.6229286805294614,100.0,207.1021909713745,131
38,2020-06-02 08:00:00 to 2020-06-16 08:00:00,2020-06-17 08:00:00 to 2020-06-19 08:00:00,240,0.042,0,0.0,0.0,0.0,207.41074681282043,133
39,2020-06-05 08:00:00 to 2020-06-19 08:00:00,2020-06-20 08:00:00 to 2020-06-22 08:00:00,215,0.042,0,0.0,0.0,0.0,208.72575998306272,135
40,2020-06-08 08:00:00 to 2020-06-22 08:00:00,2020-06-23 08:00:00 to 2020-06-25 08:00:00,230,0.058,1,1.3192386792452817,0.3364693743285421,0.0,208.1699779033661,136
41,2020-06-11 08:00:00 to 2020-06-25 08:00:00,2020-06-26 08:00:00 to 2020-06-28 08:00:00,215,0.034,2,1.0301381303049677,2.3859872615622657,50.0,205.9828760623932,137
42,2020-06-14 08:00:00 to 2020-06-28 08:00:00,2020-06-29 08:00:00 to 2020-07-01 08:00:00,90,0.024,0,0.0,0.0,0.0,207.17573499679563,139
43,2020-06-17 08:00:00 to 2020-07-01 08:00:00,2020-07-02 08:00:00 to 2020-07-04 08:00:00,190,0.032,0,0.0,0.0,0.0,204.75878405570984,141
44,2020-06-20 08:00:00 to 2020-07-04 08:00:00,2020-07-05 08:00:00 to 2020-07-07 08:00:00,195,0.034,0,0.0,0.0,0.0,207.0626809597015,142
45,2020-06-23 08:00:00 to 2020-07-07 08:00:00,2020-07-08 08:00:00 to 2020-07-10 08:00:00,130,0.024,1,-0.5185015523971197,2.328199945930764,0.0,206.16805481910703,143
46,2020-06-26 08:00:00 to 2020-07-10 08:00:00,2020-07-11 08:00:00 to 2020-07-13 08:00:00,145,0.022,0,0.0,0.0,0.0,202.24204802513125,145
