Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-04-17 14:00:00 to 2024-05-01 14:00:00,2024-05-02 14:00:00 to 2024-05-04 14:00:00,65,0.054,0,0.0,0.0,0.0,209.869117975235,841
2,2024-04-20 14:00:00 to 2024-05-04 14:00:00,2024-05-05 14:00:00 to 2024-05-07 14:00:00,140,0.074,0,0.0,0.0,0.0,209.87904405593872,842
3,2024-04-23 14:00:00 to 2024-05-07 14:00:00,2024-05-08 14:00:00 to 2024-05-10 14:00:00,165,0.046,1,-0.2663451093210642,1.9931700248158064,0.0,206.01894974708557,843
4,2024-04-26 14:00:00 to 2024-05-10 14:00:00,2024-05-11 14:00:00 to 2024-05-13 14:00:00,140,0.064,0,0.0,0.0,0.0,197.77990913391113,845
5,2024-04-29 14:00:00 to 2024-05-13 14:00:00,2024-05-14 14:00:00 to 2024-05-16 14:00:00,165,0.028,1,-7.548659390998873,13.749704456554364,0.0,200.54991388320923,847
6,2024-05-02 14:00:00 to 2024-05-16 14:00:00,2024-05-17 14:00:00 to 2024-05-19 14:00:00,50,0.034,1,0.5269434152670692,0.0483772033413394,0.0,204.2076580524445,848
7,2024-05-05 14:00:00 to 2024-05-19 14:00:00,2024-05-20 14:00:00 to 2024-05-22 14:00:00,50,0.034,1,-1.0269592681105495,2.919522511071193,0.0,201.46970105171204,849
8,2024-05-08 14:00:00 to 2024-05-22 14:00:00,2024-05-23 14:00:00 to 2024-05-25 14:00:00,50,0.034,1,2.060074800486946,0.794009396642855,100.0,200.0784831047058,851
9,2024-05-11 14:00:00 to 2024-05-25 14:00:00,2024-05-26 14:00:00 to 2024-05-28 14:00:00,255,0.02,1,5.677756477534858,1.2781744484900446,100.0,201.12226819992063,853
10,2024-05-14 14:00:00 to 2024-05-28 14:00:00,2024-05-29 14:00:00 to 2024-05-31 14:00:00,255,0.02,2,1.8435179483202593,6.858431405545079,100.0,202.44323897361755,854
11,2024-05-17 14:00:00 to 2024-05-31 14:00:00,2024-06-01 14:00:00 to 2024-06-03 14:00:00,255,0.02,1,0.6251790697674369,0.6530800715150554,0.0,203.5804753303528,855
12,2024-05-20 14:00:00 to 2024-06-03 14:00:00,2024-06-04 14:00:00 to 2024-06-06 14:00:00,205,0.02,1,-0.9590093014141348,5.361714400692536,0.0,202.33929872512817,857
13,2024-05-23 14:00:00 to 2024-06-06 14:00:00,2024-06-07 14:00:00 to 2024-06-09 14:00:00,30,0.022,3,1.239042140563943,6.719538171930561,100.0,201.19524717330933,859
14,2024-05-26 14:00:00 to 2024-06-09 14:00:00,2024-06-10 14:00:00 to 2024-06-12 14:00:00,30,0.022,4,0.2708711019327529,4.974997369224217,75.0,201.00496006011963,860
15,2024-05-29 14:00:00 to 2024-06-12 14:00:00,2024-06-13 14:00:00 to 2024-06-15 14:00:00,30,0.024,3,4.299852045684874,2.0177293239141227,100.0,200.2334451675415,861
16,2024-06-01 14:00:00 to 2024-06-15 14:00:00,2024-06-16 14:00:00 to 2024-06-18 14:00:00,60,0.028,1,-21.1429802559148,22.825991885474465,0.0,205.5862772464752,863
17,2024-06-04 14:00:00 to 2024-06-18 14:00:00,2024-06-19 14:00:00 to 2024-06-21 14:00:00,30,0.042,0,0.0,0.0,0.0,203.50450086593628,865
