Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-07-31 07:00:00 to 2020-08-14 07:00:00,2020-08-15 07:00:00 to 2020-08-17 07:00:00,20,0.02,4,1.5810743613314846,3.350215007176407,75.0,214.00408911705017,163
2,2020-08-03 07:00:00 to 2020-08-17 07:00:00,2020-08-18 07:00:00 to 2020-08-20 07:00:00,20,0.02,6,5.028987242977764,6.670676109433659,66.66666666666666,213.80381608009336,164
3,2020-08-06 07:00:00 to 2020-08-20 07:00:00,2020-08-21 07:00:00 to 2020-08-23 07:00:00,15,0.02,7,2.2738720644438946,8.05372010412326,85.71428571428571,219.42937111854553,165
4,2020-08-09 07:00:00 to 2020-08-23 07:00:00,2020-08-24 07:00:00 to 2020-08-26 07:00:00,20,0.02,2,-6.120831013808165,10.439669696359614,50.0,221.32918190956116,167
5,2020-08-12 07:00:00 to 2020-08-26 07:00:00,2020-08-27 07:00:00 to 2020-08-29 07:00:00,90,0.058,1,2.0559806692287568,3.1705300805379695,100.0,217.9788839817047,169
6,2020-08-15 07:00:00 to 2020-08-29 07:00:00,2020-08-30 07:00:00 to 2020-09-01 07:00:00,285,0.06,0,0.0,0.0,0.0,217.01867985725403,170
7,2020-08-18 07:00:00 to 2020-09-01 07:00:00,2020-09-02 07:00:00 to 2020-09-04 07:00:00,280,0.062,1,-26.149294498974538,27.83629499618961,0.0,214.3935670852661,171
8,2020-08-21 07:00:00 to 2020-09-04 07:00:00,2020-09-05 07:00:00 to 2020-09-07 07:00:00,10,0.032,3,-11.119293113461827,19.01524237163737,33.33333333333333,210.5448751449585,173
9,2020-08-24 07:00:00 to 2020-09-07 07:00:00,2020-09-08 07:00:00 to 2020-09-10 07:00:00,25,0.074,0,0.0,0.0,0.0,214.9065899848938,175
10,2020-08-27 07:00:00 to 2020-09-10 07:00:00,2020-09-11 07:00:00 to 2020-09-13 07:00:00,10,0.028,1,0.5481890502390343,0.1189323391206939,100.0,218.33948421478271,176
11,2020-08-30 07:00:00 to 2020-09-13 07:00:00,2020-09-14 07:00:00 to 2020-09-16 07:00:00,10,0.028,2,0.4166439386026832,2.124061798347092,50.0,215.88236212730408,177
12,2020-09-02 07:00:00 to 2020-09-16 07:00:00,2020-09-17 07:00:00 to 2020-09-19 07:00:00,180,0.038,1,-6.352701105585856,8.26047281693117,0.0,222.24971508979797,179
13,2020-09-05 07:00:00 to 2020-09-19 07:00:00,2020-09-20 07:00:00 to 2020-09-22 07:00:00,85,0.054,1,-2.51794626696892,8.19366876189934,0.0,217.49931073188785,181
14,2020-09-08 07:00:00 to 2020-09-22 07:00:00,2020-09-23 07:00:00 to 2020-09-25 07:00:00,170,0.074,1,2.444542904682676,2.455138289697134,100.0,212.28265690803528,182
15,2020-09-11 07:00:00 to 2020-09-25 07:00:00,2020-09-26 07:00:00 to 2020-09-28 07:00:00,170,0.074,0,0.0,0.0,0.0,216.0639307498932,183
16,2020-09-14 07:00:00 to 2020-09-28 07:00:00,2020-09-29 07:00:00 to 2020-10-01 07:00:00,170,0.06,1,3.2399299209893617,0.4053532267516092,100.0,218.05529618263245,185
17,2020-09-17 07:00:00 to 2020-10-01 07:00:00,2020-10-02 07:00:00 to 2020-10-04 07:00:00,80,0.022,3,-0.5100690292135368,6.904314706747727,66.66666666666666,216.70644688606265,187
