Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-10-19 07:00:00 to 2020-11-02 07:00:00,2020-11-03 07:00:00 to 2020-11-05 07:00:00,140,0.052,2,3.4912782205432995,5.770550937204516,100.0,221.135724067688,203
2,2020-10-22 07:00:00 to 2020-11-05 07:00:00,2020-11-06 07:00:00 to 2020-11-08 07:00:00,135,0.072,1,-0.1751350973849548,2.894591177555802,0.0,225.5725131034851,204
3,2020-10-25 07:00:00 to 2020-11-08 07:00:00,2020-11-09 07:00:00 to 2020-11-11 07:00:00,130,0.056,0,0.0,0.0,0.0,225.06951308250427,205
4,2020-10-28 07:00:00 to 2020-11-11 07:00:00,2020-11-12 07:00:00 to 2020-11-14 07:00:00,225,0.02,2,3.9471156660339695,5.635843553841169,50.0,219.86217617988584,207
5,2020-10-31 07:00:00 to 2020-11-14 07:00:00,2020-11-15 07:00:00 to 2020-11-17 07:00:00,115,0.02,2,1.7232631143587969,6.558639075832986,50.0,221.44485306739807,209
6,2020-11-03 07:00:00 to 2020-11-17 07:00:00,2020-11-18 07:00:00 to 2020-11-20 07:00:00,115,0.02,3,7.439929487245537,2.7330971043156578,100.0,216.94754314422607,210
7,2020-11-06 07:00:00 to 2020-11-20 07:00:00,2020-11-21 07:00:00 to 2020-11-23 07:00:00,20,0.02,5,2.285318993473702,5.189034073921008,80.0,221.34285593032837,211
8,2020-11-09 07:00:00 to 2020-11-23 07:00:00,2020-11-24 07:00:00 to 2020-11-26 07:00:00,225,0.034,2,-11.594714429218604,21.39053081075584,50.0,220.0581078529358,213
9,2020-11-12 07:00:00 to 2020-11-26 07:00:00,2020-11-27 07:00:00 to 2020-11-29 07:00:00,15,0.034,4,4.402037400402205,1.3096363043857164,100.0,220.51541900634768,215
10,2020-11-15 07:00:00 to 2020-11-29 07:00:00,2020-11-30 07:00:00 to 2020-12-02 07:00:00,15,0.02,3,3.367402102440483,4.543573711576394,100.0,221.75732016563416,216
11,2020-11-18 07:00:00 to 2020-12-02 07:00:00,2020-12-03 07:00:00 to 2020-12-05 07:00:00,10,0.02,2,1.214933475160651,2.9106777035034574,50.0,226.52232313156128,217
12,2020-11-21 07:00:00 to 2020-12-05 07:00:00,2020-12-06 07:00:00 to 2020-12-08 07:00:00,10,0.026,1,0.7994652140077779,0.0274448996619743,100.0,227.26623368263245,219
13,2020-11-24 07:00:00 to 2020-12-08 07:00:00,2020-12-09 07:00:00 to 2020-12-11 07:00:00,195,0.02,3,10.509369964254835,4.817722134763166,66.66666666666666,223.41722917556763,221
14,2020-11-27 07:00:00 to 2020-12-11 07:00:00,2020-12-12 07:00:00 to 2020-12-14 07:00:00,35,0.032,1,0.4081719529866313,0.9464657714128074,100.0,217.26962089538577,222
15,2020-11-30 07:00:00 to 2020-12-14 07:00:00,2020-12-15 07:00:00 to 2020-12-17 07:00:00,290,0.052,0,0.0,0.0,0.0,216.22524094581604,223
16,2020-12-03 07:00:00 to 2020-12-17 07:00:00,2020-12-18 07:00:00 to 2020-12-20 07:00:00,180,0.06,0,0.0,0.0,0.0,214.17394304275513,225
17,2020-12-06 07:00:00 to 2020-12-20 07:00:00,2020-12-21 07:00:00 to 2020-12-23 07:00:00,255,0.05,2,-1.2027395009883184,9.520288381503024,50.0,214.76678085327148,227
18,2020-12-09 07:00:00 to 2020-12-23 07:00:00,2020-12-24 07:00:00 to 2020-12-26 07:00:00,70,0.046,2,-0.4137902197014773,2.1714504184674435,50.0,213.37775897979736,228
19,2020-12-12 07:00:00 to 2020-12-26 07:00:00,2020-12-27 07:00:00 to 2020-12-29 07:00:00,65,0.046,1,2.993293988000478,0.5273675266018425,100.0,211.18933510780337,229
20,2020-12-15 07:00:00 to 2020-12-29 07:00:00,2020-12-30 07:00:00 to 2021-01-01 07:00:00,45,0.02,2,4.965472274871099,2.582070244456776,100.0,219.18357825279236,231
21,2020-12-18 07:00:00 to 2021-01-01 07:00:00,2021-01-02 07:00:00 to 2021-01-04 07:00:00,70,0.042,2,6.257034830943285,0.60762760093495,100.0,217.2731971740723,233
22,2020-12-21 07:00:00 to 2021-01-04 07:00:00,2021-01-05 07:00:00 to 2021-01-07 07:00:00,60,0.02,3,6.720294262351199,7.375521020678324,100.0,215.83168268203735,234
23,2020-12-24 07:00:00 to 2021-01-07 07:00:00,2021-01-08 07:00:00 to 2021-01-10 07:00:00,55,0.02,4,11.383090611660537,11.05625654057696,100.0,216.7187602519989,235
24,2020-12-27 07:00:00 to 2021-01-10 07:00:00,2021-01-11 07:00:00 to 2021-01-13 07:00:00,50,0.02,6,3.369323119320215,18.18826273000357,66.66666666666666,222.08492302894592,237
25,2020-12-30 07:00:00 to 2021-01-13 07:00:00,2021-01-14 07:00:00 to 2021-01-16 07:00:00,50,0.05,2,4.321941763014365,1.9583449330136593,100.0,234.35219812393188,239
26,2021-01-02 07:00:00 to 2021-01-16 07:00:00,2021-01-17 07:00:00 to 2021-01-19 07:00:00,50,0.052,2,6.058696771683226,1.547083344655693,100.0,241.3549988269806,240
27,2021-01-05 07:00:00 to 2021-01-19 07:00:00,2021-01-20 07:00:00 to 2021-01-22 07:00:00,55,0.058,3,11.740887129723596,5.53988492677273,100.0,241.7751622200012,241
