Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-12-18 10:00:00 to 2024-01-01 10:00:00,2024-01-02 10:00:00 to 2024-01-04 10:00:00,35,0.022,2,-11.807510219840715,15.56242436313882,0.0,217.08562588691711,780
2,2023-12-21 10:00:00 to 2024-01-04 10:00:00,2024-01-05 10:00:00 to 2024-01-07 10:00:00,30,0.042,3,2.163203560790553,1.1270334863041591,100.0,217.19411182403564,781
3,2023-12-24 10:00:00 to 2024-01-07 10:00:00,2024-01-08 10:00:00 to 2024-01-10 10:00:00,30,0.042,1,2.0605836481999904,3.390448290215446,100.0,215.3490390777588,783
4,2023-12-27 10:00:00 to 2024-01-10 10:00:00,2024-01-11 10:00:00 to 2024-01-13 10:00:00,155,0.052,0,0.0,0.0,0.0,214.65700101852417,785
5,2023-12-30 10:00:00 to 2024-01-13 10:00:00,2024-01-14 10:00:00 to 2024-01-16 10:00:00,155,0.046,0,0.0,0.0,0.0,213.88905596733093,786
6,2024-01-02 10:00:00 to 2024-01-16 10:00:00,2024-01-17 10:00:00 to 2024-01-19 10:00:00,155,0.046,1,-9.440308866318048,13.020640324898636,0.0,214.96483612060547,787
7,2024-01-05 10:00:00 to 2024-01-19 10:00:00,2024-01-20 10:00:00 to 2024-01-22 10:00:00,35,0.03,1,0.856174080798919,0.2175674128908698,100.0,210.35618996620175,789
8,2024-01-08 10:00:00 to 2024-01-22 10:00:00,2024-01-23 10:00:00 to 2024-01-25 10:00:00,20,0.02,3,-3.460499348930298,8.398665770909282,66.66666666666666,210.79517197608948,791
9,2024-01-11 10:00:00 to 2024-01-25 10:00:00,2024-01-26 10:00:00 to 2024-01-28 10:00:00,20,0.02,1,0.6357673606217578,0.902795067245861,100.0,209.54142594337463,792
10,2024-01-14 10:00:00 to 2024-01-28 10:00:00,2024-01-29 10:00:00 to 2024-01-31 10:00:00,40,0.03,0,0.0,0.0,0.0,209.86777997016907,793
