Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-11-18 07:00:00 to 2020-12-02 07:00:00,2020-12-03 07:00:00 to 2020-12-05 07:00:00,45,0.02,4,-1.971620402403041,8.512268543174478,75.0,217.91507005691528,217
2,2020-11-21 07:00:00 to 2020-12-05 07:00:00,2020-12-06 07:00:00 to 2020-12-08 07:00:00,115,0.02,0,0.0,0.0,0.0,211.13237404823303,219
3,2020-11-24 07:00:00 to 2020-12-08 07:00:00,2020-12-09 07:00:00 to 2020-12-11 07:00:00,295,0.048,1,-9.651917800339124,10.833057464022708,0.0,207.49537110328671,221
4,2020-11-27 07:00:00 to 2020-12-11 07:00:00,2020-12-12 07:00:00 to 2020-12-14 07:00:00,30,0.02,3,-2.9935411791613658,3.9125326366090727,33.33333333333333,205.466805934906,222
5,2020-11-30 07:00:00 to 2020-12-14 07:00:00,2020-12-15 07:00:00 to 2020-12-17 07:00:00,20,0.034,1,0.7664834661260648,1.1844420220030991,100.0,204.26360177993777,223
6,2020-12-03 07:00:00 to 2020-12-17 07:00:00,2020-12-18 07:00:00 to 2020-12-20 07:00:00,20,0.024,3,3.747338841904129,1.193062360143769,100.0,207.82476472854617,225
7,2020-12-06 07:00:00 to 2020-12-20 07:00:00,2020-12-21 07:00:00 to 2020-12-23 07:00:00,20,0.02,5,1.590915040163545,4.803465750591384,60.0,207.67383122444153,227
8,2020-12-09 07:00:00 to 2020-12-23 07:00:00,2020-12-24 07:00:00 to 2020-12-26 07:00:00,100,0.058,1,4.8697378380086045,7.869402533154739,100.0,212.5748529434204,228
9,2020-12-12 07:00:00 to 2020-12-26 07:00:00,2020-12-27 07:00:00 to 2020-12-29 07:00:00,55,0.028,2,1.1222196604395869,2.178746628834724,50.0,207.8572578430176,229
10,2020-12-15 07:00:00 to 2020-12-29 07:00:00,2020-12-30 07:00:00 to 2021-01-01 07:00:00,70,0.022,0,0.0,0.0,0.0,211.794410943985,231
11,2020-12-18 07:00:00 to 2021-01-01 07:00:00,2021-01-02 07:00:00 to 2021-01-04 07:00:00,205,0.024,1,3.3397632657301437,3.9218993827769366,100.0,214.5517780780792,233
12,2020-12-21 07:00:00 to 2021-01-04 07:00:00,2021-01-05 07:00:00 to 2021-01-07 07:00:00,285,0.022,1,1.1871908468867516,0.7219104891165493,100.0,207.69519209861755,234
13,2020-12-24 07:00:00 to 2021-01-07 07:00:00,2021-01-08 07:00:00 to 2021-01-10 07:00:00,210,0.024,1,5.572050322677588,9.151753481106134,100.0,204.41637301445007,235
14,2020-12-27 07:00:00 to 2021-01-10 07:00:00,2021-01-11 07:00:00 to 2021-01-13 07:00:00,195,0.024,1,-11.18619736391849,17.93734690251111,0.0,205.43634510040283,237
15,2020-12-30 07:00:00 to 2021-01-13 07:00:00,2021-01-14 07:00:00 to 2021-01-16 07:00:00,125,0.022,1,5.171247276266531,1.702625012998736,100.0,207.79343819618225,239
16,2021-01-02 07:00:00 to 2021-01-16 07:00:00,2021-01-17 07:00:00 to 2021-01-19 07:00:00,125,0.022,2,4.422851637922577,2.4721847423134244,50.0,214.37226390838623,240
17,2021-01-05 07:00:00 to 2021-01-19 07:00:00,2021-01-20 07:00:00 to 2021-01-22 07:00:00,15,0.028,6,6.4276632855542815,9.471029203431709,83.33333333333334,211.97231721878052,241
18,2021-01-08 07:00:00 to 2021-01-22 07:00:00,2021-01-23 07:00:00 to 2021-01-25 07:00:00,45,0.032,2,2.1712776911124636,2.8800472290135044,100.0,208.8514847755432,243
19,2021-01-11 07:00:00 to 2021-01-25 07:00:00,2021-01-26 07:00:00 to 2021-01-28 07:00:00,35,0.022,4,-5.010291083108805,11.021576158667,50.0,203.47527408599856,245
20,2021-01-14 07:00:00 to 2021-01-28 07:00:00,2021-01-29 07:00:00 to 2021-01-31 07:00:00,100,0.05,1,3.7750102721903938,7.706463843515735,100.0,211.15691304206848,246
21,2021-01-17 07:00:00 to 2021-01-31 07:00:00,2021-02-01 07:00:00 to 2021-02-03 07:00:00,85,0.052,0,0.0,0.0,0.0,217.14644289016724,247
22,2021-01-20 07:00:00 to 2021-02-03 07:00:00,2021-02-04 07:00:00 to 2021-02-06 07:00:00,80,0.022,5,5.45354957280997,4.010157753818843,80.0,212.16247010231015,249
23,2021-01-23 07:00:00 to 2021-02-06 07:00:00,2021-02-07 07:00:00 to 2021-02-09 07:00:00,75,0.02,4,12.247368473035005,5.118504024531241,100.0,216.66753721237183,251
24,2021-01-26 07:00:00 to 2021-02-09 07:00:00,2021-02-10 07:00:00 to 2021-02-12 07:00:00,75,0.02,1,-2.046582300637074,10.119220748552582,0.0,214.26398992538452,252
25,2021-01-29 07:00:00 to 2021-02-12 07:00:00,2021-02-13 07:00:00 to 2021-02-15 07:00:00,85,0.02,2,-8.524870779189223,25.25284657181176,50.0,211.5609998703003,253
26,2021-02-01 07:00:00 to 2021-02-15 07:00:00,2021-02-16 07:00:00 to 2021-02-18 07:00:00,40,0.062,2,6.329671518422438,0.9993088059581045,100.0,215.86014103889465,255
27,2021-02-04 07:00:00 to 2021-02-18 07:00:00,2021-02-19 07:00:00 to 2021-02-21 07:00:00,40,0.062,1,0.2105337194624917,2.4699181962815966,100.0,217.02203011512756,257
28,2021-02-07 07:00:00 to 2021-02-21 07:00:00,2021-02-22 07:00:00 to 2021-02-24 07:00:00,30,0.052,4,-6.611637849033595,24.47520136414248,75.0,215.48338389396667,258
29,2021-02-10 07:00:00 to 2021-02-24 07:00:00,2021-02-25 07:00:00 to 2021-02-27 07:00:00,10,0.04,4,3.276536156570528,2.0723045461632505,75.0,212.8524060249329,259
30,2021-02-13 07:00:00 to 2021-02-27 07:00:00,2021-02-28 07:00:00 to 2021-03-02 07:00:00,10,0.04,1,0.2317746122527205,0.8587846287791056,100.0,216.83454489707947,261
31,2021-02-16 07:00:00 to 2021-03-02 07:00:00,2021-03-03 07:00:00 to 2021-03-05 07:00:00,15,0.04,2,0.7420656382852576,1.287999359506357,50.0,212.48707795143127,263
32,2021-02-19 07:00:00 to 2021-03-05 07:00:00,2021-03-06 07:00:00 to 2021-03-08 07:00:00,15,0.04,0,0.0,0.0,0.0,220.2554461956024,264
33,2021-02-22 07:00:00 to 2021-03-08 07:00:00,2021-03-09 07:00:00 to 2021-03-11 07:00:00,145,0.046,1,1.6126871603345718,2.159078605381401,0.0,218.2448799610138,265
34,2021-02-25 07:00:00 to 2021-03-11 07:00:00,2021-03-12 07:00:00 to 2021-03-14 07:00:00,155,0.046,1,3.962396131412061,4.272913528177715,100.0,212.09039998054504,267
35,2021-02-28 07:00:00 to 2021-03-14 07:00:00,2021-03-15 07:00:00 to 2021-03-17 07:00:00,225,0.024,2,12.955514207865996,3.2505081353384853,100.0,205.5632939338684,269
36,2021-03-03 07:00:00 to 2021-03-17 07:00:00,2021-03-18 07:00:00 to 2021-03-20 07:00:00,170,0.022,1,-1.0973986158551998,3.735196929893792,0.0,210.08813524246216,270
37,2021-03-06 07:00:00 to 2021-03-20 07:00:00,2021-03-21 07:00:00 to 2021-03-23 07:00:00,170,0.034,2,-4.329278851518794,7.244553730688048,50.0,212.71787905693057,271
38,2021-03-09 07:00:00 to 2021-03-23 07:00:00,2021-03-24 07:00:00 to 2021-03-26 07:00:00,120,0.052,2,0.514140454238568,8.275616411174868,50.0,217.10654711723328,273
39,2021-03-12 07:00:00 to 2021-03-26 07:00:00,2021-03-27 07:00:00 to 2021-03-29 07:00:00,100,0.066,0,0.0,0.0,0.0,214.54374718666077,275
40,2021-03-15 07:00:00 to 2021-03-29 07:00:00,2021-03-30 07:00:00 to 2021-04-01 07:00:00,90,0.07,0,0.0,0.0,0.0,212.1769459247589,276
41,2021-03-18 07:00:00 to 2021-04-01 07:00:00,2021-04-02 07:00:00 to 2021-04-04 07:00:00,100,0.068,1,2.698511580956492,0.8326328530947555,100.0,211.4072949886322,277
42,2021-03-21 07:00:00 to 2021-04-04 07:00:00,2021-04-05 07:00:00 to 2021-04-07 07:00:00,100,0.068,1,2.163494630665391,0.5331761537203002,100.0,207.98574209213257,279
43,2021-03-24 07:00:00 to 2021-04-07 07:00:00,2021-04-08 07:00:00 to 2021-04-10 07:00:00,75,0.02,3,3.3875114426841537,2.554510777797433,100.0,204.7285280227661,281
44,2021-03-27 07:00:00 to 2021-04-10 07:00:00,2021-04-11 07:00:00 to 2021-04-13 07:00:00,295,0.02,2,-1.1103890596072596,5.950533063134868,50.0,204.3941309452057,282
45,2021-03-30 07:00:00 to 2021-04-13 07:00:00,2021-04-14 07:00:00 to 2021-04-16 07:00:00,295,0.02,2,0.730269596751441,9.731129435403256,50.0,209.47978115081787,283
46,2021-04-02 07:00:00 to 2021-04-16 07:00:00,2021-04-17 07:00:00 to 2021-04-19 07:00:00,95,0.028,1,-13.597473431474391,25.434517754607732,0.0,212.61004519462583,285
47,2021-04-05 07:00:00 to 2021-04-19 07:00:00,2021-04-20 07:00:00 to 2021-04-22 07:00:00,195,0.052,1,4.174816804729071,2.7608177640008185,100.0,212.26938009262085,287
48,2021-04-08 07:00:00 to 2021-04-22 07:00:00,2021-04-23 07:00:00 to 2021-04-25 07:00:00,200,0.052,1,-17.053427190900166,17.814725148722193,0.0,214.8568639755249,288
49,2021-04-11 07:00:00 to 2021-04-25 07:00:00,2021-04-26 07:00:00 to 2021-04-28 07:00:00,200,0.052,0,0.0,0.0,0.0,217.5123720169067,289
50,2021-04-14 07:00:00 to 2021-04-28 07:00:00,2021-04-29 07:00:00 to 2021-05-01 07:00:00,205,0.05,1,2.859552763310912,0.3856290906206537,100.0,215.75973415374756,291
51,2021-04-17 07:00:00 to 2021-05-01 07:00:00,2021-05-02 07:00:00 to 2021-05-04 07:00:00,115,0.032,2,2.0454360671578433,6.330619681600255,50.0,214.3520848751068,293
52,2021-04-20 07:00:00 to 2021-05-04 07:00:00,2021-05-05 07:00:00 to 2021-05-07 07:00:00,50,0.022,5,5.457941654377937,3.2103860362266983,80.0,211.77994298934937,294
53,2021-04-23 07:00:00 to 2021-05-07 07:00:00,2021-05-08 07:00:00 to 2021-05-10 07:00:00,195,0.02,2,-2.3040430560737333,8.805879341359951,50.0,210.5744171142578,295
54,2021-04-26 07:00:00 to 2021-05-10 07:00:00,2021-05-11 07:00:00 to 2021-05-13 07:00:00,25,0.024,7,7.356360028047439,4.652571302666791,85.71428571428571,208.5100622177124,297
55,2021-04-29 07:00:00 to 2021-05-13 07:00:00,2021-05-14 07:00:00 to 2021-05-16 07:00:00,25,0.024,4,5.01731550966957,2.3809189991096953,100.0,213.36484289169312,299
56,2021-05-02 07:00:00 to 2021-05-16 07:00:00,2021-05-17 07:00:00 to 2021-05-19 07:00:00,30,0.032,4,-6.613570408361083,9.760537625495454,75.0,212.23229813575745,300
57,2021-05-05 07:00:00 to 2021-05-19 07:00:00,2021-05-20 07:00:00 to 2021-05-22 07:00:00,10,0.078,1,3.44824304538799,0.3474507969596945,100.0,213.05882906913757,301
58,2021-05-08 07:00:00 to 2021-05-22 07:00:00,2021-05-23 07:00:00 to 2021-05-25 07:00:00,20,0.074,2,1.580976403246059,9.146804055572916,50.0,209.69014811515808,303
59,2021-05-11 07:00:00 to 2021-05-25 07:00:00,2021-05-26 07:00:00 to 2021-05-28 07:00:00,15,0.068,1,0.3848106414718859,0.2645628716698956,0.0,212.98905873298645,305
60,2021-05-14 07:00:00 to 2021-05-28 07:00:00,2021-05-29 07:00:00 to 2021-05-31 07:00:00,15,0.072,0,0.0,0.0,0.0,273.14761996269226,306
61,2021-05-17 07:00:00 to 2021-05-31 07:00:00,2021-06-01 07:00:00 to 2021-06-03 07:00:00,215,0.08,0,0.0,0.0,0.0,219.31536078453064,307
62,2021-05-20 07:00:00 to 2021-06-03 07:00:00,2021-06-04 07:00:00 to 2021-06-06 07:00:00,150,0.02,2,-8.912373895648743,12.77231184284882,0.0,216.53867769241333,309
63,2021-05-23 07:00:00 to 2021-06-06 07:00:00,2021-06-07 07:00:00 to 2021-06-09 07:00:00,90,0.08,1,-0.1124390679765565,7.606843191840149,0.0,209.69767117500305,311
