Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-11-30 03:30:00 to 2021-12-14 03:30:00,2021-12-15 03:30:00 to 2021-12-17 03:30:00,20,0.046,0,0.0,0.0,0.0,219.88988494873047,406
2,2021-12-03 03:30:00 to 2021-12-17 03:30:00,2021-12-18 03:30:00 to 2021-12-20 03:30:00,130,0.056,1,1.9062016554528236,1.1821787545721691,100.0,220.3167688846588,407
3,2021-12-06 03:30:00 to 2021-12-20 03:30:00,2021-12-21 03:30:00 to 2021-12-23 03:30:00,25,0.02,3,1.2815685255943208,1.1680595494480832,66.66666666666666,218.6084342002869,409
4,2021-12-09 03:30:00 to 2021-12-23 03:30:00,2021-12-24 03:30:00 to 2021-12-26 03:30:00,205,0.032,2,3.6681164942262874,1.0022178580402643,100.0,215.349454164505,411
5,2021-12-12 03:30:00 to 2021-12-26 03:30:00,2021-12-27 03:30:00 to 2021-12-29 03:30:00,205,0.032,1,-7.2079290532778035,9.162603489046887,0.0,214.4668719768524,412
6,2021-12-15 03:30:00 to 2021-12-29 03:30:00,2021-12-30 03:30:00 to 2022-01-01 03:30:00,50,0.02,2,1.7711077034233855,2.5203047895902873,100.0,209.62993788719177,413
7,2021-12-18 03:30:00 to 2022-01-01 03:30:00,2022-01-02 03:30:00 to 2022-01-04 03:30:00,35,0.022,2,1.470147081984851,0.3860434476387926,100.0,209.17214012145996,415
8,2021-12-21 03:30:00 to 2022-01-04 03:30:00,2022-01-05 03:30:00 to 2022-01-07 03:30:00,45,0.022,3,-13.626460583232328,14.573550585522405,33.33333333333333,205.43470096588135,417
9,2021-12-24 03:30:00 to 2022-01-07 03:30:00,2022-01-08 03:30:00 to 2022-01-10 03:30:00,95,0.08,1,3.2922183701035466,1.1825116067054462,100.0,209.06443428993225,418
10,2021-12-27 03:30:00 to 2022-01-10 03:30:00,2022-01-11 03:30:00 to 2022-01-13 03:30:00,95,0.078,0,0.0,0.0,0.0,211.46547508239743,419
11,2021-12-30 03:30:00 to 2022-01-13 03:30:00,2022-01-14 03:30:00 to 2022-01-16 03:30:00,95,0.08,0,0.0,0.0,0.0,212.43127989768985,421
12,2022-01-02 03:30:00 to 2022-01-16 03:30:00,2022-01-17 03:30:00 to 2022-01-19 03:30:00,95,0.08,0,0.0,0.0,0.0,213.37177300453183,423
13,2022-01-05 03:30:00 to 2022-01-19 03:30:00,2022-01-20 03:30:00 to 2022-01-22 03:30:00,100,0.056,1,-13.696961526499162,13.696961526499162,0.0,216.9331262111664,424
14,2022-01-08 03:30:00 to 2022-01-22 03:30:00,2022-01-23 03:30:00 to 2022-01-25 03:30:00,20,0.064,0,0.0,0.0,0.0,214.70284795761108,425
15,2022-01-11 03:30:00 to 2022-01-25 03:30:00,2022-01-26 03:30:00 to 2022-01-28 03:30:00,20,0.064,1,1.980911778962673,0.2816602273912892,100.0,211.6367301940918,427
16,2022-01-14 03:30:00 to 2022-01-28 03:30:00,2022-01-29 03:30:00 to 2022-01-31 03:30:00,20,0.064,0,0.0,0.0,0.0,215.3199758529663,429
