Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-07-26 10:00:00 to 2024-08-09 10:00:00,2024-08-10 10:00:00 to 2024-08-12 10:00:00,80,0.05,1,-0.288326213592245,2.230344150792117,0.0,211.70464396476743,891
2,2024-07-29 10:00:00 to 2024-08-12 10:00:00,2024-08-13 10:00:00 to 2024-08-15 10:00:00,85,0.068,0,0.0,0.0,0.0,214.3149530887604,892
3,2024-08-01 10:00:00 to 2024-08-15 10:00:00,2024-08-16 10:00:00 to 2024-08-18 10:00:00,80,0.044,0,0.0,0.0,0.0,212.60548400878903,893
4,2024-08-04 10:00:00 to 2024-08-18 10:00:00,2024-08-19 10:00:00 to 2024-08-21 10:00:00,80,0.068,0,0.0,0.0,0.0,209.05240273475647,895
5,2024-08-07 10:00:00 to 2024-08-21 10:00:00,2024-08-22 10:00:00 to 2024-08-24 10:00:00,235,0.034,0,0.0,0.0,0.0,203.15254282951355,897
6,2024-08-10 10:00:00 to 2024-08-24 10:00:00,2024-08-25 10:00:00 to 2024-08-27 10:00:00,150,0.02,2,2.41673912774404,1.322691877484069,50.0,201.3998579978943,898
7,2024-08-13 10:00:00 to 2024-08-27 10:00:00,2024-08-28 10:00:00 to 2024-08-30 10:00:00,45,0.02,4,4.104311757949454,4.802918797354744,75.0,202.42436385154724,899
8,2024-08-16 10:00:00 to 2024-08-30 10:00:00,2024-08-31 10:00:00 to 2024-09-02 10:00:00,50,0.02,2,0.1267117039598997,2.7277247041290926,50.0,200.2089638710022,901
9,2024-08-19 10:00:00 to 2024-09-02 10:00:00,2024-09-03 10:00:00 to 2024-09-05 10:00:00,140,0.026,1,1.7374058439901272,2.969094824545965,100.0,204.55815291404724,903
10,2024-08-22 10:00:00 to 2024-09-05 10:00:00,2024-09-06 10:00:00 to 2024-09-08 10:00:00,140,0.034,1,1.5174767213114864,1.311047269124436,100.0,206.6146581172943,904
11,2024-08-25 10:00:00 to 2024-09-08 10:00:00,2024-09-09 10:00:00 to 2024-09-11 10:00:00,140,0.026,1,0.2442588424437235,0.5472919761740747,0.0,209.8271770477295,905
