Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-01-15 08:00:00 to 2020-01-29 08:00:00,2020-01-30 08:00:00 to 2020-02-01 08:00:00,70,0.02,2,3.646617304438969,2.4501745145348206,100.0,201.1097481250763,63
2,2020-01-18 08:00:00 to 2020-02-01 08:00:00,2020-02-02 08:00:00 to 2020-02-04 08:00:00,170,0.03,0,0.0,0.0,0.0,200.68813300132751,65
3,2020-01-21 08:00:00 to 2020-02-04 08:00:00,2020-02-05 08:00:00 to 2020-02-07 08:00:00,215,0.02,0,0.0,0.0,0.0,200.6000699996948,67
4,2020-01-24 08:00:00 to 2020-02-07 08:00:00,2020-02-08 08:00:00 to 2020-02-10 08:00:00,135,0.02,3,2.804728503022434,4.41205003556257,66.66666666666666,197.57896089553833,68
5,2020-01-27 08:00:00 to 2020-02-10 08:00:00,2020-02-11 08:00:00 to 2020-02-13 08:00:00,220,0.02,1,0.8640418799441795,0.2084768542047077,100.0,200.73786306381223,69
6,2020-01-30 08:00:00 to 2020-02-13 08:00:00,2020-02-14 08:00:00 to 2020-02-16 08:00:00,220,0.02,1,0.5250915366985283,6.263651822050349,0.0,200.0183432102203,71
7,2020-02-02 08:00:00 to 2020-02-16 08:00:00,2020-02-17 08:00:00 to 2020-02-19 08:00:00,80,0.054,1,0.9348345323740976,2.32137185551724,100.0,204.38594698905945,73
8,2020-02-05 08:00:00 to 2020-02-19 08:00:00,2020-02-20 08:00:00 to 2020-02-22 08:00:00,80,0.054,1,-0.085614947109243,2.623019045513484,0.0,203.4210307598114,74
9,2020-02-08 08:00:00 to 2020-02-22 08:00:00,2020-02-23 08:00:00 to 2020-02-25 08:00:00,80,0.054,1,0.4478478260869451,1.4700609680222778,0.0,206.7164068222046,75
10,2020-02-11 08:00:00 to 2020-02-25 08:00:00,2020-02-26 08:00:00 to 2020-02-28 08:00:00,80,0.054,1,-4.126629593390735,9.395333200196564,0.0,207.1347508430481,77
11,2020-02-14 08:00:00 to 2020-02-28 08:00:00,2020-02-29 08:00:00 to 2020-03-02 08:00:00,70,0.074,0,0.0,0.0,0.0,210.6267991065979,79
12,2020-02-17 08:00:00 to 2020-03-02 08:00:00,2020-03-03 08:00:00 to 2020-03-05 08:00:00,65,0.074,0,0.0,0.0,0.0,207.75674176216123,80
13,2020-02-20 08:00:00 to 2020-03-05 08:00:00,2020-03-06 08:00:00 to 2020-03-08 08:00:00,45,0.028,1,-1.9895392935771088,2.6210739788592763,0.0,204.0328357219696,81
14,2020-02-23 08:00:00 to 2020-03-08 08:00:00,2020-03-09 08:00:00 to 2020-03-11 08:00:00,20,0.034,0,0.0,0.0,0.0,203.9741621017456,83
15,2020-02-26 08:00:00 to 2020-03-11 08:00:00,2020-03-12 08:00:00 to 2020-03-14 08:00:00,30,0.028,6,-8.763033862660704,35.27176529388523,66.66666666666666,200.42710185050964,85
16,2020-02-29 08:00:00 to 2020-03-14 08:00:00,2020-03-15 08:00:00 to 2020-03-17 08:00:00,10,0.078,0,0.0,0.0,0.0,203.73174285888672,86
17,2020-03-03 08:00:00 to 2020-03-17 08:00:00,2020-03-18 08:00:00 to 2020-03-20 08:00:00,10,0.078,0,0.0,0.0,0.0,205.16006207466123,87
18,2020-03-06 08:00:00 to 2020-03-20 08:00:00,2020-03-21 08:00:00 to 2020-03-23 08:00:00,10,0.078,0,0.0,0.0,0.0,213.68275117874143,89
19,2020-03-09 08:00:00 to 2020-03-23 08:00:00,2020-03-24 08:00:00 to 2020-03-26 08:00:00,10,0.078,0,0.0,0.0,0.0,213.5799469947815,91
20,2020-03-12 08:00:00 to 2020-03-26 08:00:00,2020-03-27 08:00:00 to 2020-03-29 08:00:00,15,0.03,0,0.0,0.0,0.0,212.29778218269348,92
21,2020-03-15 08:00:00 to 2020-03-29 08:00:00,2020-03-30 08:00:00 to 2020-04-01 08:00:00,175,0.03,1,1.6471431244153427,0.1678466315950458,100.0,205.78753209114075,93
22,2020-03-18 08:00:00 to 2020-04-01 08:00:00,2020-04-02 08:00:00 to 2020-04-04 08:00:00,190,0.026,0,0.0,0.0,0.0,205.1244399547577,95
23,2020-03-21 08:00:00 to 2020-04-04 08:00:00,2020-04-05 08:00:00 to 2020-04-07 08:00:00,195,0.03,0,0.0,0.0,0.0,202.6851749420166,97
24,2020-03-24 08:00:00 to 2020-04-07 08:00:00,2020-04-08 08:00:00 to 2020-04-10 08:00:00,150,0.02,4,-0.5889544348024719,4.603865473992816,75.0,201.22838020324707,98
25,2020-03-27 08:00:00 to 2020-04-10 08:00:00,2020-04-11 08:00:00 to 2020-04-13 08:00:00,60,0.046,0,0.0,0.0,0.0,197.6959080696106,99
26,2020-03-30 08:00:00 to 2020-04-13 08:00:00,2020-04-14 08:00:00 to 2020-04-16 08:00:00,165,0.02,2,4.284657217908916,0.9592465745921148,100.0,197.8498222827911,101
27,2020-04-02 08:00:00 to 2020-04-16 08:00:00,2020-04-17 08:00:00 to 2020-04-19 08:00:00,165,0.02,0,0.0,0.0,0.0,201.3466989994049,103
28,2020-04-05 08:00:00 to 2020-04-19 08:00:00,2020-04-20 08:00:00 to 2020-04-22 08:00:00,165,0.02,1,-0.6569267670634145,3.2895683059405254,0.0,200.7092089653015,104
29,2020-04-08 08:00:00 to 2020-04-22 08:00:00,2020-04-23 08:00:00 to 2020-04-25 08:00:00,225,0.02,0,0.0,0.0,0.0,200.48786091804504,105
30,2020-04-11 08:00:00 to 2020-04-25 08:00:00,2020-04-26 08:00:00 to 2020-04-28 08:00:00,155,0.02,0,0.0,0.0,0.0,198.80776596069336,107
31,2020-04-14 08:00:00 to 2020-04-28 08:00:00,2020-04-29 08:00:00 to 2020-05-01 08:00:00,115,0.02,1,4.623224840625844,3.771329829932217,100.0,199.34694600105288,109
32,2020-04-17 08:00:00 to 2020-05-01 08:00:00,2020-05-02 08:00:00 to 2020-05-04 08:00:00,125,0.024,1,-0.2034878249417306,3.3284116263122883,0.0,200.79261302948,110
33,2020-04-20 08:00:00 to 2020-05-04 08:00:00,2020-05-05 08:00:00 to 2020-05-07 08:00:00,160,0.02,2,1.908697162474382,0.3027987341772132,100.0,196.0588767528534,111
34,2020-04-23 08:00:00 to 2020-05-07 08:00:00,2020-05-08 08:00:00 to 2020-05-10 08:00:00,215,0.022,1,-0.2749907214151426,5.6970518898142295,0.0,197.76668286323547,113
35,2020-04-26 08:00:00 to 2020-05-10 08:00:00,2020-05-11 08:00:00 to 2020-05-13 08:00:00,215,0.022,1,-0.916988490898384,6.3475483053547,0.0,201.24343395233151,115
36,2020-04-29 08:00:00 to 2020-05-13 08:00:00,2020-05-14 08:00:00 to 2020-05-16 08:00:00,115,0.022,1,0.971084124830395,0.6959223642727097,100.0,202.60284399986267,116
37,2020-05-02 08:00:00 to 2020-05-16 08:00:00,2020-05-17 08:00:00 to 2020-05-19 08:00:00,55,0.022,0,0.0,0.0,0.0,205.55101108551025,117
38,2020-05-05 08:00:00 to 2020-05-19 08:00:00,2020-05-20 08:00:00 to 2020-05-22 08:00:00,50,0.034,1,0.9951318051575982,1.2449467045764069,100.0,201.39241290092468,119
39,2020-05-08 08:00:00 to 2020-05-22 08:00:00,2020-05-23 08:00:00 to 2020-05-25 08:00:00,295,0.042,1,0.9327169014084576,0.9090943415474372,0.0,204.10096788406372,121
40,2020-05-11 08:00:00 to 2020-05-25 08:00:00,2020-05-26 08:00:00 to 2020-05-28 08:00:00,30,0.02,0,0.0,0.0,0.0,198.19577765464783,122
41,2020-05-14 08:00:00 to 2020-05-28 08:00:00,2020-05-29 08:00:00 to 2020-05-31 08:00:00,300,0.042,0,0.0,0.0,0.0,201.16973114013672,123
42,2020-05-17 08:00:00 to 2020-05-31 08:00:00,2020-06-01 08:00:00 to 2020-06-03 08:00:00,30,0.02,1,1.9688332472552792,0.9252840656351384,100.0,201.1009967327118,125
43,2020-05-20 08:00:00 to 2020-06-03 08:00:00,2020-06-04 08:00:00 to 2020-06-06 08:00:00,125,0.02,0,0.0,0.0,0.0,201.60431003570557,127
44,2020-05-23 08:00:00 to 2020-06-06 08:00:00,2020-06-07 08:00:00 to 2020-06-09 08:00:00,125,0.02,1,0.2375366269165169,0.6116786375007839,0.0,198.10908198356628,128
45,2020-05-26 08:00:00 to 2020-06-09 08:00:00,2020-06-10 08:00:00 to 2020-06-12 08:00:00,130,0.022,1,-2.434921960072588,9.146649300736623,0.0,200.44595193862915,129
46,2020-05-29 08:00:00 to 2020-06-12 08:00:00,2020-06-13 08:00:00 to 2020-06-15 08:00:00,165,0.036,1,0.2107807368983958,2.2762244962323366,0.0,198.95726895332336,131
47,2020-06-01 08:00:00 to 2020-06-15 08:00:00,2020-06-16 08:00:00 to 2020-06-18 08:00:00,195,0.056,0,0.0,0.0,0.0,201.2504849433899,133
48,2020-06-04 08:00:00 to 2020-06-18 08:00:00,2020-06-19 08:00:00 to 2020-06-21 08:00:00,195,0.056,0,0.0,0.0,0.0,202.56193923950195,134
49,2020-06-07 08:00:00 to 2020-06-21 08:00:00,2020-06-22 08:00:00 to 2020-06-24 08:00:00,195,0.056,0,0.0,0.0,0.0,203.72161316871643,135
50,2020-06-10 08:00:00 to 2020-06-24 08:00:00,2020-06-25 08:00:00 to 2020-06-27 08:00:00,160,0.028,1,0.2470610446821956,1.13043044656149,100.0,201.43471908569336,137
51,2020-06-13 08:00:00 to 2020-06-27 08:00:00,2020-06-28 08:00:00 to 2020-06-30 08:00:00,185,0.02,0,0.0,0.0,0.0,193.76207995414737,139
52,2020-06-16 08:00:00 to 2020-06-30 08:00:00,2020-07-01 08:00:00 to 2020-07-03 08:00:00,295,0.02,0,0.0,0.0,0.0,195.86162209510803,140
53,2020-06-19 08:00:00 to 2020-07-03 08:00:00,2020-07-04 08:00:00 to 2020-07-06 08:00:00,145,0.022,0,0.0,0.0,0.0,195.7199068069458,141
54,2020-06-22 08:00:00 to 2020-07-06 08:00:00,2020-07-07 08:00:00 to 2020-07-09 08:00:00,145,0.022,1,1.969033759919166,1.5770990101954487,100.0,195.87381601333615,143
55,2020-06-25 08:00:00 to 2020-07-09 08:00:00,2020-07-10 08:00:00 to 2020-07-12 08:00:00,180,0.02,1,1.0647830923247967,0.5229296749342929,100.0,197.71402788162231,145
56,2020-06-28 08:00:00 to 2020-07-12 08:00:00,2020-07-13 08:00:00 to 2020-07-15 08:00:00,170,0.02,1,0.9109827426678566,2.0988117963799,100.0,195.41599988937375,146
57,2020-07-01 08:00:00 to 2020-07-15 08:00:00,2020-07-16 08:00:00 to 2020-07-18 08:00:00,130,0.022,1,1.5824681864846752,0.8946967027276215,100.0,197.08151483535767,147
58,2020-07-04 08:00:00 to 2020-07-18 08:00:00,2020-07-19 08:00:00 to 2020-07-21 08:00:00,205,0.02,0,0.0,0.0,0.0,196.8724799156189,149
59,2020-07-07 08:00:00 to 2020-07-21 08:00:00,2020-07-22 08:00:00 to 2020-07-24 08:00:00,140,0.022,0,0.0,0.0,0.0,197.88211297988892,151
60,2020-07-10 08:00:00 to 2020-07-24 08:00:00,2020-07-25 08:00:00 to 2020-07-27 08:00:00,140,0.022,1,-0.2870217391304323,0.6341226950453092,0.0,197.7925801277161,152
61,2020-07-13 08:00:00 to 2020-07-27 08:00:00,2020-07-28 08:00:00 to 2020-07-30 08:00:00,245,0.02,1,1.2484942339373992,0.2934029615508015,100.0,194.5882408618927,153
62,2020-07-16 08:00:00 to 2020-07-30 08:00:00,2020-07-31 08:00:00 to 2020-08-02 08:00:00,220,0.02,1,3.35230027533933,1.9529548333636324,0.0,194.3089280128479,155
63,2020-07-19 08:00:00 to 2020-08-02 08:00:00,2020-08-03 08:00:00 to 2020-08-05 08:00:00,220,0.02,1,1.6904763406940038,0.5366425773776462,100.0,196.0497269630432,157
64,2020-07-22 08:00:00 to 2020-08-05 08:00:00,2020-08-06 08:00:00 to 2020-08-08 08:00:00,220,0.02,1,1.8525283429400223,2.015605603695076,100.0,200.25909972190857,158
65,2020-07-25 08:00:00 to 2020-08-08 08:00:00,2020-08-09 08:00:00 to 2020-08-11 08:00:00,205,0.022,0,0.0,0.0,0.0,201.12193274497983,159
66,2020-07-28 08:00:00 to 2020-08-11 08:00:00,2020-08-12 08:00:00 to 2020-08-14 08:00:00,270,0.024,1,2.4253893465304284,3.6675784894250576,100.0,201.11609196662903,161
67,2020-07-31 08:00:00 to 2020-08-14 08:00:00,2020-08-15 08:00:00 to 2020-08-17 08:00:00,210,0.024,0,0.0,0.0,0.0,203.14548993110657,163
68,2020-08-03 08:00:00 to 2020-08-17 08:00:00,2020-08-18 08:00:00 to 2020-08-20 08:00:00,30,0.02,4,-3.301490592489554,8.671214474523806,50.0,198.90525722503665,164
69,2020-08-06 08:00:00 to 2020-08-20 08:00:00,2020-08-21 08:00:00 to 2020-08-23 08:00:00,45,0.024,2,-6.020555052846448,9.36038130753087,0.0,203.24300384521484,165
70,2020-08-09 08:00:00 to 2020-08-23 08:00:00,2020-08-24 08:00:00 to 2020-08-26 08:00:00,20,0.024,1,1.6681657166509103,0.733628155797363,100.0,208.4633128643036,167
71,2020-08-12 08:00:00 to 2020-08-26 08:00:00,2020-08-27 08:00:00 to 2020-08-29 08:00:00,20,0.024,1,-0.095062992125986,1.4117412322242222,0.0,206.50038480758667,169
72,2020-08-15 08:00:00 to 2020-08-29 08:00:00,2020-08-30 08:00:00 to 2020-09-01 08:00:00,70,0.054,0,0.0,0.0,0.0,206.8317878246307,170
73,2020-08-18 08:00:00 to 2020-09-01 08:00:00,2020-09-02 08:00:00 to 2020-09-04 08:00:00,80,0.038,3,20.981796348363183,6.305248088782414,100.0,208.21357989311215,171
74,2020-08-21 08:00:00 to 2020-09-04 08:00:00,2020-09-05 08:00:00 to 2020-09-07 08:00:00,55,0.032,4,-1.7259687547254363,10.695656054121493,25.0,206.650297164917,173
75,2020-08-24 08:00:00 to 2020-09-07 08:00:00,2020-09-08 08:00:00 to 2020-09-10 08:00:00,45,0.036,0,0.0,0.0,0.0,204.7875440120697,175
76,2020-08-27 08:00:00 to 2020-09-10 08:00:00,2020-09-11 08:00:00 to 2020-09-13 08:00:00,45,0.034,0,0.0,0.0,0.0,207.748113155365,176
77,2020-08-30 08:00:00 to 2020-09-13 08:00:00,2020-09-14 08:00:00 to 2020-09-16 08:00:00,50,0.032,1,-2.014902472822432,5.182280480986726,0.0,210.28409099578855,177
78,2020-09-02 08:00:00 to 2020-09-16 08:00:00,2020-09-17 08:00:00 to 2020-09-19 08:00:00,60,0.054,0,0.0,0.0,0.0,213.61961388587952,179
79,2020-09-05 08:00:00 to 2020-09-19 08:00:00,2020-09-20 08:00:00 to 2020-09-22 08:00:00,30,0.022,1,-1.4864881313305705,3.5084058442909596,0.0,208.8149871826172,181
80,2020-09-08 08:00:00 to 2020-09-22 08:00:00,2020-09-23 08:00:00 to 2020-09-25 08:00:00,75,0.02,1,0.5423141824025697,1.080669158988599,100.0,206.78358507156372,182
81,2020-09-11 08:00:00 to 2020-09-25 08:00:00,2020-09-26 08:00:00 to 2020-09-28 08:00:00,230,0.062,0,0.0,0.0,0.0,204.47115015983584,183
82,2020-09-14 08:00:00 to 2020-09-28 08:00:00,2020-09-29 08:00:00 to 2020-10-01 08:00:00,165,0.034,1,1.1282258823529263,0.97414238765592,100.0,202.71804213523865,185
83,2020-09-17 08:00:00 to 2020-10-01 08:00:00,2020-10-02 08:00:00 to 2020-10-04 08:00:00,75,0.026,2,1.2735040419461257,1.3726937230272218,50.0,201.29257798194885,187
84,2020-09-20 08:00:00 to 2020-10-04 08:00:00,2020-10-05 08:00:00 to 2020-10-07 08:00:00,210,0.02,3,0.8521197807485805,0.9179999999999928,66.66666666666666,203.20824790000916,188
85,2020-09-23 08:00:00 to 2020-10-07 08:00:00,2020-10-08 08:00:00 to 2020-10-10 08:00:00,215,0.034,0,0.0,0.0,0.0,201.95847868919373,189
86,2020-09-26 08:00:00 to 2020-10-10 08:00:00,2020-10-11 08:00:00 to 2020-10-13 08:00:00,100,0.026,0,0.0,0.0,0.0,199.24275398254397,191
