Portfolio,Start Date,End Date,Total Return (%),CAGR (%),Max Drawdown (%),Recovery Factor,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Volatility (%),Win Rate (%),Profit Factor,Average Profit (%),Average Loss (%),Profit/Loss Ratio,Number of Trades,Number of Periods
top2,2019-12-17 07:45:00,2025-03-04 14:00:00,80485.92412961768,261.0076212929807,-29.398327110916334,2737.772248943078,3.0800613786383755,2.378577433065451,8.878315432991492,37.632828993067335,55.1829268292683,7.337025148068523,2.8367644378304213,-0.47606308474097464,5.958799429646811,328,653
top6,2020-02-27 08:00:00,2025-03-05 07:45:00,22667.323460334712,195.10912732268542,-23.69554221656265,956.6070804866733,3.1349312262929785,2.3714274614546738,8.234001380492089,34.76327532515901,49.063670411985015,6.759607426062374,2.212031016945096,-0.31521155192967365,7.017607709499869,267,634
top8,2020-02-15 08:00:00,2025-03-05 19:15:00,19000.7432955005,182.86145601443548,-24.702563170581293,769.1810426429274,3.030378092749614,2.2213071869916097,7.402529638390251,37.42370267651995,47.58364312267658,6.826982372283787,2.791651286579864,-0.37121305718246456,7.520347769468861,269,623
top7,2020-02-03 08:00:00,2025-03-04 20:30:00,17835.674532737863,177.6633326063239,-25.157933011968293,708.9483275216991,3.160993845784137,2.3695068456966046,7.061920886815494,32.29277442324803,52.4822695035461,10.760286548299923,2.4514230612106704,-0.2516235860771862,9.742421604541832,282,637
top1,2019-10-01 17:45:00,2025-03-05 12:15:00,15807.737913283947,154.63906255137084,-38.20163538752015,413.79741345963623,2.322924262507805,1.7290157766547827,4.047969700320445,36.46518982759624,57.38636363636363,5.701811284947403,2.4565518637265873,-0.5801939672314123,4.234018280901537,352,658
top5,2020-02-03 08:00:00,2025-03-06 06:45:00,14645.614586580648,167.02407092054074,-23.947277781744468,611.5774293872066,2.7540984825465045,2.007532499011675,6.974657931594497,36.42060643945778,52.36363636363637,8.066122130334106,2.4483212357533426,-0.3336528220542817,7.337930549123386,275,630
top10,2020-02-11 08:00:00,2025-03-06 05:30:00,9456.127784104052,146.14064394003375,-20.285300654481663,466.1566493477086,2.9646564204808588,2.279075216885565,7.204263147450401,34.037901836705245,48.1203007518797,3.6356912250859295,2.294312224758671,-0.5853241059182331,3.919729602045768,266,591
top3,2020-01-10 07:45:00,2025-03-07 01:45:00,7261.167328989609,130.31834016352352,-37.972249650291765,191.22299563133248,2.109275273168097,1.3330908112751374,3.4319362524922776,39.57866339529482,54.48717948717948,8.60549312874756,2.5365828694838455,-0.35288554578915604,7.188117789895018,312,632
top9,2020-02-27 08:00:00,2025-03-04 04:45:00,4490.097073013435,114.53697405017036,-16.329071151736805,274.9756572979263,3.2831701756560596,2.696729896659557,7.014298179354059,27.92435611770092,45.493562231759654,8.16097848068497,2.2866906298036414,-0.2338661271674499,9.777776104216896,233,571
top4,2020-01-22 07:45:00,2025-03-05 16:00:00,-296.7594229855591,,-287.00726256438713,1.0339787931986013,0.9700706118994368,0.5144335780342472,,63.24862891785419,50.82508250825083,1.764288368534118,2.5816843872223316,-1.5124047401097724,1.707006278646647,303,637
