Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-11-22 14:00:00 to 2023-12-06 14:00:00,2023-12-07 14:00:00 to 2023-12-09 14:00:00,65,0.022,4,9.252743840648872,2.709422488044405,100.0,204.30021977424624,767
2,2023-11-25 14:00:00 to 2023-12-09 14:00:00,2023-12-10 14:00:00 to 2023-12-12 14:00:00,30,0.022,8,24.80876101275442,8.384993327217353,100.0,203.87000393867493,769
3,2023-11-28 14:00:00 to 2023-12-12 14:00:00,2023-12-13 14:00:00 to 2023-12-15 14:00:00,35,0.02,8,14.904704033380822,15.019929978164807,75.0,208.93564224243164,770
4,2023-12-01 14:00:00 to 2023-12-15 14:00:00,2023-12-16 14:00:00 to 2023-12-18 14:00:00,35,0.02,7,3.7957186449091385,12.352632438938093,71.42857142857143,212.4347817897797,771
5,2023-12-04 14:00:00 to 2023-12-18 14:00:00,2023-12-19 14:00:00 to 2023-12-21 14:00:00,35,0.022,7,2.044144285519633,7.434410691676167,71.42857142857143,217.68740797042847,773
6,2023-12-07 14:00:00 to 2023-12-21 14:00:00,2023-12-22 14:00:00 to 2023-12-24 14:00:00,270,0.028,3,5.9822799590704925,3.2351337437917613,66.66666666666666,223.7404749393463,775
7,2023-12-10 14:00:00 to 2023-12-24 14:00:00,2023-12-25 14:00:00 to 2023-12-27 14:00:00,230,0.078,1,-3.5321365875011725,6.2245664885348235,0.0,220.1040120124817,776
8,2023-12-13 14:00:00 to 2023-12-27 14:00:00,2023-12-28 14:00:00 to 2023-12-30 14:00:00,230,0.078,1,3.656928384000839,10.404846262761872,100.0,215.3031930923462,777
9,2023-12-16 14:00:00 to 2023-12-30 14:00:00,2023-12-31 14:00:00 to 2024-01-02 14:00:00,210,0.024,1,-0.7645404694409262,9.034828259550649,0.0,216.22686910629272,779
10,2023-12-19 14:00:00 to 2024-01-02 14:00:00,2024-01-03 14:00:00 to 2024-01-05 14:00:00,15,0.022,3,-1.3978859675498825,7.638589107205784,33.33333333333333,210.00916981697085,781
11,2023-12-22 14:00:00 to 2024-01-05 14:00:00,2024-01-06 14:00:00 to 2024-01-08 14:00:00,15,0.024,5,4.212168969697686,1.9053002485041723,100.0,203.64811992645264,782
12,2023-12-25 14:00:00 to 2024-01-08 14:00:00,2024-01-09 14:00:00 to 2024-01-11 14:00:00,285,0.06,0,0.0,0.0,0.0,212.5954391956329,783
