Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-08-22 10:30:00 to 2024-09-05 10:30:00,2024-09-06 10:30:00 to 2024-09-08 10:30:00,10,0.024,0,0.0,0.0,0.0,208.85404586791992,904
2,2024-08-25 10:30:00 to 2024-09-08 10:30:00,2024-09-09 10:30:00 to 2024-09-11 10:30:00,30,0.038,0,0.0,0.0,0.0,207.97875094413757,905
3,2024-08-28 10:30:00 to 2024-09-11 10:30:00,2024-09-12 10:30:00 to 2024-09-14 10:30:00,35,0.02,0,0.0,0.0,0.0,202.4566240310669,907
4,2024-08-31 10:30:00 to 2024-09-14 10:30:00,2024-09-15 10:30:00 to 2024-09-17 10:30:00,35,0.02,1,-5.5138442079070416,7.599700147564512,0.0,197.293762922287,909
5,2024-09-03 10:30:00 to 2024-09-17 10:30:00,2024-09-18 10:30:00 to 2024-09-20 10:30:00,20,0.028,0,0.0,0.0,0.0,197.8221070766449,910
6,2024-09-06 10:30:00 to 2024-09-20 10:30:00,2024-09-21 10:30:00 to 2024-09-23 10:30:00,290,0.02,1,-1.3775167169498854,7.732119457993608,0.0,197.120756149292,911
7,2024-09-09 10:30:00 to 2024-09-23 10:30:00,2024-09-24 10:30:00 to 2024-09-26 10:30:00,300,0.078,0,0.0,0.0,0.0,205.42310404777527,913
8,2024-09-12 10:30:00 to 2024-09-26 10:30:00,2024-09-27 10:30:00 to 2024-09-29 10:30:00,300,0.078,0,0.0,0.0,0.0,198.14604473114017,915
9,2024-09-15 10:30:00 to 2024-09-29 10:30:00,2024-09-30 10:30:00 to 2024-10-02 10:30:00,195,0.02,2,-9.801766571332085,16.833702157506362,50.0,200.24001789093015,916
10,2024-09-18 10:30:00 to 2024-10-02 10:30:00,2024-10-03 10:30:00 to 2024-10-05 10:30:00,80,0.06,0,0.0,0.0,0.0,203.52326083183289,917
11,2024-09-21 10:30:00 to 2024-10-05 10:30:00,2024-10-06 10:30:00 to 2024-10-08 10:30:00,95,0.052,0,0.0,0.0,0.0,196.537850856781,919
12,2024-09-24 10:30:00 to 2024-10-08 10:30:00,2024-10-09 10:30:00 to 2024-10-11 10:30:00,95,0.052,1,1.226183901989207,2.0259777368557916,100.0,204.20031905174255,921
13,2024-09-27 10:30:00 to 2024-10-11 10:30:00,2024-10-12 10:30:00 to 2024-10-14 10:30:00,95,0.052,0,0.0,0.0,0.0,202.3016448020935,922
14,2024-09-30 10:30:00 to 2024-10-14 10:30:00,2024-10-15 10:30:00 to 2024-10-17 10:30:00,280,0.028,1,-2.686782564386485,4.157763309633762,0.0,204.74040293693545,923
15,2024-10-03 10:30:00 to 2024-10-17 10:30:00,2024-10-18 10:30:00 to 2024-10-20 10:30:00,250,0.03,0,0.0,0.0,0.0,199.3672230243683,925
