Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-11-23 07:00:00 to 2020-12-07 07:00:00,2020-12-08 07:00:00 to 2020-12-10 07:00:00,25,0.036,2,2.3614586824733306,7.004727014508599,100.0,219.8041181564331,220
2,2020-11-26 07:00:00 to 2020-12-10 07:00:00,2020-12-11 07:00:00 to 2020-12-13 07:00:00,40,0.042,2,0.2864636570078437,3.482275020224122,50.0,212.0812759399414,221
3,2020-11-29 07:00:00 to 2020-12-13 07:00:00,2020-12-14 07:00:00 to 2020-12-16 07:00:00,115,0.078,0,0.0,0.0,0.0,208.9044451713562,223
4,2020-12-02 07:00:00 to 2020-12-16 07:00:00,2020-12-17 07:00:00 to 2020-12-19 07:00:00,200,0.076,0,0.0,0.0,0.0,212.2132589817047,225
5,2020-12-05 07:00:00 to 2020-12-19 07:00:00,2020-12-20 07:00:00 to 2020-12-22 07:00:00,85,0.068,1,2.5867749216300946,0.965199542231353,100.0,209.42921710014343,226
6,2020-12-08 07:00:00 to 2020-12-22 07:00:00,2020-12-23 07:00:00 to 2020-12-25 07:00:00,70,0.04,1,-11.267724037156931,16.35042709337001,0.0,209.84661984443665,227
7,2020-12-11 07:00:00 to 2020-12-25 07:00:00,2020-12-26 07:00:00 to 2020-12-28 07:00:00,25,0.03,2,2.6820857300053285,0.1917833087806773,100.0,202.6231710910797,229
8,2020-12-14 07:00:00 to 2020-12-28 07:00:00,2020-12-29 07:00:00 to 2020-12-31 07:00:00,275,0.076,0,0.0,0.0,0.0,211.64867568016052,231
9,2020-12-17 07:00:00 to 2020-12-31 07:00:00,2021-01-01 07:00:00 to 2021-01-03 07:00:00,275,0.076,0,0.0,0.0,0.0,214.3249430656433,232
10,2020-12-20 07:00:00 to 2021-01-03 07:00:00,2021-01-04 07:00:00 to 2021-01-06 07:00:00,25,0.024,7,8.984016153021713,8.958183748765721,85.71428571428571,210.0965440273285,233
11,2020-12-23 07:00:00 to 2021-01-06 07:00:00,2021-01-07 07:00:00 to 2021-01-09 07:00:00,240,0.028,4,21.246910385901593,4.054550703938351,100.0,208.9678649902344,235
12,2020-12-26 07:00:00 to 2021-01-09 07:00:00,2021-01-10 07:00:00 to 2021-01-12 07:00:00,255,0.024,2,5.477942853611585,20.97568379956589,100.0,208.1524999141693,237
13,2020-12-29 07:00:00 to 2021-01-12 07:00:00,2021-01-13 07:00:00 to 2021-01-15 07:00:00,220,0.026,2,2.6111767702234645,0.8237794248533985,50.0,216.56361293792725,238
14,2021-01-01 07:00:00 to 2021-01-15 07:00:00,2021-01-16 07:00:00 to 2021-01-18 07:00:00,255,0.024,3,4.705408404824611,1.2080314474827425,100.0,218.8467788696289,239
15,2021-01-04 07:00:00 to 2021-01-18 07:00:00,2021-01-19 07:00:00 to 2021-01-21 07:00:00,35,0.048,2,5.264781464862063,1.73600838789466,100.0,223.56292700767517,241
16,2021-01-07 07:00:00 to 2021-01-21 07:00:00,2021-01-22 07:00:00 to 2021-01-24 07:00:00,90,0.02,3,12.903915811775915,2.8328469357912764,100.0,221.42913579940796,243
17,2021-01-10 07:00:00 to 2021-01-24 07:00:00,2021-01-25 07:00:00 to 2021-01-27 07:00:00,85,0.02,3,4.177416729427496,8.521042664069796,100.0,221.0117559432983,244
18,2021-01-13 07:00:00 to 2021-01-27 07:00:00,2021-01-28 07:00:00 to 2021-01-30 07:00:00,55,0.022,3,1.24038737976045,11.74445219877688,66.66666666666666,215.17510795593265,245
19,2021-01-16 07:00:00 to 2021-01-30 07:00:00,2021-01-31 07:00:00 to 2021-02-02 07:00:00,50,0.022,8,18.96643228299883,6.252110565849295,87.5,217.44110226631165,247
20,2021-01-19 07:00:00 to 2021-02-02 07:00:00,2021-02-03 07:00:00 to 2021-02-05 07:00:00,35,0.02,2,2.3514800803573963,6.277757456019453,100.0,221.6116979122162,249
21,2021-01-22 07:00:00 to 2021-02-05 07:00:00,2021-02-06 07:00:00 to 2021-02-08 07:00:00,35,0.02,5,-3.939946662424608,14.986983161787313,60.0,217.4895360469818,250
22,2021-01-25 07:00:00 to 2021-02-08 07:00:00,2021-02-09 07:00:00 to 2021-02-11 07:00:00,35,0.032,3,-2.2979137927082594,11.287903138144747,33.33333333333333,221.0114419460297,251
23,2021-01-28 07:00:00 to 2021-02-11 07:00:00,2021-02-12 07:00:00 to 2021-02-14 07:00:00,70,0.038,4,0.6674802258972523,13.52954602329098,50.0,225.58593821525577,253
24,2021-01-31 07:00:00 to 2021-02-14 07:00:00,2021-02-15 07:00:00 to 2021-02-17 07:00:00,70,0.046,4,12.18900172960426,10.02987323398571,75.0,223.8401288986206,255
25,2021-02-03 07:00:00 to 2021-02-17 07:00:00,2021-02-18 07:00:00 to 2021-02-20 07:00:00,70,0.068,2,5.271622701989545,2.635827429444605,100.0,225.8310248851776,256
26,2021-02-06 07:00:00 to 2021-02-20 07:00:00,2021-02-21 07:00:00 to 2021-02-23 07:00:00,70,0.068,2,-11.945078201740907,18.279716523786576,50.0,229.7663450241089,257
27,2021-02-09 07:00:00 to 2021-02-23 07:00:00,2021-02-24 07:00:00 to 2021-02-26 07:00:00,45,0.076,1,-12.46626975286743,14.050037729536433,0.0,226.74320697784424,259
28,2021-02-12 07:00:00 to 2021-02-26 07:00:00,2021-02-27 07:00:00 to 2021-03-01 07:00:00,270,0.078,1,0.1052043552454233,13.531358073178533,100.0,227.89668583869937,261
29,2021-02-15 07:00:00 to 2021-03-01 07:00:00,2021-03-02 07:00:00 to 2021-03-04 07:00:00,285,0.07,0,0.0,0.0,0.0,226.70945596694943,262
30,2021-02-18 07:00:00 to 2021-03-04 07:00:00,2021-03-05 07:00:00 to 2021-03-07 07:00:00,10,0.052,1,2.32300433099399,0.0,100.0,224.37653183937073,263
31,2021-02-21 07:00:00 to 2021-03-07 07:00:00,2021-03-08 07:00:00 to 2021-03-10 07:00:00,260,0.056,1,0.8587338770004317,3.222044337837861,100.0,218.6231799125671,265
32,2021-02-24 07:00:00 to 2021-03-10 07:00:00,2021-03-11 07:00:00 to 2021-03-13 07:00:00,135,0.06,2,2.7345033088188577,4.885877199843484,50.0,217.50016713142395,267
