Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-11-17 13:30:00 to 2023-12-01 13:30:00,2023-12-02 13:30:00 to 2023-12-04 13:30:00,295,0.064,0,0.0,0.0,0.0,209.15808510780337,765
2,2023-11-20 13:30:00 to 2023-12-04 13:30:00,2023-12-05 13:30:00 to 2023-12-07 13:30:00,60,0.04,1,2.2712581602373936,0.4573390866282411,100.0,209.67116713523865,766
3,2023-11-23 13:30:00 to 2023-12-07 13:30:00,2023-12-08 13:30:00 to 2023-12-10 13:30:00,20,0.028,3,-1.2064416382263152,3.891331078398869,33.33333333333333,205.71811819076535,767
4,2023-11-26 13:30:00 to 2023-12-10 13:30:00,2023-12-11 13:30:00 to 2023-12-13 13:30:00,175,0.022,2,6.5969828230653365,4.409999114097448,100.0,206.82035207748413,769
5,2023-11-29 13:30:00 to 2023-12-13 13:30:00,2023-12-14 13:30:00 to 2023-12-16 13:30:00,135,0.026,2,-7.270296437404614,11.469583825807147,50.0,209.4959259033203,771
6,2023-12-02 13:30:00 to 2023-12-16 13:30:00,2023-12-17 13:30:00 to 2023-12-19 13:30:00,85,0.02,3,2.8622356293300437,7.138789560320573,66.66666666666666,215.20987010002136,772
7,2023-12-05 13:30:00 to 2023-12-19 13:30:00,2023-12-20 13:30:00 to 2023-12-22 13:30:00,100,0.022,3,1.738962731291176,6.178843166737457,33.33333333333333,216.37238192558289,773
8,2023-12-08 13:30:00 to 2023-12-22 13:30:00,2023-12-23 13:30:00 to 2023-12-25 13:30:00,100,0.024,1,1.7668791278243043,1.417117242169971,100.0,216.55243921279907,775
9,2023-12-11 13:30:00 to 2023-12-25 13:30:00,2023-12-26 13:30:00 to 2023-12-28 13:30:00,85,0.026,4,4.406370506145176,3.700602936298107,75.0,211.710520029068,777
10,2023-12-14 13:30:00 to 2023-12-28 13:30:00,2023-12-29 13:30:00 to 2023-12-31 13:30:00,240,0.068,2,4.2278498959901665,2.7614441538725285,100.0,219.0162718296051,778
11,2023-12-17 13:30:00 to 2023-12-31 13:30:00,2024-01-01 13:30:00 to 2024-01-03 13:30:00,85,0.034,3,7.839534171495179,2.931422048939266,66.66666666666666,216.41307282447815,779
12,2023-12-20 13:30:00 to 2024-01-03 13:30:00,2024-01-04 13:30:00 to 2024-01-06 13:30:00,215,0.046,1,-3.2158137226150942,5.67424619290849,0.0,215.2100989818573,781
13,2023-12-23 13:30:00 to 2024-01-06 13:30:00,2024-01-07 13:30:00 to 2024-01-09 13:30:00,285,0.054,2,14.508636509813911,8.152129888266575,100.0,214.27302503585815,783
14,2023-12-26 13:30:00 to 2024-01-09 13:30:00,2024-01-10 13:30:00 to 2024-01-12 13:30:00,295,0.062,0,0.0,0.0,0.0,217.21746683120728,784
15,2023-12-29 13:30:00 to 2024-01-12 13:30:00,2024-01-13 13:30:00 to 2024-01-15 13:30:00,285,0.048,1,1.825156723511318,2.4700274904293,100.0,218.2759997844696,785
16,2024-01-01 13:30:00 to 2024-01-15 13:30:00,2024-01-16 13:30:00 to 2024-01-18 13:30:00,185,0.056,1,-0.7741538686987042,2.7999998739168865,0.0,220.7195167541504,787
17,2024-01-04 13:30:00 to 2024-01-18 13:30:00,2024-01-19 13:30:00 to 2024-01-21 13:30:00,300,0.046,1,-0.7957740126397584,9.097527661810444,0.0,218.86501789093015,789
18,2024-01-07 13:30:00 to 2024-01-21 13:30:00,2024-01-22 13:30:00 to 2024-01-24 13:30:00,55,0.048,1,0.6822230367793236,1.7076630388000065,100.0,213.225417137146,790
19,2024-01-10 13:30:00 to 2024-01-24 13:30:00,2024-01-25 13:30:00 to 2024-01-27 13:30:00,160,0.08,0,0.0,0.0,0.0,214.39419627189636,791
20,2024-01-13 13:30:00 to 2024-01-27 13:30:00,2024-01-28 13:30:00 to 2024-01-30 13:30:00,160,0.08,0,0.0,0.0,0.0,210.5704350471497,793
21,2024-01-16 13:30:00 to 2024-01-30 13:30:00,2024-01-31 13:30:00 to 2024-02-02 13:30:00,160,0.08,0,0.0,0.0,0.0,209.8731939792633,795
22,2024-01-19 13:30:00 to 2024-02-02 13:30:00,2024-02-03 13:30:00 to 2024-02-05 13:30:00,65,0.034,0,0.0,0.0,0.0,208.91891026496887,796
23,2024-01-22 13:30:00 to 2024-02-05 13:30:00,2024-02-06 13:30:00 to 2024-02-08 13:30:00,235,0.02,0,0.0,0.0,0.0,202.921865940094,797
24,2024-01-25 13:30:00 to 2024-02-08 13:30:00,2024-02-09 13:30:00 to 2024-02-11 13:30:00,75,0.022,0,0.0,0.0,0.0,201.43923211097717,799
25,2024-01-28 13:30:00 to 2024-02-11 13:30:00,2024-02-12 13:30:00 to 2024-02-14 13:30:00,25,0.02,3,5.598565317515149,2.0744722024961457,100.0,204.87452697753903,801
26,2024-01-31 13:30:00 to 2024-02-14 13:30:00,2024-02-15 13:30:00 to 2024-02-17 13:30:00,85,0.02,3,-1.938080990318631,8.226208260730091,33.33333333333333,201.2130069732666,802
27,2024-02-03 13:30:00 to 2024-02-17 13:30:00,2024-02-18 13:30:00 to 2024-02-20 13:30:00,35,0.024,1,0.9408098507515206,2.5251597435916664,100.0,200.54869413375857,803
28,2024-02-06 13:30:00 to 2024-02-20 13:30:00,2024-02-21 13:30:00 to 2024-02-23 13:30:00,105,0.02,3,1.4618840626230485,6.128746781159748,66.66666666666666,205.53225874900815,805
29,2024-02-09 13:30:00 to 2024-02-23 13:30:00,2024-02-24 13:30:00 to 2024-02-26 13:30:00,105,0.02,3,1.6911920122426636,2.7402417934367143,66.66666666666666,211.91322302818295,807
