Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-11-08 14:30:00 to 2023-11-22 14:30:00,2023-11-23 14:30:00 to 2023-11-25 14:30:00,45,0.034,0,0.0,0.0,0.0,208.13637399673465,760
2,2023-11-11 14:30:00 to 2023-11-25 14:30:00,2023-11-26 14:30:00 to 2023-11-28 14:30:00,20,0.02,3,0.0204919662052816,1.5160538434081896,33.33333333333333,202.52737402915955,761
3,2023-11-14 14:30:00 to 2023-11-28 14:30:00,2023-11-29 14:30:00 to 2023-12-01 14:30:00,295,0.046,1,0.2869660949341778,1.3023833965044138,100.0,199.894807100296,763
4,2023-11-17 14:30:00 to 2023-12-01 14:30:00,2023-12-02 14:30:00 to 2023-12-04 14:30:00,15,0.024,1,0.6554852187623146,0.2648883603086248,100.0,203.1295440196991,765
5,2023-11-20 14:30:00 to 2023-12-04 14:30:00,2023-12-05 14:30:00 to 2023-12-07 14:30:00,155,0.02,1,0.6571244567364738,1.0237524613303683,100.0,195.70316290855408,766
6,2023-11-23 14:30:00 to 2023-12-07 14:30:00,2023-12-08 14:30:00 to 2023-12-10 14:30:00,65,0.024,1,0.3522251308900376,0.6238406881077025,0.0,193.9376220703125,767
7,2023-11-26 14:30:00 to 2023-12-10 14:30:00,2023-12-11 14:30:00 to 2023-12-13 14:30:00,155,0.024,3,4.164456069855296,3.6193302543953454,66.66666666666666,194.5137701034546,769
8,2023-11-29 14:30:00 to 2023-12-13 14:30:00,2023-12-14 14:30:00 to 2023-12-16 14:30:00,160,0.02,1,0.9301861575178918,0.340202863961822,100.0,193.29179072380063,771
9,2023-12-02 14:30:00 to 2023-12-16 14:30:00,2023-12-17 14:30:00 to 2023-12-19 14:30:00,160,0.02,1,-2.063425285258545,7.666321026463343,0.0,196.23862624168396,772
10,2023-12-05 14:30:00 to 2023-12-19 14:30:00,2023-12-20 14:30:00 to 2023-12-22 14:30:00,170,0.02,0,0.0,0.0,0.0,197.5014131069183,773
11,2023-12-08 14:30:00 to 2023-12-22 14:30:00,2023-12-23 14:30:00 to 2023-12-25 14:30:00,170,0.02,1,0.9422488924687968,0.0718935147767963,100.0,197.00049591064453,775
12,2023-12-11 14:30:00 to 2023-12-25 14:30:00,2023-12-26 14:30:00 to 2023-12-28 14:30:00,270,0.05,0,0.0,0.0,0.0,191.13861799240112,777
13,2023-12-14 14:30:00 to 2023-12-28 14:30:00,2023-12-29 14:30:00 to 2023-12-31 14:30:00,275,0.02,3,3.141220439950939,1.0650460498311254,100.0,195.95909309387207,778
14,2023-12-17 14:30:00 to 2023-12-31 14:30:00,2024-01-01 14:30:00 to 2024-01-03 14:30:00,85,0.02,2,-1.5569525998871905,6.032079316976003,50.0,191.8915491104126,779
15,2023-12-20 14:30:00 to 2024-01-03 14:30:00,2024-01-04 14:30:00 to 2024-01-06 14:30:00,280,0.02,1,-4.395382057460155,7.180405323882323,0.0,193.5054337978363,781
16,2023-12-23 14:30:00 to 2024-01-06 14:30:00,2024-01-07 14:30:00 to 2024-01-09 14:30:00,135,0.024,1,-1.3390293971217395,9.066848455003996,0.0,197.10948729515076,783
17,2023-12-26 14:30:00 to 2024-01-09 14:30:00,2024-01-10 14:30:00 to 2024-01-12 14:30:00,225,0.052,0,0.0,0.0,0.0,194.9605700969696,784
18,2023-12-29 14:30:00 to 2024-01-12 14:30:00,2024-01-13 14:30:00 to 2024-01-15 14:30:00,225,0.052,0,0.0,0.0,0.0,200.96194100379944,785
19,2024-01-01 14:30:00 to 2024-01-15 14:30:00,2024-01-16 14:30:00 to 2024-01-18 14:30:00,175,0.052,0,0.0,0.0,0.0,203.3859870433807,787
20,2024-01-04 14:30:00 to 2024-01-18 14:30:00,2024-01-19 14:30:00 to 2024-01-21 14:30:00,300,0.052,1,2.1543029756537364,2.706466536615345,100.0,201.26210403442383,789
21,2024-01-07 14:30:00 to 2024-01-21 14:30:00,2024-01-22 14:30:00 to 2024-01-24 14:30:00,190,0.034,1,-3.7568107060885993,9.00999537240148,0.0,197.44459223747253,790
