Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-12-13 13:15:00 to 2024-12-27 13:15:00,2024-12-28 13:15:00 to 2024-12-30 13:15:00,225,0.068,0,0.0,0.0,0.0,214.36217212677,961
2,2024-12-16 13:15:00 to 2024-12-30 13:15:00,2024-12-31 13:15:00 to 2025-01-02 13:15:00,220,0.036,1,1.238631447794669,0.628210376678757,100.0,210.31103014945984,962
3,2024-12-19 13:15:00 to 2025-01-02 13:15:00,2025-01-03 13:15:00 to 2025-01-05 13:15:00,90,0.022,1,0.4882428947368498,0.413299776446442,0.0,204.74263095855713,963
4,2024-12-22 13:15:00 to 2025-01-05 13:15:00,2025-01-06 13:15:00 to 2025-01-08 13:15:00,205,0.038,1,-5.092433721999169,6.327574978855173,0.0,196.51158595085144,965
5,2024-12-25 13:15:00 to 2025-01-08 13:15:00,2025-01-09 13:15:00 to 2025-01-11 13:15:00,250,0.024,4,3.961694306879017,2.879062561121754,75.0,199.80253291130063,967
6,2024-12-28 13:15:00 to 2025-01-11 13:15:00,2025-01-12 13:15:00 to 2025-01-14 13:15:00,205,0.022,1,-11.799759996282992,17.56295558526795,0.0,201.68342089653015,968
7,2024-12-31 13:15:00 to 2025-01-14 13:15:00,2025-01-15 13:15:00 to 2025-01-17 13:15:00,185,0.08,0,0.0,0.0,0.0,198.7072949409485,969
8,2025-01-03 13:15:00 to 2025-01-17 13:15:00,2025-01-18 13:15:00 to 2025-01-20 13:15:00,185,0.08,1,5.194694351935668,6.0647498830652475,100.0,201.70272016525269,971
9,2025-01-06 13:15:00 to 2025-01-20 13:15:00,2025-01-21 13:15:00 to 2025-01-23 13:15:00,160,0.08,0,0.0,0.0,0.0,204.613862991333,973
10,2025-01-09 13:15:00 to 2025-01-23 13:15:00,2025-01-24 13:15:00 to 2025-01-26 13:15:00,95,0.026,2,1.3707225387905235,1.3191874653261804,100.0,201.55506300926208,974
11,2025-01-12 13:15:00 to 2025-01-26 13:15:00,2025-01-27 13:15:00 to 2025-01-29 13:15:00,115,0.036,3,7.927719429357348,5.4413321014949,100.0,205.9784390926361,975
12,2025-01-15 13:15:00 to 2025-01-29 13:15:00,2025-01-30 13:15:00 to 2025-02-01 13:15:00,125,0.052,0,0.0,0.0,0.0,205.28115105628967,977
13,2025-01-18 13:15:00 to 2025-02-01 13:15:00,2025-02-02 13:15:00 to 2025-02-04 13:15:00,155,0.026,2,-11.997498522025507,26.983918600301497,50.0,208.96978092193604,979
14,2025-01-21 13:15:00 to 2025-02-04 13:15:00,2025-02-05 13:15:00 to 2025-02-07 13:15:00,300,0.028,2,0.8079817672968966,3.9759860886726055,50.0,206.22401523590088,980
15,2025-01-24 13:15:00 to 2025-02-07 13:15:00,2025-02-08 13:15:00 to 2025-02-10 13:15:00,265,0.03,2,3.406103145058296,0.4612257457127331,100.0,210.5194969177246,981
16,2025-01-27 13:15:00 to 2025-02-10 13:15:00,2025-02-11 13:15:00 to 2025-02-13 13:15:00,25,0.068,0,0.0,0.0,0.0,207.8583800792694,983
17,2025-01-30 13:15:00 to 2025-02-13 13:15:00,2025-02-14 13:15:00 to 2025-02-16 13:15:00,25,0.068,0,0.0,0.0,0.0,209.20938229560852,985
18,2025-02-02 13:15:00 to 2025-02-16 13:15:00,2025-02-17 13:15:00 to 2025-02-19 13:15:00,60,0.056,1,-0.0927105373761696,2.788289162230899,0.0,207.38201117515564,986
19,2025-02-05 13:15:00 to 2025-02-19 13:15:00,2025-02-20 13:15:00 to 2025-02-22 13:15:00,165,0.024,2,-1.5130452284846978,7.6288693882704015,50.0,199.6236391067505,987
20,2025-02-08 13:15:00 to 2025-02-22 13:15:00,2025-02-23 13:15:00 to 2025-02-25 13:15:00,105,0.054,1,3.232936525504319,3.139209163919602,100.0,203.0000400543213,989
21,2025-02-11 13:15:00 to 2025-02-25 13:15:00,2025-02-26 13:15:00 to 2025-02-28 13:15:00,105,0.054,1,0.94585807009953,1.1984528330910806,0.0,201.2606008052826,991
22,2025-02-14 13:15:00 to 2025-02-28 13:15:00,2025-03-01 13:15:00 to 2025-03-03 13:15:00,130,0.056,0,0.0,0.0,0.0,199.3190860748291,992
23,2025-02-17 13:15:00 to 2025-03-03 13:15:00,2025-03-04 13:15:00 to 2025-03-06 13:15:00,115,0.056,1,2.208863963146505,1.569263447832979,100.0,201.74444007873535,993
24,2025-02-20 13:15:00 to 2025-03-06 13:15:00,2025-03-07 13:15:00 to 2025-03-09 13:15:00,145,0.04,0,0.0,0.0,0.0,201.57632994651792,995
