Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2024-12-16 13:30:00 to 2024-12-30 13:30:00,2024-12-31 13:30:00 to 2025-01-02 13:30:00,300,0.062,1,3.3202018642653637,5.350900058879179,100.0,220.51774883270264,962
2,2024-12-19 13:30:00 to 2025-01-02 13:30:00,2025-01-03 13:30:00 to 2025-01-05 13:30:00,25,0.026,0,0.0,0.0,0.0,213.93062615394592,963
3,2024-12-22 13:30:00 to 2025-01-05 13:30:00,2025-01-06 13:30:00 to 2025-01-08 13:30:00,300,0.066,1,-4.9090626196450105,6.599216616037106,0.0,206.30348682403564,965
4,2024-12-25 13:30:00 to 2025-01-08 13:30:00,2025-01-09 13:30:00 to 2025-01-11 13:30:00,285,0.064,1,-2.8281976198002123,6.9880300728553015,0.0,208.57593202590945,967
5,2024-12-28 13:30:00 to 2025-01-11 13:30:00,2025-01-12 13:30:00 to 2025-01-14 13:30:00,20,0.026,2,-5.381311596548731,7.799785371720354,50.0,206.37179327011108,968
6,2024-12-31 13:30:00 to 2025-01-14 13:30:00,2025-01-15 13:30:00 to 2025-01-17 13:30:00,50,0.048,0,0.0,0.0,0.0,205.24988508224487,969
7,2025-01-03 13:30:00 to 2025-01-17 13:30:00,2025-01-18 13:30:00 to 2025-01-20 13:30:00,50,0.048,3,6.223804065929817,3.751805857143271,66.66666666666666,207.15986108779907,971
8,2025-01-06 13:30:00 to 2025-01-20 13:30:00,2025-01-21 13:30:00 to 2025-01-23 13:30:00,50,0.048,2,3.4333097404199,0.9751543175932482,100.0,213.2363269329071,973
9,2025-01-09 13:30:00 to 2025-01-23 13:30:00,2025-01-24 13:30:00 to 2025-01-26 13:30:00,60,0.05,1,0.3310251578436146,2.1467015055852245,100.0,212.38099002838135,974
10,2025-01-12 13:30:00 to 2025-01-26 13:30:00,2025-01-27 13:30:00 to 2025-01-29 13:30:00,90,0.052,2,1.9028432994485591,7.487795615117538,100.0,211.08511686325073,975
11,2025-01-15 13:30:00 to 2025-01-29 13:30:00,2025-01-30 13:30:00 to 2025-02-01 13:30:00,70,0.052,0,0.0,0.0,0.0,210.6285753250122,977
12,2025-01-18 13:30:00 to 2025-02-01 13:30:00,2025-02-02 13:30:00 to 2025-02-04 13:30:00,135,0.068,1,-14.385504988709307,26.83645062667294,0.0,214.12630009651184,979
13,2025-01-21 13:30:00 to 2025-02-04 13:30:00,2025-02-05 13:30:00 to 2025-02-07 13:30:00,40,0.078,0,0.0,0.0,0.0,209.90533113479617,980
14,2025-01-24 13:30:00 to 2025-02-07 13:30:00,2025-02-08 13:30:00 to 2025-02-10 13:30:00,275,0.05,2,3.0624304085866605,1.2374952307643263,50.0,211.91499018669128,981
15,2025-01-27 13:30:00 to 2025-02-10 13:30:00,2025-02-11 13:30:00 to 2025-02-13 13:30:00,40,0.078,0,0.0,0.0,0.0,209.92630290985107,983
16,2025-01-30 13:30:00 to 2025-02-13 13:30:00,2025-02-14 13:30:00 to 2025-02-16 13:30:00,300,0.054,1,-0.7218165953243442,1.4415635115471317,0.0,210.48603415489197,985
17,2025-02-02 13:30:00 to 2025-02-16 13:30:00,2025-02-17 13:30:00 to 2025-02-19 13:30:00,60,0.032,1,-0.770011192176953,3.375971669387818,0.0,211.5336961746216,986
18,2025-02-05 13:30:00 to 2025-02-19 13:30:00,2025-02-20 13:30:00 to 2025-02-22 13:30:00,140,0.024,2,3.8506428248062545,1.8362311035722472,50.0,208.83109211921692,987
19,2025-02-08 13:30:00 to 2025-02-22 13:30:00,2025-02-23 13:30:00 to 2025-02-25 13:30:00,145,0.022,4,16.666230059942265,5.3295760176643245,100.0,207.5986511707306,989
20,2025-02-11 13:30:00 to 2025-02-25 13:30:00,2025-02-26 13:30:00 to 2025-02-28 13:30:00,20,0.022,7,-2.377890538662359,12.28369456804576,57.14285714285714,201.4002068042755,991
21,2025-02-14 13:30:00 to 2025-02-28 13:30:00,2025-03-01 13:30:00 to 2025-03-03 13:30:00,150,0.026,3,0.0458739697788041,7.168526075753356,66.66666666666666,211.18906903266907,992
22,2025-02-17 13:30:00 to 2025-03-03 13:30:00,2025-03-04 13:30:00 to 2025-03-06 13:30:00,155,0.022,4,-0.1773096335007721,7.8236792746205905,50.0,212.9780380725861,993
23,2025-02-20 13:30:00 to 2025-03-06 13:30:00,2025-03-07 13:30:00 to 2025-03-09 13:30:00,15,0.034,0,0.0,0.0,0.0,216.65032768249512,995
