Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-02-05 08:00:00 to 2020-02-19 08:00:00,2020-02-20 08:00:00 to 2020-02-22 08:00:00,70,0.028,2,0.978653088279043,4.490489110245175,100.0,204.91639137268064,74
2,2020-02-08 08:00:00 to 2020-02-22 08:00:00,2020-02-23 08:00:00 to 2020-02-25 08:00:00,75,0.024,2,-0.3665942683759385,2.522400526849795,50.0,206.29411721229553,75
3,2020-02-11 08:00:00 to 2020-02-25 08:00:00,2020-02-26 08:00:00 to 2020-02-28 08:00:00,70,0.026,4,1.6783847673472705,10.34800476326034,50.0,209.1383581161499,77
4,2020-02-14 08:00:00 to 2020-02-28 08:00:00,2020-02-29 08:00:00 to 2020-03-02 08:00:00,25,0.026,0,0.0,0.0,0.0,210.88558530807495,79
5,2020-02-17 08:00:00 to 2020-03-02 08:00:00,2020-03-03 08:00:00 to 2020-03-05 08:00:00,25,0.026,0,0.0,0.0,0.0,208.81154108047485,80
6,2020-02-20 08:00:00 to 2020-03-05 08:00:00,2020-03-06 08:00:00 to 2020-03-08 08:00:00,25,0.026,0,0.0,0.0,0.0,205.96332383155823,81
7,2020-02-23 08:00:00 to 2020-03-08 08:00:00,2020-03-09 08:00:00 to 2020-03-11 08:00:00,25,0.026,3,3.379777657613977,2.4380206742515167,100.0,205.61103296279907,83
8,2020-02-26 08:00:00 to 2020-03-11 08:00:00,2020-03-12 08:00:00 to 2020-03-14 08:00:00,30,0.022,6,-13.258947320314348,36.153282172919646,66.66666666666666,207.2085840702057,85
9,2020-02-29 08:00:00 to 2020-03-14 08:00:00,2020-03-15 08:00:00 to 2020-03-17 08:00:00,10,0.072,0,0.0,0.0,0.0,204.00689220428467,86
10,2020-03-03 08:00:00 to 2020-03-17 08:00:00,2020-03-18 08:00:00 to 2020-03-20 08:00:00,10,0.072,0,0.0,0.0,0.0,213.9086332321167,87
11,2020-03-06 08:00:00 to 2020-03-20 08:00:00,2020-03-21 08:00:00 to 2020-03-23 08:00:00,10,0.072,0,0.0,0.0,0.0,213.41754293441772,89
12,2020-03-09 08:00:00 to 2020-03-23 08:00:00,2020-03-24 08:00:00 to 2020-03-26 08:00:00,10,0.072,0,0.0,0.0,0.0,214.60513186454773,91
13,2020-03-12 08:00:00 to 2020-03-26 08:00:00,2020-03-27 08:00:00 to 2020-03-29 08:00:00,10,0.072,0,0.0,0.0,0.0,210.5134301185608,92
14,2020-03-15 08:00:00 to 2020-03-29 08:00:00,2020-03-30 08:00:00 to 2020-04-01 08:00:00,110,0.026,1,1.5523093220338888,0.2990619214528945,100.0,201.3737542629242,93
15,2020-03-18 08:00:00 to 2020-04-01 08:00:00,2020-04-02 08:00:00 to 2020-04-04 08:00:00,90,0.02,1,1.1835624211853792,0.0182684244991966,100.0,207.0061159133911,95
16,2020-03-21 08:00:00 to 2020-04-04 08:00:00,2020-04-05 08:00:00 to 2020-04-07 08:00:00,195,0.022,0,0.0,0.0,0.0,202.34810495376587,97
17,2020-03-24 08:00:00 to 2020-04-07 08:00:00,2020-04-08 08:00:00 to 2020-04-10 08:00:00,90,0.022,1,-4.86602134463068,6.61029434975088,0.0,204.52797508239743,98
18,2020-03-27 08:00:00 to 2020-04-10 08:00:00,2020-04-11 08:00:00 to 2020-04-13 08:00:00,240,0.026,2,0.7269333238501349,4.969471203232635,50.0,202.34274411201477,99
19,2020-03-30 08:00:00 to 2020-04-13 08:00:00,2020-04-14 08:00:00 to 2020-04-16 08:00:00,110,0.024,1,1.163120254998539,0.5917728194726259,100.0,201.76545095443728,101
20,2020-04-02 08:00:00 to 2020-04-16 08:00:00,2020-04-17 08:00:00 to 2020-04-19 08:00:00,250,0.02,0,0.0,0.0,0.0,202.79113698005676,103
21,2020-04-05 08:00:00 to 2020-04-19 08:00:00,2020-04-20 08:00:00 to 2020-04-22 08:00:00,250,0.02,1,-0.461435746718671,5.48089514955781,0.0,202.7797110080719,104
22,2020-04-08 08:00:00 to 2020-04-22 08:00:00,2020-04-23 08:00:00 to 2020-04-25 08:00:00,295,0.036,0,0.0,0.0,0.0,207.2872269153595,105
23,2020-04-11 08:00:00 to 2020-04-25 08:00:00,2020-04-26 08:00:00 to 2020-04-28 08:00:00,225,0.02,1,2.1357184476898694,1.9113117989465445,100.0,203.57499313354492,107
24,2020-04-14 08:00:00 to 2020-04-28 08:00:00,2020-04-29 08:00:00 to 2020-05-01 08:00:00,280,0.022,1,1.7580389872283195,1.0464428709319809,100.0,203.32797193527225,109
25,2020-04-17 08:00:00 to 2020-05-01 08:00:00,2020-05-02 08:00:00 to 2020-05-04 08:00:00,280,0.022,2,-0.1006948074383581,3.2304502848030547,50.0,205.10312485694885,110
26,2020-04-20 08:00:00 to 2020-05-04 08:00:00,2020-05-05 08:00:00 to 2020-05-07 08:00:00,110,0.02,1,0.8750092133238833,0.6949580679851289,0.0,201.2180140018463,111
27,2020-04-23 08:00:00 to 2020-05-07 08:00:00,2020-05-08 08:00:00 to 2020-05-10 08:00:00,285,0.022,1,0.4173084703519998,3.200739219712523,0.0,203.33293175697327,113
28,2020-04-26 08:00:00 to 2020-05-10 08:00:00,2020-05-11 08:00:00 to 2020-05-13 08:00:00,60,0.028,1,0.6974185987261262,1.357726743028297,100.0,205.4777159690857,115
29,2020-04-29 08:00:00 to 2020-05-13 08:00:00,2020-05-14 08:00:00 to 2020-05-16 08:00:00,60,0.028,0,0.0,0.0,0.0,204.99861812591553,116
30,2020-05-02 08:00:00 to 2020-05-16 08:00:00,2020-05-17 08:00:00 to 2020-05-19 08:00:00,40,0.022,0,0.0,0.0,0.0,206.89138317108151,117
31,2020-05-05 08:00:00 to 2020-05-19 08:00:00,2020-05-20 08:00:00 to 2020-05-22 08:00:00,65,0.024,2,3.1914606740386264,2.2511852362726077,100.0,203.8246660232544,119
32,2020-05-08 08:00:00 to 2020-05-22 08:00:00,2020-05-23 08:00:00 to 2020-05-25 08:00:00,65,0.024,2,1.2323732266016667,0.4531133054307647,50.0,207.10887098312375,121
33,2020-05-11 08:00:00 to 2020-05-25 08:00:00,2020-05-26 08:00:00 to 2020-05-28 08:00:00,65,0.024,0,0.0,0.0,0.0,199.79419779777527,122
34,2020-05-14 08:00:00 to 2020-05-28 08:00:00,2020-05-29 08:00:00 to 2020-05-31 08:00:00,65,0.024,0,0.0,0.0,0.0,203.78795790672305,123
35,2020-05-17 08:00:00 to 2020-05-31 08:00:00,2020-06-01 08:00:00 to 2020-06-03 08:00:00,225,0.03,2,1.141368423920976,0.9380692553658634,50.0,199.4077272415161,125
36,2020-05-20 08:00:00 to 2020-06-03 08:00:00,2020-06-04 08:00:00 to 2020-06-06 08:00:00,215,0.024,0,0.0,0.0,0.0,197.6728000640869,127
