Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-06-16 09:00:00 to 2020-06-30 09:00:00,2020-07-01 09:00:00 to 2020-07-03 09:00:00,35,0.022,1,0.0953982473223004,0.8948794213761092,100.0,205.4049141407013,140
2,2020-06-19 09:00:00 to 2020-07-03 09:00:00,2020-07-04 09:00:00 to 2020-07-06 09:00:00,35,0.022,0,0.0,0.0,0.0,207.00635313987732,141
3,2020-06-22 09:00:00 to 2020-07-06 09:00:00,2020-07-07 09:00:00 to 2020-07-09 09:00:00,35,0.022,1,1.4295939849623938,0.6730176098048731,100.0,205.98111701011655,143
4,2020-06-25 09:00:00 to 2020-07-09 09:00:00,2020-07-10 09:00:00 to 2020-07-12 09:00:00,255,0.02,1,3.6359131448253175,1.313447473052671,100.0,205.21126198768616,145
5,2020-06-28 09:00:00 to 2020-07-12 09:00:00,2020-07-13 09:00:00 to 2020-07-15 09:00:00,200,0.022,3,4.093867418463524,6.028359365695024,66.66666666666666,207.41976404190063,146
6,2020-07-01 09:00:00 to 2020-07-15 09:00:00,2020-07-16 09:00:00 to 2020-07-18 09:00:00,200,0.026,1,2.0988520578420324,1.1505107095125138,100.0,203.599200963974,147
7,2020-07-04 09:00:00 to 2020-07-18 09:00:00,2020-07-19 09:00:00 to 2020-07-21 09:00:00,80,0.022,4,4.887326011282803,3.5849294840710573,75.0,205.8951780796051,149
8,2020-07-07 09:00:00 to 2020-07-21 09:00:00,2020-07-22 09:00:00 to 2020-07-24 09:00:00,75,0.022,2,1.336818871139003,1.6799392650644986,50.0,208.36671781539917,151
9,2020-07-10 09:00:00 to 2020-07-24 09:00:00,2020-07-25 09:00:00 to 2020-07-27 09:00:00,75,0.022,3,4.481038837093929,2.2347038649243247,66.66666666666666,211.2310769557953,152
10,2020-07-13 09:00:00 to 2020-07-27 09:00:00,2020-07-28 09:00:00 to 2020-07-30 09:00:00,75,0.022,1,3.773385596204153,0.7936789217233947,100.0,209.38556790351868,153
11,2020-07-16 09:00:00 to 2020-07-30 09:00:00,2020-07-31 09:00:00 to 2020-08-02 09:00:00,75,0.022,2,4.129146634688095,2.1247309062887028,50.0,212.18628215789795,155
12,2020-07-19 09:00:00 to 2020-08-02 09:00:00,2020-08-03 09:00:00 to 2020-08-05 09:00:00,75,0.02,1,1.0266815533980662,0.5648546836495156,100.0,214.2693886756897,157
13,2020-07-22 09:00:00 to 2020-08-05 09:00:00,2020-08-06 09:00:00 to 2020-08-08 09:00:00,250,0.024,1,1.3611187227866504,0.0569384196634845,100.0,212.57673406600952,158
14,2020-07-25 09:00:00 to 2020-08-08 09:00:00,2020-08-09 09:00:00 to 2020-08-11 09:00:00,215,0.03,1,1.9269487619514625,0.6614750888698536,100.0,206.73967003822327,159
15,2020-07-28 09:00:00 to 2020-08-11 09:00:00,2020-08-12 09:00:00 to 2020-08-14 09:00:00,150,0.02,1,1.897588124680642,5.429667822092759,100.0,209.4955279827118,161
16,2020-07-31 09:00:00 to 2020-08-14 09:00:00,2020-08-15 09:00:00 to 2020-08-17 09:00:00,20,0.02,6,6.509434832591869,4.813536441031584,66.66666666666666,212.46862077713013,163
17,2020-08-03 09:00:00 to 2020-08-17 09:00:00,2020-08-18 09:00:00 to 2020-08-20 09:00:00,10,0.02,8,2.7098091668861706,7.23624417902275,75.0,212.9962899684906,164
18,2020-08-06 09:00:00 to 2020-08-20 09:00:00,2020-08-21 09:00:00 to 2020-08-23 09:00:00,100,0.024,1,-7.106619310766218,15.008144589430252,0.0,216.7875108718872,165
19,2020-08-09 09:00:00 to 2020-08-23 09:00:00,2020-08-24 09:00:00 to 2020-08-26 09:00:00,20,0.026,6,7.529050876755464,2.218290468033463,83.33333333333334,219.8939049243927,167
20,2020-08-12 09:00:00 to 2020-08-26 09:00:00,2020-08-27 09:00:00 to 2020-08-29 09:00:00,20,0.026,3,3.0583417186566297,0.9859936466951528,100.0,221.8505938053131,169
21,2020-08-15 09:00:00 to 2020-08-29 09:00:00,2020-08-30 09:00:00 to 2020-09-01 09:00:00,35,0.022,3,2.195096107308837,0.595626364390901,100.0,220.9535961151123,170
22,2020-08-18 09:00:00 to 2020-09-01 09:00:00,2020-09-02 09:00:00 to 2020-09-04 09:00:00,35,0.022,8,6.85130915707834,7.808219783461364,75.0,216.3171479701996,171
23,2020-08-21 09:00:00 to 2020-09-04 09:00:00,2020-09-05 09:00:00 to 2020-09-07 09:00:00,30,0.034,4,4.86651206411665,5.701611644633085,75.0,216.7476601600647,173
24,2020-08-24 09:00:00 to 2020-09-07 09:00:00,2020-09-08 09:00:00 to 2020-09-10 09:00:00,30,0.034,1,0.9875110851808676,1.107288926645241,100.0,217.2342529296875,175
25,2020-08-27 09:00:00 to 2020-09-10 09:00:00,2020-09-11 09:00:00 to 2020-09-13 09:00:00,30,0.04,0,0.0,0.0,0.0,213.53447818756104,176
26,2020-08-30 09:00:00 to 2020-09-13 09:00:00,2020-09-14 09:00:00 to 2020-09-16 09:00:00,35,0.046,1,-0.4917500703630685,2.7613438921842968,0.0,219.65897297859192,177
27,2020-09-02 09:00:00 to 2020-09-16 09:00:00,2020-09-17 09:00:00 to 2020-09-19 09:00:00,185,0.048,1,-1.0079036860879933,1.8631368531509895,0.0,222.1796772480011,179
28,2020-09-05 09:00:00 to 2020-09-19 09:00:00,2020-09-20 09:00:00 to 2020-09-22 09:00:00,155,0.03,1,-11.421558905450366,14.525635672514255,0.0,214.12585186958313,181
29,2020-09-08 09:00:00 to 2020-09-22 09:00:00,2020-09-23 09:00:00 to 2020-09-25 09:00:00,55,0.044,2,2.321441282348078,2.2564600224460225,100.0,212.54689598083496,182
30,2020-09-11 09:00:00 to 2020-09-25 09:00:00,2020-09-26 09:00:00 to 2020-09-28 09:00:00,255,0.04,0,0.0,0.0,0.0,215.74254488945007,183
31,2020-09-14 09:00:00 to 2020-09-28 09:00:00,2020-09-29 09:00:00 to 2020-10-01 09:00:00,225,0.036,1,1.739282162834061,0.1438321939092566,100.0,214.88721990585327,185
32,2020-09-17 09:00:00 to 2020-10-01 09:00:00,2020-10-02 09:00:00 to 2020-10-04 09:00:00,55,0.044,1,1.3953430098720492,4.855111907735809,100.0,213.5597367286682,187
33,2020-09-20 09:00:00 to 2020-10-04 09:00:00,2020-10-05 09:00:00 to 2020-10-07 09:00:00,190,0.034,1,-2.853828723485913,6.182029149980011,0.0,213.12734293937683,188
34,2020-09-23 09:00:00 to 2020-10-07 09:00:00,2020-10-08 09:00:00 to 2020-10-10 09:00:00,210,0.03,0,0.0,0.0,0.0,208.8185908794403,189
35,2020-09-26 09:00:00 to 2020-10-10 09:00:00,2020-10-11 09:00:00 to 2020-10-13 09:00:00,240,0.05,0,0.0,0.0,0.0,208.84914684295657,191
36,2020-09-29 09:00:00 to 2020-10-13 09:00:00,2020-10-14 09:00:00 to 2020-10-16 09:00:00,290,0.054,1,-4.87066590475868,5.933610524221513,0.0,211.51612210273743,193
37,2020-10-02 09:00:00 to 2020-10-16 09:00:00,2020-10-17 09:00:00 to 2020-10-19 09:00:00,60,0.02,0,0.0,0.0,0.0,206.5121772289276,194
38,2020-10-05 09:00:00 to 2020-10-19 09:00:00,2020-10-20 09:00:00 to 2020-10-22 09:00:00,60,0.02,1,-2.316779542514541,5.534862488839314,0.0,205.62937998771667,195
39,2020-10-08 09:00:00 to 2020-10-22 09:00:00,2020-10-23 09:00:00 to 2020-10-25 09:00:00,45,0.022,2,1.6539591420239412,0.5564610540977942,100.0,209.45654487609863,197
40,2020-10-11 09:00:00 to 2020-10-25 09:00:00,2020-10-26 09:00:00 to 2020-10-28 09:00:00,45,0.022,3,0.893367568276626,0.8047672266026712,66.66666666666666,206.43005108833313,199
41,2020-10-14 09:00:00 to 2020-10-28 09:00:00,2020-10-29 09:00:00 to 2020-10-31 09:00:00,45,0.02,2,-2.6995381491135957,7.012888513061761,50.0,207.319078207016,200
42,2020-10-17 09:00:00 to 2020-10-31 09:00:00,2020-11-01 09:00:00 to 2020-11-03 09:00:00,135,0.058,1,-0.2479080459770011,1.4548045977011497,0.0,206.6608259677887,201
43,2020-10-20 09:00:00 to 2020-11-03 09:00:00,2020-11-04 09:00:00 to 2020-11-06 09:00:00,135,0.058,0,0.0,0.0,0.0,212.61851906776428,203
44,2020-10-23 09:00:00 to 2020-11-06 09:00:00,2020-11-07 09:00:00 to 2020-11-09 09:00:00,160,0.044,1,6.458643592337449,2.281711828770913,100.0,208.04803705215457,205
45,2020-10-26 09:00:00 to 2020-11-09 09:00:00,2020-11-10 09:00:00 to 2020-11-12 09:00:00,155,0.038,1,0.6481665433012677,0.5461439285422414,0.0,211.19231629371643,206
46,2020-10-29 09:00:00 to 2020-11-12 09:00:00,2020-11-13 09:00:00 to 2020-11-15 09:00:00,300,0.024,2,5.245652420294519,1.2771572838987275,100.0,211.95611000061035,207
47,2020-11-01 09:00:00 to 2020-11-15 09:00:00,2020-11-16 09:00:00 to 2020-11-18 09:00:00,300,0.028,1,2.3073772032902524,0.5379784560569,100.0,210.31288504600525,209
48,2020-11-04 09:00:00 to 2020-11-18 09:00:00,2020-11-19 09:00:00 to 2020-11-21 09:00:00,300,0.028,1,1.4351312043093458,0.8640778040540069,100.0,210.9757421016693,211
49,2020-11-07 09:00:00 to 2020-11-21 09:00:00,2020-11-22 09:00:00 to 2020-11-24 09:00:00,40,0.02,5,4.907340289289168,6.035228576875771,100.0,206.33132123947144,212
50,2020-11-10 09:00:00 to 2020-11-24 09:00:00,2020-11-25 09:00:00 to 2020-11-27 09:00:00,145,0.024,1,-13.735546853616489,19.973505225014904,0.0,204.45185494422913,213
51,2020-11-13 09:00:00 to 2020-11-27 09:00:00,2020-11-28 09:00:00 to 2020-11-30 09:00:00,20,0.032,0,0.0,0.0,0.0,210.8126380443573,215
52,2020-11-16 09:00:00 to 2020-11-30 09:00:00,2020-12-01 09:00:00 to 2020-12-03 09:00:00,20,0.032,1,3.581738877980333,1.9132051601101736,100.0,207.8197271823883,217
53,2020-11-19 09:00:00 to 2020-12-03 09:00:00,2020-12-04 09:00:00 to 2020-12-06 09:00:00,20,0.032,2,0.618142390556477,2.844319190620367,100.0,210.8024110794067,218
54,2020-11-22 09:00:00 to 2020-12-06 09:00:00,2020-12-07 09:00:00 to 2020-12-09 09:00:00,20,0.032,1,0.1924245091401462,1.524697861074673,100.0,211.30853390693665,219
55,2020-11-25 09:00:00 to 2020-12-09 09:00:00,2020-12-10 09:00:00 to 2020-12-12 09:00:00,290,0.024,1,0.4198851054083207,7.16061080935996,100.0,212.36721897125244,221
56,2020-11-28 09:00:00 to 2020-12-12 09:00:00,2020-12-13 09:00:00 to 2020-12-15 09:00:00,40,0.02,1,0.5214951076320904,0.5847862135636402,100.0,216.87966799736023,223
57,2020-12-01 09:00:00 to 2020-12-15 09:00:00,2020-12-16 09:00:00 to 2020-12-18 09:00:00,40,0.022,3,4.538009797363211,2.683002118884135,66.66666666666666,208.5986168384552,224
58,2020-12-04 09:00:00 to 2020-12-18 09:00:00,2020-12-19 09:00:00 to 2020-12-21 09:00:00,40,0.022,4,3.053626086940858,4.203743955366187,75.0,205.75563597679135,225
59,2020-12-07 09:00:00 to 2020-12-21 09:00:00,2020-12-22 09:00:00 to 2020-12-24 09:00:00,40,0.022,4,-4.159747144435095,12.785727104905495,75.0,206.85111117362976,227
60,2020-12-10 09:00:00 to 2020-12-24 09:00:00,2020-12-25 09:00:00 to 2020-12-27 09:00:00,210,0.054,0,0.0,0.0,0.0,208.5897250175476,229
