Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-03-19 07:00:00 to 2021-04-02 07:00:00,2021-04-03 07:00:00 to 2021-04-05 07:00:00,80,0.02,4,0.0407500226278716,7.140997263837813,50.0,217.86245203018188,278
2,2021-03-22 07:00:00 to 2021-04-05 07:00:00,2021-04-06 07:00:00 to 2021-04-08 07:00:00,95,0.02,3,-7.403799895815337,18.518938884513258,66.66666666666666,209.77056574821472,279
3,2021-03-25 07:00:00 to 2021-04-08 07:00:00,2021-04-09 07:00:00 to 2021-04-11 07:00:00,15,0.022,4,-2.8230658393972954,10.622254439575675,75.0,202.23714995384216,281
4,2021-03-28 07:00:00 to 2021-04-11 07:00:00,2021-04-12 07:00:00 to 2021-04-14 07:00:00,85,0.02,3,-4.096557925426642,8.792291612173477,33.33333333333333,209.31942677497864,283
5,2021-03-31 07:00:00 to 2021-04-14 07:00:00,2021-04-15 07:00:00 to 2021-04-17 07:00:00,80,0.042,1,1.155872758122223,5.7100362773292765,100.0,210.69673705101013,284
6,2021-04-03 07:00:00 to 2021-04-17 07:00:00,2021-04-18 07:00:00 to 2021-04-20 07:00:00,80,0.042,2,-18.049392232327666,19.6247511213511,0.0,210.82451391220093,285
7,2021-04-06 07:00:00 to 2021-04-20 07:00:00,2021-04-21 07:00:00 to 2021-04-23 07:00:00,115,0.066,2,-9.342556523992734,13.084666103995188,50.0,217.52008986473083,287
8,2021-04-09 07:00:00 to 2021-04-23 07:00:00,2021-04-24 07:00:00 to 2021-04-26 07:00:00,170,0.08,2,3.665880905549348,4.713415285640432,50.0,218.5541820526123,289
9,2021-04-12 07:00:00 to 2021-04-26 07:00:00,2021-04-27 07:00:00 to 2021-04-29 07:00:00,190,0.08,0,0.0,0.0,0.0,213.51233196258545,290
10,2021-04-15 07:00:00 to 2021-04-29 07:00:00,2021-04-30 07:00:00 to 2021-05-02 07:00:00,120,0.078,0,0.0,0.0,0.0,217.7811839580536,291
11,2021-04-18 07:00:00 to 2021-05-02 07:00:00,2021-05-03 07:00:00 to 2021-05-05 07:00:00,190,0.026,3,1.0782125241215543,10.160558154488308,66.66666666666666,218.66977787017825,293
12,2021-04-21 07:00:00 to 2021-05-05 07:00:00,2021-05-06 07:00:00 to 2021-05-08 07:00:00,195,0.032,2,-0.7034065945480689,8.938254462306704,50.0,217.7279741764069,295
13,2021-04-24 07:00:00 to 2021-05-08 07:00:00,2021-05-09 07:00:00 to 2021-05-11 07:00:00,55,0.028,2,-6.317242653429221,12.691241224723296,50.0,210.6100630760193,296
14,2021-04-27 07:00:00 to 2021-05-11 07:00:00,2021-05-12 07:00:00 to 2021-05-14 07:00:00,105,0.062,1,-1.8446763430803548,12.508322470733225,0.0,213.95286202430725,297
15,2021-04-30 07:00:00 to 2021-05-14 07:00:00,2021-05-15 07:00:00 to 2021-05-17 07:00:00,100,0.062,2,2.93105238357095,6.266097732423569,50.0,216.83528184890747,299
16,2021-05-03 07:00:00 to 2021-05-17 07:00:00,2021-05-18 07:00:00 to 2021-05-20 07:00:00,100,0.062,1,-23.787517529322063,48.18490211096128,0.0,220.78595614433289,301
17,2021-05-06 07:00:00 to 2021-05-20 07:00:00,2021-05-21 07:00:00 to 2021-05-23 07:00:00,30,0.07,3,2.9278161303702475,10.43431678716128,66.66666666666666,220.96503114700317,302
18,2021-05-09 07:00:00 to 2021-05-23 07:00:00,2021-05-24 07:00:00 to 2021-05-26 07:00:00,10,0.08,0,0.0,0.0,0.0,219.8374071121216,303
19,2021-05-12 07:00:00 to 2021-05-26 07:00:00,2021-05-27 07:00:00 to 2021-05-29 07:00:00,20,0.078,1,2.746505134474337,2.2704750800128415,100.0,219.9118549823761,305
20,2021-05-15 07:00:00 to 2021-05-29 07:00:00,2021-05-30 07:00:00 to 2021-06-01 07:00:00,20,0.078,0,0.0,0.0,0.0,220.9581377506256,307
21,2021-05-18 07:00:00 to 2021-06-01 07:00:00,2021-06-02 07:00:00 to 2021-06-04 07:00:00,120,0.022,1,-7.265282091754452,8.278898427706453,0.0,220.99281907081604,308
22,2021-05-21 07:00:00 to 2021-06-04 07:00:00,2021-06-05 07:00:00 to 2021-06-07 07:00:00,230,0.08,1,1.5017886684197947,2.4025925048064587,100.0,213.13366293907168,309
23,2021-05-24 07:00:00 to 2021-06-07 07:00:00,2021-06-08 07:00:00 to 2021-06-10 07:00:00,30,0.032,3,2.3919370435308887,3.4665963681263263,66.66666666666666,211.7231228351593,311
24,2021-05-27 07:00:00 to 2021-06-10 07:00:00,2021-06-11 07:00:00 to 2021-06-13 07:00:00,10,0.026,2,-0.0360727732147279,1.0890781601801245,50.0,211.1410310268402,313
25,2021-05-30 07:00:00 to 2021-06-13 07:00:00,2021-06-14 07:00:00 to 2021-06-16 07:00:00,185,0.074,0,0.0,0.0,0.0,207.9857108592987,314
26,2021-06-02 07:00:00 to 2021-06-16 07:00:00,2021-06-17 07:00:00 to 2021-06-19 07:00:00,185,0.074,1,-1.3436312955337415,3.868176834577648,0.0,209.8768470287323,315
27,2021-06-05 07:00:00 to 2021-06-19 07:00:00,2021-06-20 07:00:00 to 2021-06-22 07:00:00,20,0.03,5,6.0413554033199395,5.510904700895862,60.0,209.6192979812622,317
28,2021-06-08 07:00:00 to 2021-06-22 07:00:00,2021-06-23 07:00:00 to 2021-06-25 07:00:00,45,0.058,0,0.0,0.0,0.0,207.59130597114563,319
29,2021-06-11 07:00:00 to 2021-06-25 07:00:00,2021-06-26 07:00:00 to 2021-06-28 07:00:00,45,0.056,1,1.9456035242290637,0.4559089182557905,100.0,207.74804711341855,320
30,2021-06-14 07:00:00 to 2021-06-28 07:00:00,2021-06-29 07:00:00 to 2021-07-01 07:00:00,50,0.056,0,0.0,0.0,0.0,211.91239500045776,321
31,2021-06-17 07:00:00 to 2021-07-01 07:00:00,2021-07-02 07:00:00 to 2021-07-04 07:00:00,50,0.056,0,0.0,0.0,0.0,214.31635928153992,323
32,2021-06-20 07:00:00 to 2021-07-04 07:00:00,2021-07-05 07:00:00 to 2021-07-07 07:00:00,260,0.02,0,0.0,0.0,0.0,211.15255331993103,325
33,2021-06-23 07:00:00 to 2021-07-07 07:00:00,2021-07-08 07:00:00 to 2021-07-10 07:00:00,10,0.022,8,6.096201923210865,2.6922615335850963,75.0,210.8074870109558,326
34,2021-06-26 07:00:00 to 2021-07-10 07:00:00,2021-07-11 07:00:00 to 2021-07-13 07:00:00,10,0.02,5,2.859179775126249,1.5663036456282342,80.0,206.00476789474487,327
35,2021-06-29 07:00:00 to 2021-07-13 07:00:00,2021-07-14 07:00:00 to 2021-07-16 07:00:00,10,0.02,7,3.3657154596129844,4.783222780276166,71.42857142857143,205.9656949043274,329
36,2021-07-02 07:00:00 to 2021-07-16 07:00:00,2021-07-17 07:00:00 to 2021-07-19 07:00:00,10,0.02,2,0.5693459024810363,0.9892689290801993,100.0,208.0104978084564,331
37,2021-07-05 07:00:00 to 2021-07-19 07:00:00,2021-07-20 07:00:00 to 2021-07-22 07:00:00,10,0.02,3,-6.430426004780856,8.457335412523243,33.33333333333333,211.9991409778595,332
38,2021-07-08 07:00:00 to 2021-07-22 07:00:00,2021-07-23 07:00:00 to 2021-07-25 07:00:00,55,0.038,2,2.3577508473370834,2.637447214117921,100.0,208.276340007782,333
39,2021-07-11 07:00:00 to 2021-07-25 07:00:00,2021-07-26 07:00:00 to 2021-07-28 07:00:00,65,0.022,5,8.920376597894938,5.588429435104682,100.0,210.72718691825867,335
40,2021-07-14 07:00:00 to 2021-07-28 07:00:00,2021-07-29 07:00:00 to 2021-07-31 07:00:00,30,0.02,5,4.4511416694112995,3.776121059864734,80.0,211.9063618183136,337
41,2021-07-17 07:00:00 to 2021-07-31 07:00:00,2021-08-01 07:00:00 to 2021-08-03 07:00:00,285,0.02,2,8.136254385338288,3.946071707168783,100.0,210.58996319770813,338
42,2021-07-20 07:00:00 to 2021-08-03 07:00:00,2021-08-04 07:00:00 to 2021-08-06 07:00:00,110,0.024,2,2.975277949410465,0.3642102016678657,100.0,208.27737712860107,339
43,2021-07-23 07:00:00 to 2021-08-06 07:00:00,2021-08-07 07:00:00 to 2021-08-09 07:00:00,110,0.024,1,-7.113914166240902,13.422024823312992,0.0,207.21372270584104,341
44,2021-07-26 07:00:00 to 2021-08-09 07:00:00,2021-08-10 07:00:00 to 2021-08-12 07:00:00,35,0.022,4,2.7369636734875895,3.773648574371687,50.0,203.32078289985657,343
45,2021-07-29 07:00:00 to 2021-08-12 07:00:00,2021-08-13 07:00:00 to 2021-08-15 07:00:00,35,0.02,2,4.239729023263481,1.698314692550462,100.0,205.52982687950137,344
46,2021-08-01 07:00:00 to 2021-08-15 07:00:00,2021-08-16 07:00:00 to 2021-08-18 07:00:00,35,0.028,3,-1.9852628704887685,10.7219844371323,66.66666666666666,203.37711191177368,345
47,2021-08-04 07:00:00 to 2021-08-18 07:00:00,2021-08-19 07:00:00 to 2021-08-21 07:00:00,15,0.024,2,1.3917919685988818,1.092804735829011,100.0,206.13260793685913,347
48,2021-08-07 07:00:00 to 2021-08-21 07:00:00,2021-08-22 07:00:00 to 2021-08-24 07:00:00,170,0.032,1,1.7081120132560137,1.1052021686410332,100.0,209.80866408348083,349
49,2021-08-10 07:00:00 to 2021-08-24 07:00:00,2021-08-25 07:00:00 to 2021-08-27 07:00:00,180,0.026,2,-1.861357403126658,9.283402387587936,50.0,206.53103494644165,350
50,2021-08-13 07:00:00 to 2021-08-27 07:00:00,2021-08-28 07:00:00 to 2021-08-30 07:00:00,285,0.056,0,0.0,0.0,0.0,212.52429580688477,351
51,2021-08-16 07:00:00 to 2021-08-30 07:00:00,2021-08-31 07:00:00 to 2021-09-02 07:00:00,235,0.042,1,2.412613599857232,0.5568871916727391,100.0,210.04205417633057,353
52,2021-08-19 07:00:00 to 2021-09-02 07:00:00,2021-09-03 07:00:00 to 2021-09-05 07:00:00,40,0.022,3,2.6371857588631067,0.3391653909503419,66.66666666666666,207.9934163093567,355
53,2021-08-22 07:00:00 to 2021-09-05 07:00:00,2021-09-06 07:00:00 to 2021-09-08 07:00:00,40,0.022,3,-19.949551401473,24.100223655093803,0.0,207.96246886253357,356
54,2021-08-25 07:00:00 to 2021-09-08 07:00:00,2021-09-09 07:00:00 to 2021-09-11 07:00:00,25,0.076,0,0.0,0.0,0.0,205.0717561244965,357
55,2021-08-28 07:00:00 to 2021-09-11 07:00:00,2021-09-12 07:00:00 to 2021-09-14 07:00:00,15,0.024,3,-1.3736035426800846,3.5931936017780934,66.66666666666666,208.43608212471008,359
56,2021-08-31 07:00:00 to 2021-09-14 07:00:00,2021-09-15 07:00:00 to 2021-09-17 07:00:00,15,0.024,1,0.9342288414133144,0.3029515696234783,100.0,206.46056413650513,361
57,2021-09-03 07:00:00 to 2021-09-17 07:00:00,2021-09-18 07:00:00 to 2021-09-20 07:00:00,15,0.024,1,-0.1404710801393776,1.0319289198606385,0.0,211.7869131565094,362
58,2021-09-06 07:00:00 to 2021-09-20 07:00:00,2021-09-21 07:00:00 to 2021-09-23 07:00:00,265,0.028,1,6.909847369935577,13.144524924911329,100.0,211.2783510684967,363
59,2021-09-09 07:00:00 to 2021-09-23 07:00:00,2021-09-24 07:00:00 to 2021-09-26 07:00:00,15,0.024,3,-2.7811511087160397,6.531130741837387,33.33333333333333,209.9787609577179,365
60,2021-09-12 07:00:00 to 2021-09-26 07:00:00,2021-09-27 07:00:00 to 2021-09-29 07:00:00,125,0.062,1,0.6184819642315961,2.478184063817085,100.0,206.1153998374939,367
61,2021-09-15 07:00:00 to 2021-09-29 07:00:00,2021-09-30 07:00:00 to 2021-10-02 07:00:00,130,0.062,0,0.0,0.0,0.0,209.34374594688416,368
62,2021-09-18 07:00:00 to 2021-10-02 07:00:00,2021-10-03 07:00:00 to 2021-10-05 07:00:00,300,0.068,0,0.0,0.0,0.0,208.81077885627747,369
63,2021-09-21 07:00:00 to 2021-10-05 07:00:00,2021-10-06 07:00:00 to 2021-10-08 07:00:00,65,0.02,5,12.258980735015305,4.415360677209361,100.0,202.16478514671329,371
64,2021-09-24 07:00:00 to 2021-10-08 07:00:00,2021-10-09 07:00:00 to 2021-10-11 07:00:00,25,0.02,2,1.144965967838816,3.8829609452076266,100.0,208.00855898857117,373
65,2021-09-27 07:00:00 to 2021-10-11 07:00:00,2021-10-12 07:00:00 to 2021-10-14 07:00:00,75,0.02,2,0.5700634531202741,6.499584730674415,50.0,205.0732421875,374
66,2021-09-30 07:00:00 to 2021-10-14 07:00:00,2021-10-15 07:00:00 to 2021-10-17 07:00:00,85,0.022,3,3.790870547445956,0.7674599524851605,66.66666666666666,210.6876618862152,375
67,2021-10-03 07:00:00 to 2021-10-17 07:00:00,2021-10-18 07:00:00 to 2021-10-20 07:00:00,65,0.024,1,-0.03600672897197,1.167993762155192,0.0,204.4615249633789,377
68,2021-10-06 07:00:00 to 2021-10-20 07:00:00,2021-10-21 07:00:00 to 2021-10-23 07:00:00,20,0.024,2,0.3500153488791147,2.7631943902608223,50.0,204.0029098987579,379
69,2021-10-09 07:00:00 to 2021-10-23 07:00:00,2021-10-24 07:00:00 to 2021-10-26 07:00:00,20,0.026,0,0.0,0.0,0.0,206.56856989860535,380
70,2021-10-12 07:00:00 to 2021-10-26 07:00:00,2021-10-27 07:00:00 to 2021-10-29 07:00:00,20,0.022,4,2.1799898881178343,4.939024390243904,75.0,203.68914794921875,381
71,2021-10-15 07:00:00 to 2021-10-29 07:00:00,2021-10-30 07:00:00 to 2021-11-01 07:00:00,265,0.066,0,0.0,0.0,0.0,202.83080410957336,383
72,2021-10-18 07:00:00 to 2021-11-01 07:00:00,2021-11-02 07:00:00 to 2021-11-04 07:00:00,35,0.022,3,3.216571200201015,1.708491131817334,100.0,199.33599591255188,385
73,2021-10-21 07:00:00 to 2021-11-04 07:00:00,2021-11-05 07:00:00 to 2021-11-07 07:00:00,35,0.022,2,2.3670638145766683,1.843407762391298,100.0,206.6240592002869,386
74,2021-10-24 07:00:00 to 2021-11-07 07:00:00,2021-11-08 07:00:00 to 2021-11-10 07:00:00,35,0.022,3,2.7868398149774114,1.9535055446486795,66.66666666666666,204.9704508781433,387
75,2021-10-27 07:00:00 to 2021-11-10 07:00:00,2021-11-11 07:00:00 to 2021-11-13 07:00:00,135,0.02,1,0.4505493984778695,11.66664366974278,100.0,204.5066978931427,389
76,2021-10-30 07:00:00 to 2021-11-13 07:00:00,2021-11-14 07:00:00 to 2021-11-16 07:00:00,95,0.02,2,-3.6580546706916537,8.431666186794702,50.0,209.766508102417,391
77,2021-11-02 07:00:00 to 2021-11-16 07:00:00,2021-11-17 07:00:00 to 2021-11-19 07:00:00,95,0.07,1,0.0756561914672238,1.8414904512291048,0.0,208.05746412277225,392
78,2021-11-05 07:00:00 to 2021-11-19 07:00:00,2021-11-20 07:00:00 to 2021-11-22 07:00:00,160,0.08,0,0.0,0.0,0.0,211.1519112586975,393
79,2021-11-08 07:00:00 to 2021-11-22 07:00:00,2021-11-23 07:00:00 to 2021-11-25 07:00:00,90,0.08,0,0.0,0.0,0.0,207.78605008125305,395
80,2021-11-11 07:00:00 to 2021-11-25 07:00:00,2021-11-26 07:00:00 to 2021-11-28 07:00:00,125,0.036,2,-2.431935123287386,8.41786571929719,0.0,211.5032210350037,397
81,2021-11-14 07:00:00 to 2021-11-28 07:00:00,2021-11-29 07:00:00 to 2021-12-01 07:00:00,150,0.068,0,0.0,0.0,0.0,213.42462968826297,398
82,2021-11-17 07:00:00 to 2021-12-01 07:00:00,2021-12-02 07:00:00 to 2021-12-04 07:00:00,150,0.034,2,-24.77844252219903,31.773048863236102,50.0,212.10586500167847,399
83,2021-11-20 07:00:00 to 2021-12-04 07:00:00,2021-12-05 07:00:00 to 2021-12-07 07:00:00,10,0.056,0,0.0,0.0,0.0,212.8145730495453,401
84,2021-11-23 07:00:00 to 2021-12-07 07:00:00,2021-12-08 07:00:00 to 2021-12-10 07:00:00,10,0.056,1,0.1965743830787505,0.8842241568121569,100.0,207.20250797271729,403
