Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-03-10 12:00:00 to 2023-03-24 12:00:00,2023-03-25 12:00:00 to 2023-03-27 12:00:00,70,0.052,0,0.0,0.0,0.0,216.7525119781494,639
2,2023-03-13 12:00:00 to 2023-03-27 12:00:00,2023-03-28 12:00:00 to 2023-03-30 12:00:00,110,0.066,1,3.1142232393326412,0.3981666132204252,100.0,217.43470287323,640
3,2023-03-16 12:00:00 to 2023-03-30 12:00:00,2023-03-31 12:00:00 to 2023-04-02 12:00:00,70,0.036,0,0.0,0.0,0.0,211.70095372200012,641
4,2023-03-19 12:00:00 to 2023-04-02 12:00:00,2023-04-03 12:00:00 to 2023-04-05 12:00:00,70,0.036,2,2.9104281646386334,1.1900820373222027,100.0,210.8509430885315,643
5,2023-03-22 12:00:00 to 2023-04-05 12:00:00,2023-04-06 12:00:00 to 2023-04-08 12:00:00,185,0.026,3,2.1797321459862724,2.087132948736942,66.66666666666666,208.5324161052704,645
6,2023-03-25 12:00:00 to 2023-04-08 12:00:00,2023-04-09 12:00:00 to 2023-04-11 12:00:00,185,0.026,1,-1.0754176453378932,3.2367974257928265,0.0,202.65574383735657,646
7,2023-03-28 12:00:00 to 2023-04-11 12:00:00,2023-04-12 12:00:00 to 2023-04-14 12:00:00,195,0.02,1,-0.6640355797199482,5.9804282520553125,0.0,202.3241012096405,647
8,2023-03-31 12:00:00 to 2023-04-14 12:00:00,2023-04-15 12:00:00 to 2023-04-17 12:00:00,200,0.042,1,0.0474185022026358,0.1464118285984453,0.0,203.2633879184723,649
9,2023-04-03 12:00:00 to 2023-04-17 12:00:00,2023-04-18 12:00:00 to 2023-04-20 12:00:00,35,0.02,4,-2.1211005228733484,7.567886330519571,75.0,200.4850912094116,651
10,2023-04-06 12:00:00 to 2023-04-20 12:00:00,2023-04-21 12:00:00 to 2023-04-23 12:00:00,30,0.02,1,-4.920992825145386,6.209463768214719,0.0,203.49047017097473,652
11,2023-04-09 12:00:00 to 2023-04-23 12:00:00,2023-04-24 12:00:00 to 2023-04-26 12:00:00,55,0.032,0,0.0,0.0,0.0,202.3784861564636,653
12,2023-04-12 12:00:00 to 2023-04-26 12:00:00,2023-04-27 12:00:00 to 2023-04-29 12:00:00,110,0.03,0,0.0,0.0,0.0,202.62139534950256,655
13,2023-04-15 12:00:00 to 2023-04-29 12:00:00,2023-04-30 12:00:00 to 2023-05-02 12:00:00,110,0.03,2,0.7207860189698476,2.8487355700459225,50.0,205.68633913993835,657
