Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-08-27 03:30:00 to 2021-09-10 03:30:00,2021-09-11 03:30:00 to 2021-09-13 03:30:00,75,0.076,0,0.0,0.0,0.0,217.9999861717224,359
2,2021-08-30 03:30:00 to 2021-09-13 03:30:00,2021-09-14 03:30:00 to 2021-09-16 03:30:00,10,0.02,2,0.6188594432857099,0.3946644922646932,100.0,217.38870406150815,360
3,2021-09-02 03:30:00 to 2021-09-16 03:30:00,2021-09-17 03:30:00 to 2021-09-19 03:30:00,10,0.02,4,1.0381228059645582,0.3562667381348527,100.0,215.31040000915527,361
4,2021-09-05 03:30:00 to 2021-09-19 03:30:00,2021-09-20 03:30:00 to 2021-09-22 03:30:00,265,0.038,1,-17.159006160709524,22.456040902031813,0.0,215.36498403549191,363
5,2021-09-08 03:30:00 to 2021-09-22 03:30:00,2021-09-23 03:30:00 to 2021-09-25 03:30:00,10,0.02,6,-6.72557308990361,12.250919613514723,83.33333333333334,215.26883029937744,365
6,2021-09-11 03:30:00 to 2021-09-25 03:30:00,2021-09-26 03:30:00 to 2021-09-28 03:30:00,10,0.022,5,3.5415878899980635,0.8984581408902713,100.0,215.01407837867737,366
7,2021-09-14 03:30:00 to 2021-09-28 03:30:00,2021-09-29 03:30:00 to 2021-10-01 03:30:00,295,0.036,2,3.9524115908166824,0.6423678902352227,100.0,214.90728497505188,367
8,2021-09-17 03:30:00 to 2021-10-01 03:30:00,2021-10-02 03:30:00 to 2021-10-04 03:30:00,15,0.022,6,3.662043446124844,0.5823394609010393,83.33333333333334,210.91956782341003,369
9,2021-09-20 03:30:00 to 2021-10-04 03:30:00,2021-10-05 03:30:00 to 2021-10-07 03:30:00,300,0.038,1,0.8241774170281133,0.8330042300303756,0.0,213.4742157459259,371
10,2021-09-23 03:30:00 to 2021-10-07 03:30:00,2021-10-08 03:30:00 to 2021-10-10 03:30:00,285,0.032,1,-0.5169836386780117,2.6135509615923014,0.0,212.92580723762512,372
11,2021-09-26 03:30:00 to 2021-10-10 03:30:00,2021-10-11 03:30:00 to 2021-10-13 03:30:00,80,0.02,1,-5.386670372972694,13.035446088259087,0.0,208.4014108181,373
12,2021-09-29 03:30:00 to 2021-10-13 03:30:00,2021-10-14 03:30:00 to 2021-10-16 03:30:00,70,0.02,2,3.874233798319219,1.4835159441020576,100.0,211.0079770088196,375
13,2021-10-02 03:30:00 to 2021-10-16 03:30:00,2021-10-17 03:30:00 to 2021-10-19 03:30:00,75,0.02,4,4.994447255009781,3.675348308042744,75.0,210.4991409778595,377
14,2021-10-05 03:30:00 to 2021-10-19 03:30:00,2021-10-20 03:30:00 to 2021-10-22 03:30:00,70,0.02,1,2.6268847214482594,1.7252165458142834,0.0,208.81421995162964,378
15,2021-10-08 03:30:00 to 2021-10-22 03:30:00,2021-10-23 03:30:00 to 2021-10-25 03:30:00,55,0.02,1,0.0080805641649931,2.365577499935189,100.0,206.7111361026764,379
16,2021-10-11 03:30:00 to 2021-10-25 03:30:00,2021-10-26 03:30:00 to 2021-10-28 03:30:00,125,0.028,1,-13.813394685363509,17.5021673937716,0.0,206.59355998039248,381
17,2021-10-14 03:30:00 to 2021-10-28 03:30:00,2021-10-29 03:30:00 to 2021-10-31 03:30:00,85,0.02,2,-4.992423922628205,6.914782779668955,50.0,208.63414192199707,383
18,2021-10-17 03:30:00 to 2021-10-31 03:30:00,2021-11-01 03:30:00 to 2021-11-03 03:30:00,120,0.024,1,1.3887361768211122,0.2481547962232518,100.0,207.53956413269043,384
19,2021-10-20 03:30:00 to 2021-11-03 03:30:00,2021-11-04 03:30:00 to 2021-11-06 03:30:00,85,0.02,3,2.5013039445738285,4.867568577271563,66.66666666666666,207.08931422233584,385
20,2021-10-23 03:30:00 to 2021-11-06 03:30:00,2021-11-07 03:30:00 to 2021-11-09 03:30:00,85,0.02,0,0.0,0.0,0.0,207.7487552165985,387
21,2021-10-26 03:30:00 to 2021-11-09 03:30:00,2021-11-10 03:30:00 to 2021-11-12 03:30:00,85,0.02,3,3.4191394075080463,6.651205369059672,66.66666666666666,209.34934306144712,389
22,2021-10-29 03:30:00 to 2021-11-12 03:30:00,2021-11-13 03:30:00 to 2021-11-15 03:30:00,50,0.022,3,0.5684615894027228,4.15879556293856,33.33333333333333,207.5955381393433,390
23,2021-11-01 03:30:00 to 2021-11-15 03:30:00,2021-11-16 03:30:00 to 2021-11-18 03:30:00,50,0.022,3,-3.51551842959072,12.938178938315978,66.66666666666666,211.43256998062137,391
24,2021-11-04 03:30:00 to 2021-11-18 03:30:00,2021-11-19 03:30:00 to 2021-11-21 03:30:00,25,0.04,0,0.0,0.0,0.0,212.5247917175293,393
25,2021-11-07 03:30:00 to 2021-11-21 03:30:00,2021-11-22 03:30:00 to 2021-11-24 03:30:00,25,0.04,1,1.087271135380979,0.8384770077263238,100.0,211.85951709747312,395
26,2021-11-10 03:30:00 to 2021-11-24 03:30:00,2021-11-25 03:30:00 to 2021-11-27 03:30:00,25,0.04,1,-2.1349540437119683,9.669579368270538,0.0,215.24362111091617,396
