Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2020-12-08 07:30:00 to 2020-12-22 07:30:00,2020-12-23 07:30:00 to 2020-12-25 07:30:00,45,0.04,3,-8.887964128109669,23.382352231468193,33.33333333333333,216.80048370361328,227
2,2020-12-11 07:30:00 to 2020-12-25 07:30:00,2020-12-26 07:30:00 to 2020-12-28 07:30:00,50,0.062,1,2.308055779816496,0.2106407339449651,100.0,209.16502404212952,229
3,2020-12-14 07:30:00 to 2020-12-28 07:30:00,2020-12-29 07:30:00 to 2020-12-31 07:30:00,45,0.06,1,1.306258383785789,4.6970552638661225,100.0,211.1405839920044,231
4,2020-12-17 07:30:00 to 2020-12-31 07:30:00,2021-01-01 07:30:00 to 2021-01-03 07:30:00,45,0.06,0,0.0,0.0,0.0,210.97194075584412,232
5,2020-12-20 07:30:00 to 2021-01-03 07:30:00,2021-01-04 07:30:00 to 2021-01-06 07:30:00,45,0.06,1,2.9165075969369174,0.5927925582054043,100.0,209.6158812046051,233
6,2020-12-23 07:30:00 to 2021-01-06 07:30:00,2021-01-07 07:30:00 to 2021-01-09 07:30:00,85,0.02,2,4.2942879552876185,14.146833529568166,50.0,210.4784610271454,235
7,2020-12-26 07:30:00 to 2021-01-09 07:30:00,2021-01-10 07:30:00 to 2021-01-12 07:30:00,140,0.02,1,-9.733666975672476,18.748977228825648,0.0,208.1821880340576,237
8,2020-12-29 07:30:00 to 2021-01-12 07:30:00,2021-01-13 07:30:00 to 2021-01-15 07:30:00,35,0.026,2,2.2352517389814968,1.0657877171590275,100.0,208.65327978134155,238
9,2021-01-01 07:30:00 to 2021-01-15 07:30:00,2021-01-16 07:30:00 to 2021-01-18 07:30:00,85,0.022,2,7.581690811893331,8.330733503954752,100.0,206.84855675697327,239
10,2021-01-04 07:30:00 to 2021-01-18 07:30:00,2021-01-19 07:30:00 to 2021-01-21 07:30:00,85,0.022,2,-2.565190797820669,10.637241110947164,50.0,211.43572092056272,241
11,2021-01-07 07:30:00 to 2021-01-21 07:30:00,2021-01-22 07:30:00 to 2021-01-24 07:30:00,35,0.044,1,-1.554186526579433,10.87130704539466,0.0,211.7961847782135,243
12,2021-01-10 07:30:00 to 2021-01-24 07:30:00,2021-01-25 07:30:00 to 2021-01-27 07:30:00,35,0.05,1,2.504220051980774,0.9077790796122344,100.0,209.48131275177,244
13,2021-01-13 07:30:00 to 2021-01-27 07:30:00,2021-01-28 07:30:00 to 2021-01-30 07:30:00,40,0.03,2,-1.2251886626100712,4.26204752875596,0.0,210.0959939956665,245
14,2021-01-16 07:30:00 to 2021-01-30 07:30:00,2021-01-31 07:30:00 to 2021-02-02 07:30:00,105,0.07,0,0.0,0.0,0.0,210.4796380996704,247
15,2021-01-19 07:30:00 to 2021-02-02 07:30:00,2021-02-03 07:30:00 to 2021-02-05 07:30:00,260,0.032,0,0.0,0.0,0.0,214.10083889961243,249
16,2021-01-22 07:30:00 to 2021-02-05 07:30:00,2021-02-06 07:30:00 to 2021-02-08 07:30:00,140,0.02,2,3.252510447697332,9.71724995972168,50.0,209.58051586151123,250
17,2021-01-25 07:30:00 to 2021-02-08 07:30:00,2021-02-09 07:30:00 to 2021-02-11 07:30:00,220,0.034,0,0.0,0.0,0.0,214.88342595100403,251
18,2021-01-28 07:30:00 to 2021-02-11 07:30:00,2021-02-12 07:30:00 to 2021-02-14 07:30:00,105,0.022,4,16.047497744721024,5.300281850297535,75.0,208.06364178657532,253
19,2021-01-31 07:30:00 to 2021-02-14 07:30:00,2021-02-15 07:30:00 to 2021-02-17 07:30:00,105,0.022,3,-13.022491318797766,20.878564629400916,33.33333333333333,211.5188140869141,255
20,2021-02-03 07:30:00 to 2021-02-17 07:30:00,2021-02-18 07:30:00 to 2021-02-20 07:30:00,10,0.032,3,1.8186808267813468,0.8799875582191258,100.0,216.1373550891876,256
21,2021-02-06 07:30:00 to 2021-02-20 07:30:00,2021-02-21 07:30:00 to 2021-02-23 07:30:00,10,0.032,5,0.4810509602805905,10.899032522821129,60.0,211.9816267490387,257
22,2021-02-09 07:30:00 to 2021-02-23 07:30:00,2021-02-24 07:30:00 to 2021-02-26 07:30:00,140,0.074,2,-4.829876948034707,9.316407588895066,50.0,222.22674703598025,259
23,2021-02-12 07:30:00 to 2021-02-26 07:30:00,2021-02-27 07:30:00 to 2021-03-01 07:30:00,275,0.076,2,8.308090031753435,4.087554382399738,100.0,221.79688501358032,261
24,2021-02-15 07:30:00 to 2021-03-01 07:30:00,2021-03-02 07:30:00 to 2021-03-04 07:30:00,135,0.072,0,0.0,0.0,0.0,224.9804480075836,262
25,2021-02-18 07:30:00 to 2021-03-04 07:30:00,2021-03-05 07:30:00 to 2021-03-07 07:30:00,135,0.072,1,6.111260226603899,2.3633014224117046,100.0,228.2160041332245,263
26,2021-02-21 07:30:00 to 2021-03-07 07:30:00,2021-03-08 07:30:00 to 2021-03-10 07:30:00,130,0.038,1,2.853096547930127,0.4512260349332973,100.0,226.0667622089386,265
27,2021-02-24 07:30:00 to 2021-03-10 07:30:00,2021-03-11 07:30:00 to 2021-03-13 07:30:00,185,0.02,4,9.865701481705964,3.3917133665216257,75.0,216.20833373069763,267
28,2021-02-27 07:30:00 to 2021-03-13 07:30:00,2021-03-14 07:30:00 to 2021-03-16 07:30:00,55,0.02,4,-1.993352893847714,9.541025639137326,75.0,213.64826107025144,268
