Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2025-01-23 17:00:00 to 2025-02-06 17:00:00,2025-02-07 17:00:00 to 2025-02-09 17:00:00,10,0.068,0,0.0,0.0,0.0,229.93126320838928,981
2,2025-01-26 17:00:00 to 2025-02-09 17:00:00,2025-02-10 17:00:00 to 2025-02-12 17:00:00,40,0.08,0,0.0,0.0,0.0,222.3214988708496,983
3,2025-01-29 17:00:00 to 2025-02-12 17:00:00,2025-02-13 17:00:00 to 2025-02-15 17:00:00,10,0.068,0,0.0,0.0,0.0,228.1251010894775,984
4,2025-02-01 17:00:00 to 2025-02-15 17:00:00,2025-02-16 17:00:00 to 2025-02-18 17:00:00,135,0.04,2,-4.3878672114933215,6.380374428442479,0.0,223.21713185310364,985
5,2025-02-04 17:00:00 to 2025-02-18 17:00:00,2025-02-19 17:00:00 to 2025-02-21 17:00:00,200,0.05,0,0.0,0.0,0.0,225.2951648235321,987
6,2025-02-07 17:00:00 to 2025-02-21 17:00:00,2025-02-22 17:00:00 to 2025-02-24 17:00:00,200,0.052,1,-1.5697241379310434,2.397688901920123,0.0,218.5077848434448,989
7,2025-02-10 17:00:00 to 2025-02-24 17:00:00,2025-02-25 17:00:00 to 2025-02-27 17:00:00,95,0.028,2,-2.462136756434047,8.400534907103872,0.0,223.70365118980408,990
8,2025-02-13 17:00:00 to 2025-02-27 17:00:00,2025-02-28 17:00:00 to 2025-03-02 17:00:00,295,0.078,2,7.119609853013571,1.230689986976917,100.0,224.41410875320437,991
9,2025-02-16 17:00:00 to 2025-03-02 17:00:00,2025-03-03 17:00:00 to 2025-03-05 17:00:00,190,0.036,1,-11.167330965045604,15.008905247722693,0.0,219.1639552116394,993
10,2025-02-19 17:00:00 to 2025-03-05 17:00:00,2025-03-06 17:00:00 to 2025-03-08 17:00:00,295,0.078,0,0.0,0.0,0.0,223.2831130027771,995
