Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
2,2019-09-11 17:45:00 to 2019-09-25 17:45:00,2019-09-26 17:45:00 to 2019-09-28 17:45:00,45,0.048,0,0.0,0.0,0.0,194.19603204727173,1
3,2019-09-14 17:45:00 to 2019-09-28 17:45:00,2019-09-29 17:45:00 to 2019-10-01 17:45:00,45,0.048,0,0.0,0.0,0.0,196.00923776626587,3
4,2019-09-17 17:45:00 to 2019-10-01 17:45:00,2019-10-02 17:45:00 to 2019-10-04 17:45:00,45,0.048,0,0.0,0.0,0.0,196.3886308670044,4
5,2019-09-20 17:45:00 to 2019-10-04 17:45:00,2019-10-05 17:45:00 to 2019-10-07 17:45:00,45,0.048,0,0.0,0.0,0.0,196.83807373046875,5
6,2019-09-23 17:45:00 to 2019-10-07 17:45:00,2019-10-08 17:45:00 to 2019-10-10 17:45:00,285,0.02,0,0.0,0.0,0.0,195.4169352054596,7
7,2019-09-26 17:45:00 to 2019-10-10 17:45:00,2019-10-11 17:45:00 to 2019-10-13 17:45:00,220,0.02,1,0.2886282950090935,0.5557838326042278,100.0,191.96917581558228,9
8,2019-09-29 17:45:00 to 2019-10-13 17:45:00,2019-10-14 17:45:00 to 2019-10-16 17:45:00,295,0.02,1,-0.448183742546862,0.5883709911053884,0.0,191.98922610282895,10
9,2019-10-02 17:45:00 to 2019-10-16 17:45:00,2019-10-17 17:45:00 to 2019-10-19 17:45:00,295,0.02,1,0.2715836004584708,1.3083864757056196,100.0,192.88611102104187,11
10,2019-10-05 17:45:00 to 2019-10-19 17:45:00,2019-10-20 17:45:00 to 2019-10-22 17:45:00,255,0.022,0,0.0,0.0,0.0,190.07401394844055,13
11,2019-10-08 17:45:00 to 2019-10-22 17:45:00,2019-10-23 17:45:00 to 2019-10-25 17:45:00,255,0.022,1,-1.3259580504065342,4.3886752170462815,0.0,191.47145199775696,15
12,2019-10-11 17:45:00 to 2019-10-25 17:45:00,2019-10-26 17:45:00 to 2019-10-28 17:45:00,300,0.046,0,0.0,0.0,0.0,194.34305000305176,16
13,2019-10-14 17:45:00 to 2019-10-28 17:45:00,2019-10-29 17:45:00 to 2019-10-31 17:45:00,300,0.046,0,0.0,0.0,0.0,193.9729549884796,17
14,2019-10-17 17:45:00 to 2019-10-31 17:45:00,2019-11-01 17:45:00 to 2019-11-03 17:45:00,300,0.022,0,0.0,0.0,0.0,196.9598970413208,19
15,2019-10-20 17:45:00 to 2019-11-03 17:45:00,2019-11-04 17:45:00 to 2019-11-06 17:45:00,300,0.02,0,0.0,0.0,0.0,200.5211451053619,21
16,2019-10-23 17:45:00 to 2019-11-06 17:45:00,2019-11-07 17:45:00 to 2019-11-09 17:45:00,300,0.02,1,-2.200035862561472,3.076121682514944,0.0,192.88043332099917,22
17,2019-10-26 17:45:00 to 2019-11-09 17:45:00,2019-11-10 17:45:00 to 2019-11-12 17:45:00,195,0.02,1,0.3651315067544055,0.946358634835938,0.0,192.8315691947937,23
18,2019-10-29 17:45:00 to 2019-11-12 17:45:00,2019-11-13 17:45:00 to 2019-11-15 17:45:00,220,0.024,0,0.0,0.0,0.0,191.6507239341736,25
19,2019-11-01 17:45:00 to 2019-11-15 17:45:00,2019-11-16 17:45:00 to 2019-11-18 17:45:00,290,0.024,0,0.0,0.0,0.0,193.0674910545349,27
20,2019-11-04 17:45:00 to 2019-11-18 17:45:00,2019-11-19 17:45:00 to 2019-11-21 17:45:00,290,0.024,1,-5.552908892911128,5.566431045575519,0.0,199.67620420455933,28
21,2019-11-07 17:45:00 to 2019-11-21 17:45:00,2019-11-22 17:45:00 to 2019-11-24 17:45:00,80,0.028,2,2.803338228589201,3.0934177447246753,50.0,197.48130106925964,29
22,2019-11-10 17:45:00 to 2019-11-24 17:45:00,2019-11-25 17:45:00 to 2019-11-27 17:45:00,120,0.046,1,1.1579556939192663,1.3400342316582643,100.0,198.44136214256287,31
23,2019-11-13 17:45:00 to 2019-11-27 17:45:00,2019-11-28 17:45:00 to 2019-11-30 17:45:00,230,0.054,0,0.0,0.0,0.0,202.74290204048157,33
24,2019-11-16 17:45:00 to 2019-11-30 17:45:00,2019-12-01 17:45:00 to 2019-12-03 17:45:00,230,0.054,0,0.0,0.0,0.0,204.87631273269653,34
25,2019-11-19 17:45:00 to 2019-12-03 17:45:00,2019-12-04 17:45:00 to 2019-12-06 17:45:00,200,0.042,0,0.0,0.0,0.0,203.32648491859436,35
26,2019-11-22 17:45:00 to 2019-12-06 17:45:00,2019-12-07 17:45:00 to 2019-12-09 17:45:00,240,0.02,0,0.0,0.0,0.0,201.68840217590332,37
27,2019-11-25 17:45:00 to 2019-12-09 17:45:00,2019-12-10 17:45:00 to 2019-12-12 17:45:00,135,0.02,1,-0.4018161786225028,0.8844772252122698,0.0,198.6034390926361,39
28,2019-11-28 17:45:00 to 2019-12-12 17:45:00,2019-12-13 17:45:00 to 2019-12-15 17:45:00,300,0.028,0,0.0,0.0,0.0,200.76430678367615,40
29,2019-12-01 17:45:00 to 2019-12-15 17:45:00,2019-12-16 17:45:00 to 2019-12-18 17:45:00,240,0.02,1,-0.0248821804839826,5.304162242253508,0.0,195.50332307815552,41
30,2019-12-04 17:45:00 to 2019-12-18 17:45:00,2019-12-19 17:45:00 to 2019-12-21 17:45:00,225,0.034,0,0.0,0.0,0.0,197.9591269493103,43
31,2019-12-07 17:45:00 to 2019-12-21 17:45:00,2019-12-22 17:45:00 to 2019-12-24 17:45:00,225,0.034,0,0.0,0.0,0.0,199.4119129180908,45
32,2019-12-10 17:45:00 to 2019-12-24 17:45:00,2019-12-25 17:45:00 to 2019-12-27 17:45:00,225,0.034,0,0.0,0.0,0.0,194.31380200386047,46
33,2019-12-13 17:45:00 to 2019-12-27 17:45:00,2019-12-28 17:45:00 to 2019-12-30 17:45:00,260,0.032,0,0.0,0.0,0.0,195.1325159072876,47
34,2019-12-16 17:45:00 to 2019-12-30 17:45:00,2019-12-31 17:45:00 to 2020-01-02 17:45:00,50,0.022,0,0.0,0.0,0.0,196.27539777755737,49
35,2019-12-19 17:45:00 to 2020-01-02 17:45:00,2020-01-03 17:45:00 to 2020-01-05 17:45:00,295,0.032,1,2.110318892384639,0.1813937145983072,100.0,194.8623387813568,51
36,2019-12-22 17:45:00 to 2020-01-05 17:45:00,2020-01-06 17:45:00 to 2020-01-08 17:45:00,260,0.032,0,0.0,0.0,0.0,197.61162424087524,52
37,2019-12-25 17:45:00 to 2020-01-08 17:45:00,2020-01-09 17:45:00 to 2020-01-11 17:45:00,125,0.026,1,-0.1898779913000544,2.1990035940256383,0.0,196.92502880096436,53
38,2019-12-28 17:45:00 to 2020-01-11 17:45:00,2020-01-12 17:45:00 to 2020-01-14 17:45:00,300,0.02,0,0.0,0.0,0.0,195.23458909988403,55
39,2019-12-31 17:45:00 to 2020-01-14 17:45:00,2020-01-15 17:45:00 to 2020-01-17 17:45:00,225,0.024,0,0.0,0.0,0.0,199.825434923172,57
40,2020-01-03 17:45:00 to 2020-01-17 17:45:00,2020-01-18 17:45:00 to 2020-01-20 17:45:00,300,0.02,1,-0.0780986101170492,1.1433607880038466,0.0,197.0532419681549,58
41,2020-01-06 17:45:00 to 2020-01-20 17:45:00,2020-01-21 17:45:00 to 2020-01-23 17:45:00,285,0.02,2,0.0352438595669446,0.8051105764884486,50.0,197.1440191268921,59
42,2020-01-09 17:45:00 to 2020-01-23 17:45:00,2020-01-24 17:45:00 to 2020-01-26 17:45:00,65,0.02,0,0.0,0.0,0.0,193.6232509613037,61
43,2020-01-12 17:45:00 to 2020-01-26 17:45:00,2020-01-27 17:45:00 to 2020-01-29 17:45:00,275,0.02,0,0.0,0.0,0.0,196.26419711112976,63
44,2020-01-15 17:45:00 to 2020-01-29 17:45:00,2020-01-30 17:45:00 to 2020-02-01 17:45:00,275,0.02,0,0.0,0.0,0.0,196.3950641155243,64
45,2020-01-18 17:45:00 to 2020-02-01 17:45:00,2020-02-02 17:45:00 to 2020-02-04 17:45:00,285,0.022,1,0.4317562026937594,0.1934457335059202,0.0,192.18452405929563,65
46,2020-01-21 17:45:00 to 2020-02-04 17:45:00,2020-02-05 17:45:00 to 2020-02-07 17:45:00,260,0.02,0,0.0,0.0,0.0,194.57925415039065,67
47,2020-01-24 17:45:00 to 2020-02-07 17:45:00,2020-02-08 17:45:00 to 2020-02-10 17:45:00,225,0.022,0,0.0,0.0,0.0,195.23239302635193,69
